# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/323K/4DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/323K/fixed_4DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/323K/avgRcutoff_NO_CHOL.dat
# Individual Species Contribution :	 DPPC-DPPC	DAPC-DAPC
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
24	11 0.13166666666666665	0.20833333333333334 0.49	0.5333333333333333 0.51	0.4666666666666667 3.2916666666666665	6.818181818181818 2.936539441057942	5.653931565624077 12.25	17.454545454545453 6.995534289816611	10.102777623133122 0.449358696893049	0.5028758280282564
6	4 0.475	0.5638888888888889 0.9116666666666666	0.8916666666666667 0.08833333333333333	0.10833333333333334 47.5	50.75 52.49365040967653	44.36989407244511 91.16666666666667	80.25 96.38190816860923	67.00139923912037 0.07587277081519632	0.10341248491546336
4	2 0.575	0.6888888888888889 0.9416666666666667	0.9111111111111111 0.058333333333333334	0.08888888888888889 86.25	124.0 68.33877010892134	1.0 141.25	164.0 104.85078683538812	3.0 0.05696876485805668	2
2	2 0.6016666666666667	0.7 0.96	0.9444444444444444 0.04	0.05555555555555555 180.5	126.0 4.5	3.0 288.0	170.0 2.0	2.0 2	2
4	2 0.6183333333333333	0.75 0.9516666666666667	0.95 0.04833333333333333	0.05 92.75	135.0 87.37955996684808	4.0 142.75	171.0 127.35261088803794	3.0 0.14357708221381443	2
3	2 0.575	0.7138888888888889 0.9466666666666667	0.9277777777777778 0.05333333333333334	0.07222222222222222 115.0	128.5 79.3473376995095	5.5 189.33333333333334	167.0 125.60873996484302	2.0 0.15356163897240926	2
2	2 0.63	0.7444444444444445 0.9566666666666667	0.9527777777777777 0.043333333333333335	0.04722222222222222 189.0	134.0 2.0	2.0 287.0	171.5 6.0	3.5 2	2
3	2 0.6133333333333333	0.7222222222222222 0.9583333333333334	0.9555555555555556 0.041666666666666664	0.044444444444444446 122.66666666666667	130.0 86.0322936783366	1.0 191.66666666666666	172.0 130.61988958637025	2.0 0.13978818880420696	2
2	2 0.6233333333333333	0.7638888888888888 0.955	0.9611111111111111 0.045	0.03888888888888889 187.0	137.5 10.0	5.5 286.5	173.0 0.5	2.0 2	2
3	2 0.6566666666666666	0.7611111111111111 0.9383333333333334	0.9583333333333334 0.06166666666666667	0.041666666666666664 131.33333333333334	137.0 89.3395520223577	2.0 187.66666666666666	172.5 124.94621064904513	0.5 0.12926932424160087	2
2	2 0.6383333333333333	0.75 0.9533333333333334	0.9611111111111111 0.04666666666666667	0.03888888888888889 191.5	135.0 8.5	2.0 286.0	173.0 3.0	3.0 2	2
2	2 0.635	0.7277777777777777 0.9316666666666666	0.9472222222222222 0.06833333333333333	0.05277777777777778 190.5	131.0 16.5	4.0 279.5	170.5 9.5	5.5 2	2
2	2 0.655	0.75 0.9716666666666667	0.9694444444444444 0.028333333333333332	0.030555555555555555 196.5	135.0 1.5	5.0 291.5	174.5 1.5	0.5 2	2
2	2 0.6583333333333333	0.7638888888888888 0.9583333333333334	0.9694444444444444 0.041666666666666664	0.030555555555555555 197.5	137.5 6.5	5.5 287.5	174.5 0.5	1.5 2	2
2	2 0.6116666666666667	0.7194444444444444 0.9183333333333333	0.95 0.08166666666666667	0.05 183.5	129.5 5.5	1.5 275.5	171.0 6.5	0.0 2	2
2	2 0.705	0.7805555555555556 0.9733333333333334	0.9833333333333333 0.02666666666666667	0.016666666666666666 211.5	140.5 0.5	4.5 292.0	177.0 1.0	3.0 2	2
2	2 0.665	0.7805555555555556 0.9666666666666667	0.9722222222222222 0.03333333333333333	0.027777777777777776 199.5	140.5 9.5	4.5 290.0	175.0 2.0	3.0 2	2
2	2 0.6716666666666666	0.7861111111111111 0.9366666666666666	0.9861111111111112 0.06333333333333334	0.013888888888888888 201.5	141.5 5.5	2.5 281.0	177.5 1.0	0.5 2	2
2	2 0.7016666666666667	0.75 0.9483333333333334	0.9805555555555555 0.051666666666666666	0.019444444444444445 210.5	135.0 2.5	0.0 284.5	176.5 0.5	4.5 2	2
2	2 0.665	0.7638888888888888 0.9466666666666667	0.9722222222222222 0.05333333333333334	0.027777777777777776 199.5	137.5 3.5	0.5 284.0	175.0 2.0	0.0 2	2
2	2 0.6516666666666666	0.7222222222222222 0.9416666666666667	0.9666666666666667 0.058333333333333334	0.03333333333333333 195.5	130.0 2.5	4.0 282.5	174.0 1.5	1.0 2	2
