# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/4/298K/4DIPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/4/298K/fixed_4DIPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/298K/avgRcutoff_NO_CHOL.dat
# Individual Species Contribution :	 DPPC-DPPC	DIPC-DIPC
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
19	15 0.08333333333333333	0.3925925925925926 0.30434782608695654	0.7111111111111111 0.6956521739130435	0.28888888888888886 3.6315789473684212	14.133333333333333 4.067981865039916	20.32032370695791 13.263157894736842	25.6 8.937455809316784	27.005678415227173 0.5274785924481509	0.24210052833180346
15	8 0.3719806763285024	0.7 0.7729468599033816	0.9092592592592592 0.22705314009661837	0.09074074074074075 20.533333333333335	47.25 18.26423341457895	54.568191283933906 42.666666666666664	61.375 32.211109194741425	67.96494960639639 0.1825555812776641	-0.03910887279914614
12	10 0.40217391304347827	0.7018518518518518 0.8019323671497585	0.9148148148148149 0.19806763285024154	0.08518518518518518 27.75	37.9 31.546592525976557	25.579093025359597 55.333333333333336	49.4 57.78311941119905	32.86700473118899 0.1502140047018334	0.2622184890815748
15	9 0.4251207729468599	0.7518518518518519 0.8321256038647343	0.9351851851851852 0.1678743961352657	0.06481481481481481 23.466666666666665	45.111111111111114 39.43072687920199	43.623246719163255 45.93333333333333	56.111111111111114 65.1689769411455	50.623763511801116 -0.006329673589610768	0.21615314795417098
11	6 0.43719806763285024	0.75 0.8079710144927537	0.9166666666666666 0.19202898550724637	0.08333333333333333 32.90909090909091	67.5 52.736832989088455	81.33623628699162 60.81818181818182	82.5 83.25734276306771	95.36727251351307 0.08997867204595576	0.11670941905714273
11	4 0.4830917874396135	0.7462962962962963 0.8526570048309179	0.9203703703703704 0.1473429951690821	0.07962962962962963 36.36363636363637	100.75 68.4108879256574	89.03756229816717 64.18181818181819	124.25 107.7149590200647	106.56306818030345 -0.062269159861851366	0.15294450176177868
10	4 0.4758454106280193	0.7851851851851852 0.8526570048309179	0.924074074074074 0.1473429951690821	0.07592592592592592 39.4	106.0 58.510170056153484	103.12128781197411 70.6	124.75 95.621336531132	115.47158741439385 -0.05509604511432626	0.07640813307750972
5	4 0.48792270531400966	0.7833333333333333 0.8623188405797102	0.9074074074074074 0.13768115942028986	0.09259259259259259 80.8	105.75 95.29197237962913	87.665201191807 142.8	122.5 160.22159654678268	97.35630436700029 0.1122344926283619	0.21043083716320585
7	4 0.5144927536231884	0.7851851851851852 0.8671497584541062	0.9185185185185185 0.13285024154589373	0.08148148148148149 60.857142857142854	106.0 82.07910569588789	89.00561780022652 102.57142857142857	124.0 133.6326063106896	102.1077861869505 0.035969268030283906	0.13538291344138717
10	4 0.5229468599033816	0.8148148148148148 0.8611111111111112	0.937037037037037 0.1388888888888889	0.06296296296296296 43.3	110.0 67.76141970177426	98.93937537704592 71.3	126.5 104.26605391976815	108.5 -0.03194436255773022	0.14180086533844088
6	3 0.5169082125603864	0.7925925925925926 0.8393719806763285	0.9259259259259259 0.1606280193236715	0.07407407407407407 71.33333333333333	142.66666666666666 93.73662867607068	87.59883307188262 115.83333333333333	166.66666666666666 146.7315197525361	100.21754115700283 -0.056965939907638756	0.22091965037295927
8	4 0.49516908212560384	0.7925925925925926 0.8514492753623188	0.9592592592592593 0.14855072463768115	0.040740740740740744 51.25	107.0 67.17095726577075	96.29901349442787 88.125	129.5 104.35209329476817	111.31599166337243 0.08984393941656513	0.18267013482735586
4	3 0.5277777777777778	0.7962962962962963 0.8236714975845411	0.924074074074074 0.17632850241545894	0.07592592592592592 109.25	143.33333333333334 86.53431400317449	98.60809072056692 170.5	166.33333333333334 123.83557647138402	111.25146690668348 0.1699708294690948	0.09619024655739151
4	3 0.5640096618357487	0.8018518518518518 0.8297101449275363	0.9444444444444444 0.17028985507246377	0.05555555555555555 116.75	144.33333333333334 98.1488028454754	100.64569317936837 171.75	170.0 138.32457301578776	113.84492376327837 0.14454789009992175	0.15876942045651316
7	2 0.5434782608695652	0.8166666666666667 0.8635265700483091	0.9518518518518518 0.13647342995169082	0.04814814814814815 64.28571428571429	220.5 74.01103061747772	1.5 102.14285714285714	257.0 106.59325705212123	3.0 0.11469350374031287	2
5	4 0.5169082125603864	0.8018518518518518 0.8140096618357487	0.937037037037037 0.1859903381642512	0.06296296296296296 85.6	108.25 102.04234415182749	105.4309608227109 134.8	126.5 152.98810411270543	117.05661023624424 0.00326359954197534	0.08662100544887999
7	4 0.5132850241545893	0.8037037037037037 0.8442028985507246	0.924074074074074 0.15579710144927536	0.07592592592592592 60.714285714285715	108.5 69.44003432708641	92.37017917055266 99.85714285714286	124.75 104.22561869251118	104.08259941027607 0.06831485692152729	0.20169822518945987
4	3 0.5410628019323671	0.8111111111111111 0.8297101449275363	0.9203703703703704 0.17028985507246377	0.07962962962962963 112.0	146.0 109.57417578973615	101.1236866416568 171.75	165.66666666666666 163.81601722664362	111.5476978197618 -0.10647073383476949	0.20167991987374173
3	5 0.5700483091787439	0.7925925925925926 0.8417874396135265	0.9277777777777778 0.15821256038647344	0.07222222222222222 157.33333333333334	85.6 90.46669123065251	102.82334365308297 232.33333333333334	100.2 127.82887867075353	113.34795984048412 0.305843390996282	0.18597104902360756
5	3 0.5785024154589372	0.8462962962962963 0.9009661835748792	0.9222222222222223 0.09903381642512077	0.07777777777777778 95.8	152.33333333333334 114.47689723258574	102.97356726634052 149.2	166.0 172.5287222464712	109.66312051004202 -0.07383225008594746	0.1914543585184906
3	3 0.5954106280193237	0.8314814814814815 0.8852657004830918	0.9407407407407408 0.11473429951690821	0.05925925925925926 164.33333333333334	149.66666666666666 115.49410759380277	105.12637897100592 244.33333333333334	169.33333333333334 167.94708161269793	114.84579032579103 0.11796547377219559	0.2588282521819704
6	2 0.6002415458937198	0.8314814814814815 0.8852657004830918	0.9388888888888889 0.11473429951690821	0.06111111111111111 82.83333333333333	224.5 112.22064080293883	4.5 122.16666666666667	253.5 157.95190899623708	5.5 -0.03597883867036813	2
4	2 0.6570048309178744	0.8648148148148148 0.9202898550724637	0.937037037037037 0.07971014492753623	0.06296296296296296 136.0	233.5 132.50471689717313	5.5 190.5	253.0 180.0617949482899	3.0 0.09963875301935787	2
6	2 0.6328502415458938	0.8648148148148148 0.9154589371980676	0.937037037037037 0.08454106280193237	0.06296296296296296 87.33333333333333	233.5 116.02394388899025	4.5 126.33333333333333	253.0 158.4084032563368	6.0 -0.007594112694246085	2
2	4 0.6268115942028986	0.85 0.894927536231884	0.9462962962962963 0.10507246376811594	0.053703703703703705 259.5	114.75 0.5	110.4091821362698 370.5	127.75 3.5	118.51872214970932 2	0.04133998833187538
2	2 0.6243961352657005	0.8833333333333333 0.8913043478260869	0.9444444444444444 0.10869565217391304	0.05555555555555555 258.5	238.5 17.5	4.5 369.0	255.0 9.0	6.0 2	2
4	2 0.6147342995169082	0.8537037037037037 0.9033816425120773	0.9203703703703704 0.0966183574879227	0.07962962962962963 127.25	230.5 126.55902773014654	1.5 187.0	248.5 180.23456938112622	1.5 0.051192956486574195	2
3	4 0.6388888888888888	0.8666666666666667 0.9057971014492754	0.9537037037037037 0.09420289855072464	0.046296296296296294 176.33333333333334	117.0 100.58937430077901	115.54436377426637 250.0	128.75 133.49406978089576	121.25257729219615 0.23615203415390937	0.1880581743253219
4	3 0.6195652173913043	0.8296296296296296 0.8864734299516909	0.9296296296296296 0.11352657004830918	0.07037037037037037 128.25	149.33333333333334 112.84364182354273	104.88830037499682 183.5	167.33333333333334 153.4055083756773	113.46169201785929 0.11064432833584328	0.2615112707608277
6	3 0.6147342995169082	0.8574074074074074 0.9057971014492754	0.9388888888888889 0.09420289855072464	0.06111111111111111 84.83333333333333	154.33333333333334 111.12817924461025	105.5946126571911 125.0	169.0 151.83214415926557	111.73480508179475 -0.016082654408627814	0.2946529972619989
3	3 0.6376811594202898	0.8574074074074074 0.893719806763285	0.9481481481481482 0.10628019323671498	0.05185185185185185 176.0	154.33333333333334 120.99862258169168	106.34012517494148 246.66666666666666	170.66666666666666 165.23182367678316	111.505854355525 0.13830385114388027	0.2949887725448401
2	3 0.6413043478260869	0.8759259259259259 0.9033816425120773	0.9629629629629629 0.0966183574879227	0.037037037037037035 265.5	157.66666666666666 12.5	109.37803964030236 374.0	173.33333333333334 6.0	116.97958036436196 2	0.2740036900459203
