# created by program: /home/aporutho/Downloads/WESTPA/westpa/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Thu Dec  2 14:28:27 2021
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_2/Analysis/CumHardEnrich/DPPC_DIPC_CHOL/323K/1/pdist.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
3.399648795413971136e+00 0.000000000000000000e+00 inf -inf
3.415953546428680099e+00 0.000000000000000000e+00 inf -inf
3.432258297443389949e+00 0.000000000000000000e+00 inf -inf
3.448563048458099356e+00 0.000000000000000000e+00 inf -inf
3.464867799472808763e+00 5.525351164573729245e-07 1.525299663842114661e+01 -6.257640115110698176e+00
3.481172550487518613e+00 5.525348045641367382e-06 1.295041210990402725e+01 -5.257640360259912882e+00
3.497477301502227576e+00 6.797542442904002703e-04 8.138027022617814410e+00 -3.167648072058011799e+00
3.513782052516937426e+00 3.310377751557978809e-03 6.554940763812803439e+00 -2.480122445482131788e+00
3.530086803531646389e+00 1.296256421625537232e-02 5.189937543482128213e+00 -1.887309079112351018e+00
3.546391554546356240e+00 2.113970782313760038e-02 4.700849911724898966e+00 -1.674901019473056474e+00
3.562696305561065646e+00 5.461706907898550983e-02 3.751656616638351593e+00 -1.262671609157403951e+00
3.579001056575775053e+00 1.087204502562789665e-01 3.063223159763447612e+00 -9.636887576790529319e-01
3.595305807590484903e+00 1.935984556197460349e-01 2.486216873387920412e+00 -7.130981114826741019e-01
3.611610558605193866e+00 3.180858569645802492e-01 1.989681734233878174e+00 -4.974556404770101858e-01
3.627915309619903717e+00 4.787549420236393849e-01 1.580814207821487738e+00 -3.198867299266769937e-01
3.644220060634612679e+00 5.864878231518495522e-01 1.377851165039276626e+00 -2.317410004160690429e-01
3.660524811649322530e+00 7.605328492030624110e-01 1.117983766042982552e+00 -1.188820230054278559e-01
3.676829562664031492e+00 9.835432470991394283e-01 8.608414615176723794e-01 -7.206539086200076244e-03
3.693134313678741343e+00 1.438051384144398703e+00 4.809588003224006258e-01 1.577744044416289904e-01
3.709439064693451193e+00 1.701413756573472158e+00 3.127882650753072147e-01 2.308099399181579858e-01
3.725743815708160156e+00 2.326227349580083814e+00 0.000000000000000000e+00 3.666521574444555620e-01
3.742048566722870007e+00 2.257834556985500285e+00 2.984159871672287245e-02 3.536921157906116053e-01
3.758353317737578969e+00 1.434874798055680190e+00 4.831701953822037932e-01 1.568140077698483570e-01
3.774658068752288820e+00 1.224471756250962828e+00 6.417382604378047972e-01 8.794877211012497309e-02
3.790962819766997782e+00 1.346539100304765757e+00 5.467101207241538141e-01 1.292189688132948655e-01
3.807267570781707633e+00 1.579708467479443490e+00 3.870074762851995476e-01 1.985769460384897711e-01
3.823572321796417484e+00 1.631243506015687794e+00 3.549051809513182887e-01 2.125187957584228904e-01
3.839877072811126446e+00 1.551382870524127933e+00 4.051010843339978851e-01 1.907189919051763827e-01
3.856181823825836297e+00 1.353947604637904867e+00 5.412233150267378168e-01 1.316018582509579371e-01
3.872486574840545259e+00 1.432699743261737435e+00 4.846871953274345945e-01 1.561551830645870886e-01
3.888791325855255110e+00 7.816394766435519337e-01 1.090609464098335701e+00 -1.069935147249143209e-01
3.905096076869964072e+00 8.557579398582199071e-01 1.000015515415522582e+00 -6.764906271814222216e-02
3.921400827884673923e+00 1.059994538607190062e+00 7.859840361923741137e-01 2.530362766206167499e-02
3.937705578899383774e+00 9.993016379879645639e-01 8.449463980260865092e-01 -3.034007223025411855e-04
3.954010329914092736e+00 8.039826231459447081e-01 1.062425415085000324e+00 -9.475333776073199821e-02
3.970315080928802587e+00 8.291644454349006432e-01 1.031584569539277796e+00 -8.135932872299420082e-02
3.986619831943511549e+00 3.847814318120497679e-01 1.799327607527252404e+00 -4.147858936408101993e-01
4.002924582958221400e+00 3.183814553712307482e-01 1.988752861934626193e+00 -4.970522363630521800e-01
4.019229333972930363e+00 1.780427056252649742e-01 2.569979630268718562e+00 -7.494758145850082265e-01
4.035534084987640213e+00 1.384323928576627616e-01 2.821621002790516197e+00 -8.587622740897856710e-01
4.051838836002350064e+00 8.403918751047535773e-02 3.320719862988364302e+00 -1.075518154997913589e+00
4.068143587017059026e+00 1.105355822544125677e-01 3.046665590552417147e+00 -9.564978967369711649e-01
4.084448338031768877e+00 2.003304352965623591e-01 2.452034891339114786e+00 -6.982530652983618413e-01
4.100753089046477839e+00 3.738905855794901756e-01 1.828039868341473806e+00 -4.272554700753935508e-01
4.117057840061187690e+00 4.620660001549740659e-01 1.616295332670966367e+00 -3.352959866605258465e-01
4.133362591075897541e+00 6.350108978688239203e-01 1.298360910284272141e+00 -1.972188214108868132e-01
4.149667342090606503e+00 7.941639367308350739e-01 1.074713161658289451e+00 -1.000898382925370506e-01
4.165972093105315466e+00 8.846828429552876516e-01 9.667738597916746279e-01 -5.321239511137682010e-02
4.182276844120025316e+00 1.278466076104639138e+00 5.985868107865848220e-01 1.066892085797758044e-01
4.198581595134735167e+00 1.067549726594933635e+00 7.788817447196517696e-01 2.838811365753350635e-02
4.214886346149444130e+00 9.282476681810588603e-01 9.187044900329998098e-01 -3.233613307661729885e-02
4.231191097164153980e+00 5.567054090521106335e-01 1.429966859607320728e+00 -2.543745589875259228e-01
4.247495848178862943e+00 4.228423755777679371e-01 1.705003595995005838e+00 -3.738214959213767563e-01
4.263800599193572793e+00 5.532042001204485748e-01 1.436275878857445232e+00 -2.571145312340763489e-01
4.280105350208282644e+00 7.932945599092491307e-01 1.075808468288783182e+00 -1.005655239181524607e-01
4.296410101222991607e+00 1.010888147898764577e+00 8.334184932428612136e-01 4.703104712958313532e-03
4.312714852237701457e+00 9.813771915644901034e-01 8.630461883548800062e-01 -8.164039785703399582e-03
4.329019603252410420e+00 1.018340502181605212e+00 8.260734483295022468e-01 7.893017188161656830e-03
4.345324354267120270e+00 1.357934692282445788e+00 5.382828551683833673e-01 1.328788837416993163e-01
4.361629105281830121e+00 1.526859931986974450e+00 4.210344975953749791e-01 1.837991984478762053e-01
4.377933856296539084e+00 1.800613746898805045e+00 2.561202147614841662e-01 2.554205614696671844e-01
4.394238607311248046e+00 1.845455699180495346e+00 2.315215536248363959e-01 2.661036242635212434e-01
4.410543358325957897e+00 2.107068201188870393e+00 9.895028888711376869e-02 3.236785929980493526e-01
4.426848109340667747e+00 1.421985171110606849e+00 4.921938889112935644e-01 1.528950674637785945e-01
4.443152860355376710e+00 1.292408171365471148e+00 5.877405144686829175e-01 1.113996952197281870e-01
4.459457611370086560e+00 1.403069785845924233e+00 5.055852517162674475e-01 1.470792724924139816e-01
4.475762362384795523e+00 1.049469290644146069e+00 7.959631931346239364e-01 2.096973486799605033e-02
4.492067113399505374e+00 9.419555730146046413e-01 9.040449599685426163e-01 -2.596958006232871416e-02
4.508371864414215224e+00 8.702753852588195338e-01 9.831933746855288092e-01 -6.034329982530595854e-02
4.524676615428924187e+00 4.406769629106447872e-01 1.663690974404536060e+00 -3.558796523316786198e-01
4.540981366443634037e+00 5.156429021738845320e-01 1.506588595174070289e+00 -2.876509559380153735e-01
4.557286117458343000e+00 5.791968616826878025e-01 1.390360648336544269e+00 -2.371737999835332178e-01
4.573590868473052851e+00 6.213275002699176763e-01 1.320144752472087069e+00 -2.066794238677061302e-01
4.589895619487762701e+00 4.717080447138726762e-01 1.595642826157869010e+00 -3.263267170444167919e-01
4.606200370502471664e+00 4.134196853591173837e-01 1.727539806725408855e+00 -3.836088478845997018e-01
4.622505121517180626e+00 3.314436698762328048e-01 1.948545200799383981e+00 -4.795902710017808102e-01
4.638809872531890477e+00 2.255338353851500388e-01 2.333532877287015861e+00 -6.467882945011135254e-01
4.655114623546600328e+00 2.260565688144517138e-01 2.331217798587778223e+00 -6.457828685968627358e-01
4.671419374561309290e+00 1.817178668243345507e-01 2.549547769010658715e+00 -7.406023699856200126e-01
4.687724125576019141e+00 1.247526546907744421e-01 2.925670056536267882e+00 -9.039502039788203103e-01
4.704028876590728103e+00 8.161764463391120439e-02 3.349957599174110623e+00 -1.088215942486726151e+00
4.720333627605437954e+00 6.572056230577265346e-02 3.566591221812414059e+00 -1.182298729393252756e+00
4.736638378620147805e+00 4.784921980755890009e-02 3.883948258224006800e+00 -1.320125139099976863e+00
4.752943129634856767e+00 3.927321709073557099e-02 4.081460283442079451e+00 -1.405903521761721953e+00
4.769247880649566618e+00 2.642439195172419444e-02 4.477715549877849810e+00 -1.577994997399879695e+00
4.785552631664275580e+00 1.179086404915941078e-02 5.284678072551566075e+00 -1.928454368099802307e+00
4.801857382678985431e+00 3.810047614859754690e-03 6.414361384628809226e+00 -2.419069596833138380e+00
4.818162133693694393e+00 6.795695974404654654e-04 8.138298697174533913e+00 -3.167766058818868302e+00
4.834466884708404244e+00 1.309042996925386000e-04 9.785291830478973552e+00 -3.883046088345532887e+00
4.850771635723113206e+00 0.000000000000000000e+00 inf -inf
4.867076386737823057e+00 0.000000000000000000e+00 inf -inf
4.883381137752532908e+00 0.000000000000000000e+00 inf -inf
4.899685888767241870e+00 0.000000000000000000e+00 inf -inf
4.915990639781951721e+00 0.000000000000000000e+00 inf -inf
4.932295390796660683e+00 0.000000000000000000e+00 inf -inf
4.948600141811370534e+00 0.000000000000000000e+00 inf -inf
4.964904892826080385e+00 0.000000000000000000e+00 inf -inf
4.981209643840789347e+00 0.000000000000000000e+00 inf -inf
4.997514394855499198e+00 0.000000000000000000e+00 inf -inf
5.013819145870208160e+00 0.000000000000000000e+00 inf -inf
