# created by program: /home/aporutho/Downloads/WESTPA/westpa/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Thu Dec  2 14:29:18 2021
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_2/Analysis/SegIndex/DPPC_DIPC_CHOL/323K/1/pdist.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.024575424122810219e+00 0.000000000000000000e+00 inf -inf
1.031662797713279733e+00 0.000000000000000000e+00 inf -inf
1.038750171303749248e+00 0.000000000000000000e+00 inf -inf
1.045837544894218318e+00 0.000000000000000000e+00 inf -inf
1.052924918484687833e+00 1.287261415393467819e-05 1.359775516600029732e+01 -4.890333248173938330e+00
1.060012292075157347e+00 1.256951747036876552e-04 1.131899755948777653e+01 -3.900681394070488750e+00
1.067099665665626418e+00 3.260608467835810040e-04 1.036577327642030610e+01 -3.486701347918102822e+00
1.074187039256095932e+00 9.777131303639135206e-04 9.267640982675105832e+00 -3.009788552344801804e+00
1.081274412846565225e+00 3.102124035506993553e-03 8.113014958352360750e+00 -2.508340841319543379e+00
1.088361786437034517e+00 1.391519516407549797e-02 6.612120587638877112e+00 -1.856510698199024034e+00
1.095449160027504032e+00 2.024476274476520038e-02 6.237205877750040983e+00 -1.693687308509943978e+00
1.102536533617973324e+00 6.874731503289634171e-02 5.014664326246885295e+00 -1.162744258794683461e+00
1.109623907208442617e+00 2.520083632329512269e-01 3.715639733570894609e+00 -5.985850463388813214e-01
1.116711280798912131e+00 4.817266486696434313e-01 3.067725173728794719e+00 -3.171993282546831106e-01
1.123798654389381424e+00 7.182022168943983376e-01 2.668350839439915134e+00 -1.437532586592380479e-01
1.130886027979850716e+00 1.017733466003307274e+00 2.319768666349489195e+00 7.634055603778075114e-03
1.137973401570320231e+00 1.232517555779495178e+00 2.128287858108415254e+00 9.079311401325124153e-02
1.145060775160789523e+00 2.534243715353193593e+00 1.407451473588846813e+00 4.038483781651904247e-01
1.152148148751258816e+00 4.914006472982771712e+00 7.452571376304053530e-01 6.914357242195297015e-01
1.159235522341728331e+00 7.094542405206130553e+00 3.780209158400038572e-01 8.509243888980997372e-01
1.166322895932197623e+00 5.439009827681267062e+00 6.437497016514395209e-01 7.355198435373421217e-01
