# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0064
# created at:         Tue Dec 13 14:03:38 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total/DPPC_DIPC_CHOL/298K/multi_west/pdist.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000104e-03 0.000000000000000000e+00 inf -inf
1.499999999999999944e-02 0.000000000000000000e+00 inf -inf
2.500000000000000139e-02 0.000000000000000000e+00 inf -inf
3.500000000000000333e-02 0.000000000000000000e+00 inf -inf
4.499999999999999833e-02 0.000000000000000000e+00 inf -inf
5.500000000000000028e-02 0.000000000000000000e+00 inf -inf
6.500000000000000222e-02 0.000000000000000000e+00 inf -inf
7.500000000000001110e-02 0.000000000000000000e+00 inf -inf
8.499999999999999223e-02 0.000000000000000000e+00 inf -inf
9.500000000000000111e-02 0.000000000000000000e+00 inf -inf
1.050000000000000100e-01 0.000000000000000000e+00 inf -inf
1.149999999999999911e-01 0.000000000000000000e+00 inf -inf
1.250000000000000000e-01 0.000000000000000000e+00 inf -inf
1.350000000000000089e-01 0.000000000000000000e+00 inf -inf
1.450000000000000178e-01 0.000000000000000000e+00 inf -inf
1.549999999999999989e-01 0.000000000000000000e+00 inf -inf
1.650000000000000078e-01 0.000000000000000000e+00 inf -inf
1.749999999999999889e-01 0.000000000000000000e+00 inf -inf
1.849999999999999978e-01 0.000000000000000000e+00 inf -inf
1.950000000000000067e-01 0.000000000000000000e+00 inf -inf
2.050000000000000155e-01 0.000000000000000000e+00 inf -inf
2.149999999999999967e-01 0.000000000000000000e+00 inf -inf
2.250000000000000056e-01 0.000000000000000000e+00 inf -inf
2.349999999999999867e-01 0.000000000000000000e+00 inf -inf
2.449999999999999956e-01 0.000000000000000000e+00 inf -inf
2.550000000000000044e-01 0.000000000000000000e+00 inf -inf
2.650000000000000133e-01 0.000000000000000000e+00 inf -inf
2.750000000000000222e-01 0.000000000000000000e+00 inf -inf
2.850000000000000311e-01 0.000000000000000000e+00 inf -inf
2.949999999999999845e-01 0.000000000000000000e+00 inf -inf
3.049999999999999933e-01 0.000000000000000000e+00 inf -inf
3.150000000000000022e-01 0.000000000000000000e+00 inf -inf
3.250000000000000111e-01 0.000000000000000000e+00 inf -inf
3.350000000000000200e-01 0.000000000000000000e+00 inf -inf
3.450000000000000289e-01 0.000000000000000000e+00 inf -inf
3.549999999999999822e-01 0.000000000000000000e+00 inf -inf
3.649999999999999911e-01 0.000000000000000000e+00 inf -inf
3.750000000000000000e-01 0.000000000000000000e+00 inf -inf
3.850000000000000089e-01 0.000000000000000000e+00 inf -inf
3.950000000000000178e-01 0.000000000000000000e+00 inf -inf
4.050000000000000266e-01 0.000000000000000000e+00 inf -inf
4.150000000000000355e-01 0.000000000000000000e+00 inf -inf
4.249999999999999889e-01 0.000000000000000000e+00 inf -inf
4.349999999999999978e-01 0.000000000000000000e+00 inf -inf
4.450000000000000067e-01 0.000000000000000000e+00 inf -inf
4.550000000000000155e-01 0.000000000000000000e+00 inf -inf
4.650000000000000244e-01 0.000000000000000000e+00 inf -inf
4.749999999999999778e-01 0.000000000000000000e+00 inf -inf
4.849999999999999867e-01 0.000000000000000000e+00 inf -inf
4.949999999999999956e-01 0.000000000000000000e+00 inf -inf
5.050000000000000044e-01 2.285080296118066363e-03 8.102153462511076043e+00 -2.641098534522666963e+00
5.150000000000000133e-01 5.858755416375735318e-03 7.160617432025143003e+00 -2.232194631969534715e+00
5.250000000000000222e-01 3.957243253069064881e-02 5.250421899151032079e+00 -1.402607252686066008e+00
5.350000000000000311e-01 1.797084981513087376e-01 3.737218543331895404e+00 -7.454313852563323461e-01
5.450000000000000400e-01 5.706438388163621589e-01 2.581789361613558320e+00 -2.436348674060689889e-01
5.550000000000000488e-01 1.416467786809481488e+00 1.672633049159095942e+00 1.512067022804127192e-01
5.650000000000000577e-01 3.104064265779898246e+00 8.880870415024511022e-01 4.919307042049199108e-01
5.749999999999999556e-01 4.845472826739459116e+00 4.427545165513928627e-01 6.853361624032067168e-01
5.849999999999999645e-01 6.071212482397386090e+00 2.172410126836328281e-01 7.832754327276425510e-01
5.949999999999999734e-01 7.544353086017854260e+00 0.000000000000000000e+00 8.776220057792185614e-01
6.049999999999999822e-01 7.274793937373886799e+00 3.638385989396364373e-02 8.618206961969292479e-01
6.149999999999999911e-01 7.083869131540156516e+00 6.297910184937949296e-02 8.502705293708102685e-01
6.250000000000000000e-01 5.660917311616374015e+00 2.872133995172918564e-01 7.528868112401847501e-01
6.350000000000000089e-01 5.277851953063595225e+00 3.572801599204660228e-01 7.224572038322489842e-01
6.450000000000000178e-01 4.171744034329321948e+00 5.924651657632531432e-01 6.203176535683423420e-01
6.550000000000000266e-01 3.890009311089291710e+00 6.623877965670539325e-01 5.899506408500934107e-01
6.650000000000000355e-01 4.024716048042878747e+00 6.283449864788901440e-01 6.047352454198632321e-01
6.750000000000000444e-01 4.279436885723665540e+00 5.669779156091385719e-01 6.313866256691621492e-01
6.850000000000000533e-01 3.578215775422596501e+00 7.459350583675770086e-01 5.536665260719999537e-01
6.950000000000000622e-01 2.997918105873821570e+00 9.228812647363475730e-01 4.768197650523288145e-01
7.050000000000000711e-01 4.161338096736387548e+00 5.949626673690691092e-01 6.192330024023920965e-01
7.149999999999999689e-01 5.581020134958685652e+00 3.014277682219930199e-01 7.467135893479946995e-01
7.249999999999999778e-01 7.148478313937129514e+00 5.389983696049949202e-02 8.542136040117888074e-01
7.349999999999999867e-01 6.042446730061135973e+00 2.219903301114682925e-01 7.812128303759267034e-01
7.449999999999999956e-01 3.256462407465095410e+00 8.401578926991992713e-01 5.127460690524920928e-01
7.550000000000000044e-01 1.323607995819623184e+00 1.740438009779936790e+00 1.217593820371142693e-01
7.650000000000000133e-01 3.513639135937306479e-01 3.066732149538148100e+00 -4.542428442404973232e-01
7.750000000000000222e-01 9.636196234592526999e-02 4.360443084497958921e+00 -1.016094364471439526e+00
7.850000000000000311e-01 1.894074626171361395e-02 5.987239138433546159e+00 -1.722602913877649966e+00
