# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0064
# created at:         Tue Dec 13 14:13:25 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total/DPPC_POPC_CHOL/450K/multi_west/pdist.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000104e-03 5.696515447928255371e-01 3.775776169789416326e+00 -2.443907205539852523e-01
1.499999999999999944e-02 5.421292455341212957e+00 1.522711492356284779e+00 7.341028362263538609e-01
2.500000000000000139e-02 1.429651889742062210e+01 5.530296658914886088e-01 1.155230302661881536e+00
3.500000000000000333e-02 2.250581981500799955e+01 9.927180556688997015e-02 1.352294837521081039e+00
4.499999999999999833e-02 2.485467192185957330e+01 0.000000000000000000e+00 1.395408034887353876e+00
5.500000000000000028e-02 1.724140299023810385e+01 3.657320979071516653e-01 1.236572602911378160e+00
6.500000000000000222e-02 9.267213203916609743e+00 9.865630306465162924e-01 9.669491546278232708e-01
7.500000000000001110e-02 3.844279174209940031e+00 1.866459625339703221e+00 5.848149189071100151e-01
8.499999999999999223e-02 1.380413475210327867e+00 2.890662665766018158e+00 1.400091901014283435e-01
9.500000000000000111e-02 4.772688369418864318e-01 3.952721087173176162e+00 -3.212369217745789651e-01
1.050000000000000100e-01 1.096875764972338740e-01 5.423164907687252345e+00 -9.598425589725778639e-01
1.149999999999999911e-01 2.603278913099183259e-02 6.861444154858048705e+00 -1.584479299454817802e+00
1.250000000000000000e-01 4.494602735038796641e-03 8.617923734041683659e+00 -2.347308688270016486e+00
1.350000000000000089e-01 0.000000000000000000e+00 inf -inf
1.450000000000000178e-01 1.252716697631202879e-03 9.895486467665053354e+00 -2.902147133767880138e+00
1.549999999999999989e-01 0.000000000000000000e+00 inf -inf
1.650000000000000078e-01 0.000000000000000000e+00 inf -inf
1.749999999999999889e-01 0.000000000000000000e+00 inf -inf
1.849999999999999978e-01 0.000000000000000000e+00 inf -inf
1.950000000000000067e-01 0.000000000000000000e+00 inf -inf
2.050000000000000155e-01 0.000000000000000000e+00 inf -inf
2.149999999999999967e-01 0.000000000000000000e+00 inf -inf
2.250000000000000056e-01 0.000000000000000000e+00 inf -inf
2.349999999999999867e-01 0.000000000000000000e+00 inf -inf
2.449999999999999956e-01 0.000000000000000000e+00 inf -inf
2.550000000000000044e-01 0.000000000000000000e+00 inf -inf
2.650000000000000133e-01 0.000000000000000000e+00 inf -inf
2.750000000000000222e-01 0.000000000000000000e+00 inf -inf
2.850000000000000311e-01 0.000000000000000000e+00 inf -inf
2.949999999999999845e-01 0.000000000000000000e+00 inf -inf
3.049999999999999933e-01 0.000000000000000000e+00 inf -inf
3.150000000000000022e-01 0.000000000000000000e+00 inf -inf
3.250000000000000111e-01 0.000000000000000000e+00 inf -inf
3.350000000000000200e-01 0.000000000000000000e+00 inf -inf
3.450000000000000289e-01 0.000000000000000000e+00 inf -inf
3.549999999999999822e-01 0.000000000000000000e+00 inf -inf
3.649999999999999911e-01 0.000000000000000000e+00 inf -inf
3.750000000000000000e-01 0.000000000000000000e+00 inf -inf
3.850000000000000089e-01 0.000000000000000000e+00 inf -inf
3.950000000000000178e-01 0.000000000000000000e+00 inf -inf
4.050000000000000266e-01 0.000000000000000000e+00 inf -inf
4.150000000000000355e-01 0.000000000000000000e+00 inf -inf
