# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Nov 21 12:43:10 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_OtherCVs_AuxData/DPPC_DAPC_CHOL/353K/multi_west/SI_WithoutCHOL.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.273217793345451376e+00 1.792783267076665365e-10 2.446346368751559197e+01 -9.746472209936953845e+00
1.278622257828712527e+00 8.963899337641586260e-10 2.285402767132385193e+01 -9.047503029128527885e+00
1.284026722311973678e+00 5.378299926956032035e-10 2.336486067204596395e+01 -9.269354982516221142e+00
1.289431186795234607e+00 3.605970685242412927e-06 1.455430163028937862e+01 -5.442977808198532941e+00
1.294835651278495758e+00 1.982382855081785971e-05 1.285000794931541179e+01 -4.702812467008957498e+00
1.300240115761756909e+00 2.847072904053945933e-04 1.018543102431729253e+01 -3.545601411875539899e+00
1.305644580245018060e+00 4.422852845565803368e-04 9.744937511554272902e+00 -3.354297509968381164e+00
1.311049044728278989e+00 1.344460064630854500e-03 8.633144853096716531e+00 -2.871452093379716963e+00
1.316453509211540140e+00 4.364467269497221760e-03 7.455641210707014466e+00 -2.360068759068889577e+00
1.321857973694801291e+00 1.559860397754598595e-02 6.181955924983871142e+00 -1.806914267797961937e+00
1.327262438178062443e+00 2.123263597524220961e-02 5.873597915855748752e+00 -1.672996085982946024e+00
1.332666902661323594e+00 2.953509713064686459e-02 5.543558057199881262e+00 -1.529661596560573544e+00
1.338071367144584745e+00 5.156836995292735787e-02 4.986228847489404536e+00 -1.287616596179813389e+00
1.343475831627845896e+00 7.207124744741520705e-02 4.651482168999100608e+00 -1.142237960876032687e+00
1.348880296111106825e+00 7.729109001445053084e-02 4.581558662679892535e+00 -1.111870567926272813e+00
1.354284760594367976e+00 4.458879916867584947e-02 5.131654658846798611e+00 -1.350774223578632860e+00
1.359689225077629127e+00 3.007972438723513151e-02 5.525286010234914613e+00 -1.521726147390611406e+00
1.365093689560890278e+00 3.196834093415674288e-02 5.464391279349640307e+00 -1.495279901790153243e+00
1.370498154044151207e+00 1.150008943708583607e-02 6.486782534139308609e+00 -1.939298782091447571e+00
1.375902618527412358e+00 1.266013954225861382e-02 6.390678907665575004e+00 -1.897561507423014326e+00
1.381307083010673509e+00 3.079763952098729662e-02 5.501699298502537694e+00 -1.511482568638997437e+00
1.386711547493934660e+00 7.082934630374186635e-02 4.668863935980592572e+00 -1.149786766361822421e+00
1.392116011977195811e+00 1.104418429656022632e-01 4.224648272210633770e+00 -9.568663548115391437e-01
1.397520476460456962e+00 2.563990790114046292e-01 3.382402213575307570e+00 -5.910835391414542839e-01
1.402924940943717891e+00 3.818903986280280383e-01 2.984003693763773057e+00 -4.180612603888814172e-01
1.408329405426979042e+00 6.220986268153403387e-01 2.496038702435133150e+00 -2.061407572928850018e-01
1.413733869910240193e+00 7.797043050073011461e-01 2.270222594952127082e+00 -1.080700678881437726e-01
1.419138334393501344e+00 9.626178275026945341e-01 2.059480869762106980e+00 -1.654609953134664885e-02
1.424542798876762273e+00 1.194089168170024085e+00 1.843998375242649868e+00 7.703675878520135911e-02
1.429947263360023424e+00 1.419654122525207729e+00 1.670968801376712110e+00 1.521825479212492449e-01
1.435351727843284575e+00 1.919129564988436121e+00 1.369510335957756952e+00 2.831042959757237298e-01
1.440756192326545726e+00 2.554078061055291560e+00 1.083690746256113613e+00 4.072341666029989371e-01
1.446160656809806877e+00 3.315457781143303695e+00 8.227863596710691674e-01 5.205435020012365577e-01
1.451565121293068028e+00 3.833865731371064456e+00 6.775084441321417295e-01 5.836368990621993991e-01
1.456969585776329179e+00 4.790033314190204727e+00 4.548447012896312813e-01 6.803385338986264186e-01
1.462374050259590108e+00 4.607741769716368729e+00 4.936441853687969505e-01 6.634881320623516876e-01
1.467778514742851259e+00 4.371478194091657166e+00 5.462808562058447670e-01 6.406283163720639662e-01
1.473182979226112410e+00 4.400643042535826943e+00 5.396313913572381438e-01 6.435161422634234629e-01
1.478587443709373339e+00 4.050065078519052619e+00 6.226491178745496846e-01 6.074620017368017599e-01
1.483991908192634490e+00 5.053239769964152472e+00 4.013524914379225095e-01 7.035699054620342396e-01
1.489396372675895641e+00 5.210809132733318805e+00 3.706469201395565793e-01 7.169051656406014716e-01
1.494800837159156792e+00 6.438572005627038131e+00 1.590752903620034076e-01 8.087895569802705520e-01
1.500205301642417943e+00 6.372594959676360915e+00 1.693753089977001469e-01 8.043163157232867677e-01
1.505609766125679094e+00 7.548750611403926669e+00 0.000000000000000000e+00 8.778750777916461967e-01
1.511014230608940245e+00 6.869507461072715593e+00 9.428965813692347098e-02 8.369255995622362221e-01
1.516418695092201174e+00 6.698248027227320378e+00 1.195360639047184925e-01 8.259612248493923836e-01
1.521823159575462325e+00 6.890400523853633885e+00 9.125285311461595050e-02 8.382444672260404017e-01
1.527227624058723476e+00 6.424499449219301717e+00 1.612633466239319358e-01 8.078392962196211391e-01
1.532632088541984405e+00 5.672868936598695733e+00 2.856870925709893427e-01 7.538027499370819617e-01
1.538036553025245556e+00 4.700703421012016214e+00 4.736699060714557596e-01 6.721628513411812555e-01
1.543441017508506707e+00 3.684975268471255117e+00 7.171182534206124171e-01 5.664345774589764071e-01
1.548845481991767858e+00 2.621271416144780542e+00 1.057722594230352309e+00 4.185119917330118455e-01
1.554249946475029009e+00 1.769542523617910312e+00 1.450661015687974675e+00 2.478610035661920896e-01
1.559654410958290160e+00 1.357031868344860115e+00 1.716082202646693755e+00 1.325900466898090324e-01
1.565058875441551312e+00 1.376599722871095111e+00 1.701765577965964171e+00 1.388076777881298018e-01
1.570463339924812463e+00 1.144094635004455629e+00 1.886768455191784710e+00 5.846194907273119523e-02
1.575867804408073392e+00 1.041107546971203668e+00 1.981096972125905520e+00 1.749559468212505409e-02
1.581272268891334543e+00 1.194860502969750549e+00 1.843352622981019318e+00 7.731720542910407168e-02
1.586676733374595694e+00 9.913490947102645556e-01 2.030070609220834044e+00 -3.773385666934694731e-03
1.592081197857856623e+00 8.952679840614485851e-01 2.132014249627248947e+00 -4.804694616057024470e-02
1.597485662341117774e+00 9.010229449527296097e-01 2.125606623235828163e+00 -4.526414937667838645e-02
1.602890126824378925e+00 9.397180587241276140e-01 2.083557453869900655e+00 -2.700242715244082284e-02
1.608294591307640076e+00 1.249864545709164165e+00 1.798346885624232394e+00 9.686294881714362093e-02
1.613699055790901227e+00 1.713706372141338141e+00 1.482723573603394795e+00 2.339364115878217187e-01
1.619103520274162378e+00 1.897434085497083256e+00 1.380879575500691736e+00 2.781666979787909555e-01
1.624507984757423529e+00 1.712342554314364218e+00 1.483519719792948832e+00 2.335906496909100905e-01
1.629912449240684458e+00 1.833889944542567374e+00 1.414942704028599341e+00 2.633732692227593875e-01
1.635316913723945609e+00 1.915476628239081380e+00 1.371415583939054494e+00 2.822768572907888851e-01
1.640721378207206760e+00 2.122274065551899014e+00 1.268893881421957470e+00 3.268014669692909102e-01
1.646125842690467689e+00 1.839517195122471804e+00 1.411878924399633917e+00 2.647038518093867143e-01
1.651530307173728840e+00 2.650091696826013532e+00 1.046787825658702875e+00 4.232609013845682888e-01
1.656934771656989991e+00 3.028024892379096666e+00 9.134715113597613456e-01 4.811594410322781457e-01
1.662339236140251142e+00 3.274594866159160844e+00 8.351879111884799034e-01 5.151575766101861298e-01
1.667743700623512293e+00 3.461498338174785694e+00 7.796805265863788748e-01 5.392641274477601998e-01
1.673148165106773444e+00 3.877594352076522366e+00 6.661671186374045206e-01 5.885623741420323851e-01
1.678552629590034595e+00 4.587801352930940268e+00 4.979811663986442039e-01 6.616046051329699251e-01
1.683957094073295746e+00 4.714198012253652870e+00 4.708032588572585997e-01 6.734078204078705054e-01
1.689361558556556675e+00 4.365601997599184436e+00 5.476259731670154451e-01 6.400441394983130694e-01
1.694766023039817826e+00 3.808293560221162277e+00 6.842008632820126834e-01 5.807304183548267495e-01
1.700170487523078977e+00 2.891615661599547416e+00 9.595666692647080165e-01 4.611405683117008047e-01
1.705574952006339906e+00 2.323404886509639056e+00 1.178348334367086858e+00 3.661248984161323827e-01
1.710979416489601057e+00 1.730247301596714582e+00 1.473117720440730416e+00 2.381081806103397536e-01
1.716383880972862208e+00 1.413522081738887826e+00 1.675297547574913226e+00 1.503025973338108501e-01
1.721788345456123359e+00 8.689160295121053368e-01 2.161890854889491731e+00 -6.102219096396392650e-02
1.727192809939384510e+00 4.743144490558066084e-01 2.767266850237539266e+00 -3.239336452203094296e-01
1.732597274422645661e+00 3.965976795661401155e-01 2.946214981364180918e+00 -4.016498311155095591e-01
1.738001738905906812e+00 3.775632522259276258e-01 2.995399236397584986e+00 -4.230102816730391679e-01
1.743406203389167741e+00 2.396354856576815295e-01 3.450018387594568470e+00 -6.204488704054292869e-01
1.748810667872428892e+00 2.150187089214374569e-01 3.558412304035130092e+00 -6.675237501874473622e-01
1.754215132355690043e+00 7.979463732467004244e-02 4.549681045863762208e+00 -1.098026294846801587e+00
1.759619596838950972e+00 5.294164835719953471e-02 4.959947013974030483e+00 -1.276202540909786354e+00
1.765024061322212123e+00 1.985501560074026672e-02 5.940680696299681429e+00 -1.702129767360473389e+00
1.770428525805473274e+00 1.079025996318882553e-02 6.550493474662416382e+00 -1.966968091997499668e+00
