# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Nov 21 12:51:13 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_OtherCVs_AuxData/DPPC_DIPC_CHOL/323K/multi_west/SI_WithoutCHOL.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.089580480104684668e+00 3.618553476508727814e-04 9.722873545985622812e+00 -3.441465004803565542e+00
1.093957733649015385e+00 2.679594145806729524e-03 7.720697461923353266e+00 -2.571930979696659847e+00
1.098334987193346102e+00 6.366126465703363622e-03 6.855371612380580792e+00 -2.196124738191990389e+00
1.102712240737676597e+00 2.135908357929817286e-02 5.644885697265690006e+00 -1.670417384835985342e+00
1.107089494282007092e+00 4.248807181225613266e-02 4.957139433550348251e+00 -1.371732977554833921e+00
1.111466747826337809e+00 1.526810754282995342e-01 3.678011535319163361e+00 -8.162147897045258782e-01
1.115844001370668526e+00 3.456111411413262946e-01 2.861048533337347877e+00 -4.614122660247079732e-01
1.120221254914999021e+00 6.526248417857642981e-01 2.225360357543184620e+00 -1.853363990661586191e-01
1.124598508459329516e+00 8.158971679944223565e-01 2.002074479438099353e+00 -8.836457431819805253e-02
1.128975762003660233e+00 1.351973962780538052e+00 1.497041808727341827e+00 1.309683277523460143e-01
1.133353015547990950e+00 1.763426543641657407e+00 1.231348711770935189e+00 2.463573736402991377e-01
1.137730269092321445e+00 1.926295535387270164e+00 1.143008781095093518e+00 2.847229180645329816e-01
1.142107522636651940e+00 2.049688528186029313e+00 1.080919683727831648e+00 3.116878704374884679e-01
1.146484776180982657e+00 2.432639018070103187e+00 9.096308441334877148e-01 3.860776682849232921e-01
1.150862029725313151e+00 2.772263244447656927e+00 7.789434855160779492e-01 4.428344669869757055e-01
1.155239283269643646e+00 3.884348023753609436e+00 4.416523769814406641e-01 5.893181342185995764e-01
1.159616536813974363e+00 4.393543996851703604e+00 3.184713378826293795e-01 6.428149797743218929e-01
