# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Nov 21 12:44:09 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_OtherCVs_AuxData/DPPC_DAPC_CHOL/423K/multi_west/CHE.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
3.764693511915206958e+00 4.209117612304896089e-04 8.731537633145251220e+00 -3.375808938908335222e+00
3.778102199411392359e+00 6.895093219002503962e-07 1.514573591362600169e+01 -6.161459857954451280e+00
3.791510886907577316e+00 7.519466901317595198e-05 1.045388051392245643e+01 -4.123812947975225462e+00
3.804919574403762716e+00 7.943638609551798404e-04 8.096419232138774902e+00 -3.099980521996005489e+00
3.818328261899948117e+00 1.245911225816972914e-03 7.646338402111862109e+00 -2.904512901104882250e+00
3.831736949396133518e+00 1.105725922781666988e-02 5.463118416636479679e+00 -1.956352508632025478e+00
3.845145636892318919e+00 1.531290065534634225e-02 5.137509919391259672e+00 -1.814942535017616487e+00
3.858554324388503876e+00 1.360911568067015714e-02 5.255465733752529900e+00 -1.866170094303120308e+00
3.871963011884689276e+00 2.334422166564780951e-02 4.715856085250180740e+00 -1.631820601576796870e+00
3.885371699380874677e+00 2.172688424372727287e-02 4.787655173623534210e+00 -1.663002549463028279e+00
3.898780386877060078e+00 3.935904824028665233e-02 4.193479681596344655e+00 -1.404955411993470404e+00
3.912189074373245035e+00 7.035573718939094889e-02 3.612641240277799426e+00 -1.152700482051540520e+00
3.925597761869430435e+00 1.235288422847724554e-01 3.049730903031988571e+00 -9.082316287793862353e-01
3.939006449365615836e+00 1.753669594482222815e-01 2.699324882994372565e+00 -7.560522278513693850e-01
3.952415136861801237e+00 2.440182567034017702e-01 2.368962527551949471e+00 -6.125776798541643364e-01
3.965823824357986638e+00 4.160992970729300855e-01 1.835281645935986639e+00 -3.808030178710890001e-01
3.979232511854171594e+00 5.589725948576386161e-01 1.540105125947083264e+00 -2.526094840525033303e-01
3.992641199350356995e+00 6.250684380914741656e-01 1.428344427913039727e+00 -2.040724296026626694e-01
4.006049886846541952e+00 8.540783211116970142e-01 1.116182672114000463e+00 -6.850230159790945961e-02
4.019458574342728241e+00 1.200699564535385733e+00 7.755459362400202172e-01 7.943435312569561979e-02
4.032867261838912754e+00 1.309441698839451940e+00 6.888494313400845837e-01 1.170861668040358849e-01
4.046275949335099043e+00 1.678444509286600717e+00 4.405828164315436224e-01 2.249069876996148132e-01
4.059684636831283555e+00 1.918732165654188249e+00 3.067856560817598943e-01 2.830143561338504532e-01
4.073093324327468068e+00 1.987040078521834952e+00 2.718041598842997342e-01 2.982066269011269810e-01
4.086502011823654357e+00 2.344212482098755768e+00 1.065007766529731947e-01 3.699969740784306294e-01
4.099910699319838869e+00 2.346761011310890765e+00 1.054142092415587539e-01 3.704688643094238287e-01
4.113319386816025158e+00 2.463478419483975390e+00 5.687595075928830735e-02 3.915487621294675979e-01
4.126728074312209671e+00 2.607652245225188015e+00 0.000000000000000000e+00 4.162496736972275402e-01
