# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Nov 21 12:52:08 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_OtherCVs_AuxData/DPPC_DIPC_CHOL/353K/multi_west/CHE.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
3.406621768474578538e+00 9.408123512803937341e-04 8.507706206322215081e+00 -3.026496989675984572e+00
3.414166910648345876e+00 7.671256441126691377e-04 8.711799311513306776e+00 -3.115133499054975275e+00
3.421712052822113215e+00 7.182240537832285110e-03 6.475083245880356664e+00 -2.143740054166233033e+00
3.429257194995880109e+00 6.510792761327478979e-03 6.573233408145125800e+00 -2.186366128035731382e+00
3.436802337169647004e+00 1.082577416947288172e-02 6.064764844743300465e+00 -1.965541036729044899e+00
3.444347479343414342e+00 4.701940227591915739e-02 4.596134301978173298e+00 -1.327722896051572565e+00
3.451892621517181681e+00 6.948422720735314417e-02 4.205594852727409183e+00 -1.158113768276430422e+00
3.459437763690948575e+00 1.056457246123326671e-01 3.786603357106747225e+00 -9.761480737639864902e-01
3.466982905864715470e+00 1.460548242759720228e-01 3.462712572922967968e+00 -8.354840934536541530e-01
3.474528048038482808e+00 2.982898959224395963e-01 2.748628814139057130e+00 -5.253614573970688539e-01
3.482073190212249703e+00 4.559975432025112907e-01 2.324207211098995529e+00 -3.410374971962377710e-01
3.489618332386016597e+00 6.676128598806589931e-01 1.942986178429928934e+00 -1.754753063226028309e-01
3.497163474559783936e+00 8.413898981832187429e-01 1.711639467763149902e+00 -7.500270647355247733e-02
3.504708616733551274e+00 1.176586677119800139e+00 1.376321753721446939e+00 7.062392641917165925e-02
3.512253758907318169e+00 1.416570651003853598e+00 1.190700437693590574e+00 1.512382396936892970e-01
3.519798901081085063e+00 1.741533765548759494e+00 9.841731544936478393e-01 2.409318991498945739e-01
3.527344043254852402e+00 1.790583053588291396e+00 9.563980588265942329e-01 2.529944699324308544e-01
3.534889185428619296e+00 2.207736562495790089e+00 7.469715430700137881e-01 3.439472500897381990e-01
3.542434327602386190e+00 2.488161857544795907e+00 6.273951258587319169e-01 3.958786282503589105e-01
3.549979469776153529e+00 2.970161518040698390e+00 4.503230193883567267e-01 4.727800669894279828e-01
3.557524611949920867e+00 3.196042430499681952e+00 3.770260499607300808e-01 5.046125363520774787e-01
3.565069754123687762e+00 3.434994912494617303e+00 3.049239093084381569e-01 5.359260981707801852e-01
3.572614896297454656e+00 4.107449538241729314e+00 1.261370683219780187e-01 6.135722366481138890e-01
3.580160038471221995e+00 4.329471186748222955e+00 7.349394711851786610e-02 6.364348536969406389e-01
3.587705180644989333e+00 4.396538015763593599e+00 5.812193727897674300e-02 6.431108327460158813e-01
3.595250322818755784e+00 4.659645414357828308e+00 0.000000000000000000e+00 6.683528693838023393e-01
3.602795464992523122e+00 4.616596738314368231e+00 9.281556987933869962e-03 6.643219404004720996e-01
3.610340607166290461e+00 4.128187746361411392e+00 1.211008455657138771e-01 6.157594404007948885e-01
3.617885749340057355e+00 4.041556702060321804e+00 1.423094138552922772e-01 6.065486762235627882e-01
3.625430891513824250e+00 3.305273453540554573e+00 3.434201446753886167e-01 5.192073955768646831e-01
3.632976033687591588e+00 3.159302973805477421e+00 3.885879285446631748e-01 4.995912762826399955e-01
