# created by program: /scratch/aporutho/miniconda3/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Tue Jun 20 14:16:36 2023
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_OtherCVs_AuxData/DPPC_DAPC_CHOL/373K/multi_west/newpcoord.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
4.456624963879584830e-03 7.835370912130092957e-01 1.147775300765859097e+00 -1.059404400022100345e-01
1.336987489163875449e-02 0.000000000000000000e+00 inf -inf
2.228312481939792589e-02 0.000000000000000000e+00 inf -inf
3.119637474715709208e-02 6.676514331334766350e-01 1.307827471191930879e+00 -1.754502144348918102e-01
4.010962467491626521e-02 8.492985762960540974e-01 1.067182897395441366e+00 -7.093960393511659912e-02
4.902287460267543140e-02 1.098386716058667334e+00 8.099959413744795000e-01 4.075527188228145192e-02
5.793612453043460453e-02 7.409498811560852882e-01 1.203660715611476029e+00 -1.302111672885356008e-01
6.684937445819377766e-02 1.198755799120989174e+00 7.225542380276979149e-01 7.873072113400980676e-02
7.576262438595293691e-02 1.282406856361024472e+00 6.550997540652774287e-01 1.080258312985204056e-01
8.467587431371212392e-02 1.773339423279215010e+00 3.309739740119851392e-01 2.487918690182523429e-01
9.358912424147128317e-02 1.880578922557628374e+00 2.722587559020591685e-01 2.742915642471390747e-01
1.025023741692304424e-01 2.155376410934729758e+00 1.358730459214146924e-01 3.335231255021902097e-01
1.114156240969896294e-01 2.094351911485988982e+00 1.645942674820791707e-01 3.210496574648729062e-01
1.203288740247487887e-01 2.088021564775202954e+00 1.676214249470081574e-01 3.197349796820020407e-01
1.292421239525079479e-01 2.468657312639519930e+00 1.640181563311582380e-04 3.924608074050212059e-01
1.381553738802671349e-01 2.469062250468222697e+00 0.000000000000000000e+00 3.925320395852477384e-01
1.470686238080262942e-01 2.150204952498377509e+00 1.382752585318426375e-01 3.324798578211229927e-01
1.559818737357854812e-01 2.396430738376221559e+00 2.985798482906665274e-02 3.795648815332330894e-01
1.648951236635446405e-01 2.275440944261064136e+00 8.166456759640128293e-02 3.570655685111155941e-01
1.738083735913037997e-01 2.029636389042479561e+00 1.959817645597999869e-01 3.074182406832643433e-01
1.827216235190629867e-01 2.229197663366830451e+00 1.021966943524437177e-01 3.481485791592282553e-01
1.916348734468221460e-01 2.236642821885032717e+00 9.886242146905688255e-02 3.495966354736427806e-01
2.005481233745813330e-01 1.742794406828256815e+00 3.483486169176648328e-01 2.412461574792761632e-01
2.094613733023404922e-01 1.538349337597711974e+00 4.731284400001358192e-01 1.870549688616950090e-01
2.183746232300996515e-01 1.764730750003371540e+00 3.358402936963102992e-01 2.466784532321727452e-01
2.272878731578588107e-01 1.507520713016073488e+00 4.933720333692344640e-01 1.782632879676022131e-01
2.362011230856179977e-01 1.237803044274769171e+00 6.905003531276489026e-01 9.265154646966304586e-02
2.451143730133771570e-01 1.429104635712122873e+00 5.467903035729085870e-01 1.550640279853296444e-01
2.540276229411363440e-01 1.134340012423054267e+00 7.777874279191555607e-01 5.474325154623526507e-02
2.629408728688955033e-01 1.150537357397301230e+00 7.636093223297505395e-01 6.090072456755552671e-02
2.718541227966546625e-01 1.270753192154620459e+00 6.642286335057240310e-01 1.040612093315743947e-01
2.807673727244138773e-01 1.311373857594850145e+00 6.327630889530313496e-01 1.177265217008897913e-01
2.896806226521729810e-01 1.090822948042371676e+00 8.169060132942470576e-01 3.775426577797179328e-02
2.985938725799321958e-01 1.411602408483995541e+00 5.591129038454631939e-01 1.497123906842596497e-01
3.075071225076913550e-01 1.227005531572612496e+00 6.992617489437895628e-01 8.884652061294293079e-02
3.164203724354505143e-01 1.417889603717942704e+00 5.546688513057860259e-01 1.516424181795295867e-01
3.253336223632097290e-01 1.073722291257306782e+00 8.327070344692697468e-01 3.089196947322297992e-02
3.342468722909688328e-01 1.164090107734428337e+00 7.518986644154797006e-01 6.598659867917999744e-02
3.431601222187280475e-01 1.431313326232314109e+00 5.452459901274362419e-01 1.557347147930273068e-01
3.520733721464872068e-01 1.282498219310155285e+00 6.550285132618371975e-01 1.080567707863408777e-01
3.609866220742463661e-01 1.313546924997593512e+00 6.311073682062615653e-01 1.184455920847846122e-01
3.698998720020055808e-01 1.182683436378870301e+00 7.360524676165746127e-01 7.286851450809743447e-02
3.788131219297646846e-01 1.004971425942493779e+00 8.988793136627113434e-01 2.153713764549974354e-03
3.877263718575238993e-01 1.179633356321822868e+00 7.386347476573742465e-01 7.174704453564928475e-02
3.966396217852830031e-01 1.085632158785347468e+00 8.216759707196831242e-01 3.568269958919147861e-02
4.055528717130422178e-01 8.919302223216731829e-01 1.018205798430267484e+00 -4.966912011491209783e-02
4.144661216408014326e-01 7.183813075132033932e-01 1.234593204812773237e+00 -1.436449766601907985e-01
4.233793715685605363e-01 8.372773180368288104e-01 1.081438362420428456e+00 -7.713067373243333302e-02
4.322926214963197511e-01 8.956400049698221011e-01 1.014055149781633469e+00 -4.786651631049117922e-02
4.412058714240788548e-01 6.499183568941143685e-01 1.334746951631220702e+00 -1.871411962453779776e-01
4.501191213518380696e-01 5.669262386677138554e-01 1.471364497121565140e+00 -2.464734423830009791e-01
4.590323712795972844e-01 5.933497805811528414e-01 1.425809627539255775e+00 -2.266892138995817152e-01
4.679456212073563881e-01 5.906764132552054791e-01 1.430325358496502997e+00 -2.286503709360739323e-01
4.768588711351156029e-01 7.129059401910168292e-01 1.242244211332466541e+00 -1.469677665726994986e-01
4.857721210628747066e-01 6.971536897456208637e-01 1.264587813612981781e+00 -1.566714697489681729e-01
4.946853709906339214e-01 6.271789133394560789e-01 1.370361853696021814e+00 -2.026085516856457880e-01
