# created by program: /scratch/aporutho/miniconda3/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Tue Jun 20 14:16:50 2023
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_OtherCVs_AuxData/DPPC_DIPC_CHOL/353K/multi_west/newpcoord.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
3.633947950825094919e-02 5.133948282553782612e-03 6.662903531314848138e+00 -2.289548510560297956e+00
4.317481911852956433e-02 4.504251066031158754e-03 6.793756908008189654e+00 -2.346377409996623253e+00
5.001015872880816560e-02 1.926958838998737988e-02 5.340250418141938127e+00 -1.715127562037145559e+00
5.684549833908676686e-02 2.048063300509908938e-02 5.279298832048368695e+00 -1.688656624533457329e+00
6.368083794936538200e-02 3.523312703978161153e-02 4.736791791070874780e+00 -1.453048810243270594e+00
7.051617755964398326e-02 5.157051371392771394e-02 4.355828470693034582e+00 -1.287598542395633983e+00
7.735151716992258453e-02 9.183719072429784303e-02 3.778761196894090624e+00 -1.036981409697799839e+00
8.418685678020118579e-02 9.959841644269727678e-02 3.697632274899669724e+00 -1.001747566552863233e+00
9.102219639047981481e-02 2.235868891310541506e-01 2.888978436003255990e+00 -6.505536665502695826e-01
9.785753600075841607e-02 3.253216764601205013e-01 2.513964073643978558e+00 -4.876869983431687539e-01
1.046928756110370173e-01 5.266170870116088087e-01 2.032304845858087905e+00 -2.785050535579751130e-01
1.115282152213156186e-01 5.675300063445665177e-01 1.957484917620402332e+00 -2.460111715879509942e-01
1.183635548315942199e-01 6.830019648991966230e-01 1.772280803761883350e+00 -1.655780469134145727e-01
1.251988944418728211e-01 8.110685157133740164e-01 1.600426006646736843e+00 -9.094245683770356414e-02
1.320342340521514224e-01 1.059218837704731575e+00 1.333491570327447473e+00 2.498569588571876790e-02
1.388695736624300514e-01 1.265443624549467128e+00 1.155600509166886836e+00 1.022428021276641508e-01
1.457049132727086527e-01 1.521188994055713506e+00 9.715309992071372580e-01 1.821831745898190025e-01
1.525402528829872817e-01 2.076188269550352850e+00 6.604896114122373874e-01 3.172667329526734914e-01
1.593755924932658830e-01 2.148792041212875592e+00 6.261174182607157634e-01 3.321943867692920827e-01
1.662109321035444842e-01 2.538256916270342334e+00 4.595456691980882580e-01 4.045355782281643831e-01
1.730462717138230855e-01 3.002205160007557438e+00 2.916761892274162271e-01 4.774403670593956872e-01
1.798816113241016867e-01 2.926456200466120983e+00 3.172310580993231710e-01 4.663420285225653439e-01
1.867169509343802880e-01 3.058573956012621053e+00 2.730744813190926212e-01 4.855189861579567445e-01
1.935522905446588893e-01 3.261129786302637168e+00 2.089495656559576808e-01 5.133680831829676716e-01
2.003876301549374905e-01 3.818706790253755035e+00 5.111143249273419897e-02 5.819163134496663226e-01
2.072229697652161196e-01 3.617177771831912914e+00 1.053291604777442103e-01 5.583698533644448903e-01
2.140583093754947208e-01 4.018960395943976138e+00 0.000000000000000000e+00 6.041137265434312065e-01
2.208936489857733221e-01 4.004375385427984213e+00 3.635651549121154957e-03 6.025347831375249541e-01
2.277289885960519233e-01 3.652714798072177693e+00 9.555258979132252861e-02 5.626157640654949610e-01
2.345643282063305524e-01 3.631837440203277811e+00 1.012845591278754842e-01 5.601264014121913881e-01
2.413996678166091536e-01 3.195153462699886759e+00 2.293881423920549611e-01 5.044917220885243303e-01
2.482350074268877549e-01 3.074850530883384003e+00 2.677669689777064654e-01 4.878240094804541238e-01
2.550703470371663562e-01 3.248042314395229724e+00 2.129708111663723979e-01 5.116216784474162393e-01
