# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0064
# created at:         Tue Dec 13 13:53:48 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total/DPPC_DAPC_CHOL/353K/multi_west/pdist.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000104e-03 0.000000000000000000e+00 inf -inf
1.499999999999999944e-02 0.000000000000000000e+00 inf -inf
2.500000000000000139e-02 0.000000000000000000e+00 inf -inf
3.500000000000000333e-02 0.000000000000000000e+00 inf -inf
4.499999999999999833e-02 0.000000000000000000e+00 inf -inf
5.500000000000000028e-02 0.000000000000000000e+00 inf -inf
6.500000000000000222e-02 0.000000000000000000e+00 inf -inf
7.500000000000001110e-02 0.000000000000000000e+00 inf -inf
8.499999999999999223e-02 0.000000000000000000e+00 inf -inf
9.500000000000000111e-02 0.000000000000000000e+00 inf -inf
1.050000000000000100e-01 0.000000000000000000e+00 inf -inf
1.149999999999999911e-01 0.000000000000000000e+00 inf -inf
1.250000000000000000e-01 0.000000000000000000e+00 inf -inf
1.350000000000000089e-01 0.000000000000000000e+00 inf -inf
1.450000000000000178e-01 0.000000000000000000e+00 inf -inf
1.549999999999999989e-01 0.000000000000000000e+00 inf -inf
1.650000000000000078e-01 0.000000000000000000e+00 inf -inf
1.749999999999999889e-01 0.000000000000000000e+00 inf -inf
1.849999999999999978e-01 0.000000000000000000e+00 inf -inf
1.950000000000000067e-01 0.000000000000000000e+00 inf -inf
2.050000000000000155e-01 0.000000000000000000e+00 inf -inf
2.149999999999999967e-01 0.000000000000000000e+00 inf -inf
2.250000000000000056e-01 0.000000000000000000e+00 inf -inf
2.349999999999999867e-01 0.000000000000000000e+00 inf -inf
2.449999999999999956e-01 0.000000000000000000e+00 inf -inf
2.550000000000000044e-01 0.000000000000000000e+00 inf -inf
2.650000000000000133e-01 0.000000000000000000e+00 inf -inf
2.750000000000000222e-01 0.000000000000000000e+00 inf -inf
2.850000000000000311e-01 0.000000000000000000e+00 inf -inf
2.949999999999999845e-01 0.000000000000000000e+00 inf -inf
3.049999999999999933e-01 0.000000000000000000e+00 inf -inf
3.150000000000000022e-01 0.000000000000000000e+00 inf -inf
3.250000000000000111e-01 0.000000000000000000e+00 inf -inf
3.350000000000000200e-01 0.000000000000000000e+00 inf -inf
3.450000000000000289e-01 0.000000000000000000e+00 inf -inf
3.549999999999999822e-01 0.000000000000000000e+00 inf -inf
3.649999999999999911e-01 0.000000000000000000e+00 inf -inf
3.750000000000000000e-01 0.000000000000000000e+00 inf -inf
3.850000000000000089e-01 0.000000000000000000e+00 inf -inf
3.950000000000000178e-01 0.000000000000000000e+00 inf -inf
4.050000000000000266e-01 0.000000000000000000e+00 inf -inf
4.150000000000000355e-01 0.000000000000000000e+00 inf -inf
4.249999999999999889e-01 0.000000000000000000e+00 inf -inf
4.349999999999999978e-01 0.000000000000000000e+00 inf -inf
4.450000000000000067e-01 0.000000000000000000e+00 inf -inf
4.550000000000000155e-01 0.000000000000000000e+00 inf -inf
4.650000000000000244e-01 0.000000000000000000e+00 inf -inf
4.749999999999999778e-01 0.000000000000000000e+00 inf -inf
4.849999999999999867e-01 1.143042066645848207e-05 1.361738141918320011e+01 -4.941937786248652209e+00
4.949999999999999956e-01 3.521068008566867102e-06 1.479489534491261793e+01 -5.453325586557173921e+00
5.050000000000000044e-01 1.241774844082693837e-04 1.123194783191963353e+01 -3.905957142353405409e+00
5.150000000000000133e-01 1.558036061208023786e-04 1.100506342102541169e+01 -3.807422494672175084e+00
5.250000000000000222e-01 1.050266580580232765e-03 9.096860402832540160e+00 -2.978700453519881108e+00
5.350000000000000311e-01 3.430658683890725792e-03 7.913152142184177507e+00 -2.464622487737000878e+00
5.450000000000000400e-01 1.142530286770540061e-02 6.710073975407940594e+00 -1.942132278607801021e+00
5.550000000000000488e-01 2.305278278456305771e-02 6.008117930708989363e+00 -1.637276641856413972e+00
5.650000000000000577e-01 5.542821685871705817e-02 5.130815627376511756e+00 -1.256269092558106371e+00
5.749999999999999556e-01 1.331301827400303839e-01 4.254576953958803642e+00 -8.757234718625699355e-01
5.849999999999999645e-01 3.108574482969402863e-01 3.406569979552281247e+00 -5.074387222623453209e-01
5.949999999999999734e-01 7.052888038573994489e-01 2.587297051255374125e+00 -1.516330103302800936e-01
6.049999999999999822e-01 1.268828425353974998e+00 2.000055167078572005e+00 1.034028995101736320e-01
6.149999999999999911e-01 2.298047788371915701e+00 1.406089167216552749e+00 3.613590556883962135e-01
6.250000000000000000e-01 3.652671001828135200e+00 9.426904607672821346e-01 5.626105568204193830e-01
6.350000000000000089e-01 5.171586801514035159e+00 5.949695757768729276e-01 7.136238184142692509e-01
6.450000000000000178e-01 7.060605925345439182e+00 2.836182691209225837e-01 8.488419728283156385e-01
6.550000000000000266e-01 8.530812419316449180e+00 9.446454250197477975e-02 9.309903925303608663e-01
6.650000000000000355e-01 9.375961645003949130e+00 0.000000000000000000e+00 9.720158220744837818e-01
6.750000000000000444e-01 9.094756531316713577e+00 3.045109996016570619e-02 9.587910773938994602e-01
6.850000000000000533e-01 8.611733112472935048e+00 8.502355323240085028e-02 9.350905620738447777e-01
6.950000000000000622e-01 6.591331381934251610e+00 3.523937833115582396e-01 8.189731465252637621e-01
7.050000000000000711e-01 4.625596974266528605e+00 7.065437039111110984e-01 6.651677902424032451e-01
7.149999999999999689e-01 3.679348831799301500e+00 9.354133534199673417e-01 5.657709643855757253e-01
7.249999999999999778e-01 5.038717089050648745e+00 6.209976382053525867e-01 7.023199745269471661e-01
7.349999999999999867e-01 8.155445387575845473e+00 1.394632922054337421e-01 9.114476838416031290e-01
7.449999999999999956e-01 8.292889243588229320e+00 1.227507120927713302e-01 9.187058651628983164e-01
7.550000000000000044e-01 5.280535401712748822e+00 5.741216476461721285e-01 7.226779585605481726e-01
7.650000000000000133e-01 1.720524386104450798e+00 1.695520022060709620e+00 2.356608325370377899e-01
7.750000000000000222e-01 2.817350558909064162e-01 3.504937309848212834e+00 -5.501591110094229409e-01
