# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0064
# created at:         Tue Dec 13 14:04:07 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total/DPPC_DIPC_CHOL/323K/multi_west/pdist.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000104e-03 0.000000000000000000e+00 inf -inf
1.499999999999999944e-02 0.000000000000000000e+00 inf -inf
2.500000000000000139e-02 0.000000000000000000e+00 inf -inf
3.500000000000000333e-02 0.000000000000000000e+00 inf -inf
4.499999999999999833e-02 0.000000000000000000e+00 inf -inf
5.500000000000000028e-02 0.000000000000000000e+00 inf -inf
6.500000000000000222e-02 0.000000000000000000e+00 inf -inf
7.500000000000001110e-02 0.000000000000000000e+00 inf -inf
8.499999999999999223e-02 0.000000000000000000e+00 inf -inf
9.500000000000000111e-02 0.000000000000000000e+00 inf -inf
1.050000000000000100e-01 0.000000000000000000e+00 inf -inf
1.149999999999999911e-01 0.000000000000000000e+00 inf -inf
1.250000000000000000e-01 0.000000000000000000e+00 inf -inf
1.350000000000000089e-01 0.000000000000000000e+00 inf -inf
1.450000000000000178e-01 0.000000000000000000e+00 inf -inf
1.549999999999999989e-01 0.000000000000000000e+00 inf -inf
1.650000000000000078e-01 0.000000000000000000e+00 inf -inf
1.749999999999999889e-01 0.000000000000000000e+00 inf -inf
1.849999999999999978e-01 0.000000000000000000e+00 inf -inf
1.950000000000000067e-01 0.000000000000000000e+00 inf -inf
2.050000000000000155e-01 0.000000000000000000e+00 inf -inf
2.149999999999999967e-01 0.000000000000000000e+00 inf -inf
2.250000000000000056e-01 0.000000000000000000e+00 inf -inf
2.349999999999999867e-01 0.000000000000000000e+00 inf -inf
2.449999999999999956e-01 0.000000000000000000e+00 inf -inf
2.550000000000000044e-01 0.000000000000000000e+00 inf -inf
2.650000000000000133e-01 0.000000000000000000e+00 inf -inf
2.750000000000000222e-01 0.000000000000000000e+00 inf -inf
2.850000000000000311e-01 0.000000000000000000e+00 inf -inf
2.949999999999999845e-01 0.000000000000000000e+00 inf -inf
3.049999999999999933e-01 0.000000000000000000e+00 inf -inf
3.150000000000000022e-01 0.000000000000000000e+00 inf -inf
3.250000000000000111e-01 0.000000000000000000e+00 inf -inf
3.350000000000000200e-01 0.000000000000000000e+00 inf -inf
3.450000000000000289e-01 0.000000000000000000e+00 inf -inf
3.549999999999999822e-01 0.000000000000000000e+00 inf -inf
3.649999999999999911e-01 0.000000000000000000e+00 inf -inf
3.750000000000000000e-01 0.000000000000000000e+00 inf -inf
3.850000000000000089e-01 0.000000000000000000e+00 inf -inf
3.950000000000000178e-01 0.000000000000000000e+00 inf -inf
4.050000000000000266e-01 0.000000000000000000e+00 inf -inf
4.150000000000000355e-01 0.000000000000000000e+00 inf -inf
4.249999999999999889e-01 0.000000000000000000e+00 inf -inf
4.349999999999999978e-01 0.000000000000000000e+00 inf -inf
4.450000000000000067e-01 7.628069801142430353e-05 1.170435536713662472e+01 -4.117585341568311463e+00
4.550000000000000155e-01 2.636113040321024664e-04 1.046429961348793647e+01 -3.579035970506307507e+00
4.650000000000000244e-01 2.672424954273743859e-03 8.148033736690749151e+00 -2.573094481592491878e+00
4.749999999999999778e-01 2.625141545108162708e-02 5.863300109962907847e+00 -1.580847274885786913e+00
4.849999999999999867e-01 8.068365484090897488e-02 4.740484006975322018e+00 -1.093214437166164954e+00
4.949999999999999956e-01 2.070381416137845043e-01 3.798116984197217771e+00 -6.839496392460384655e-01
5.050000000000000044e-01 5.612707773506492304e-01 2.800816561343082878e+00 -2.508275688007079451e-01
5.150000000000000133e-01 1.162783057113061735e+00 2.072448421680406216e+00 6.549869504892967542e-02
5.250000000000000222e-01 2.462161902394676360e+00 1.322224954392760665e+00 3.913166070862789114e-01
5.350000000000000311e-01 4.020149123671876268e+00 8.319457431269583481e-01 6.042421631308954044e-01
5.450000000000000400e-01 5.916573642936873156e+00 4.455072357014449036e-01 7.720702745007247403e-01
5.550000000000000488e-01 6.463967733796128101e+00 3.570214109818778958e-01 8.104991799030909494e-01
5.650000000000000577e-01 6.502846166671501393e+00 3.510247876513066245e-01 8.131034803256103061e-01
5.749999999999999556e-01 5.747315060956214694e+00 4.745319406752295244e-01 7.594650052917402139e-01
5.849999999999999645e-01 5.800683199270195267e+00 4.652890369176889696e-01 7.634791473904027903e-01
5.949999999999999734e-01 5.801327740821151657e+00 4.651779283254031672e-01 7.635274012389245968e-01
6.049999999999999822e-01 5.070581951134052190e+00 5.998091462334829149e-01 7.050578062095314014e-01
6.149999999999999911e-01 3.475958847828617859e+00 9.773943721221560743e-01 5.410746261578877059e-01
6.250000000000000000e-01 1.905821169475818033e+00 1.578351764719388761e+00 2.800821466939434901e-01
6.350000000000000089e-01 8.988756129327041267e-01 2.329875356181647206e+00 -4.630040209822913061e-02
6.450000000000000178e-01 9.573605612662965392e-01 2.266839936963062740e+00 -1.892446736713967667e-02
6.550000000000000266e-01 2.488040385889960682e+00 1.311769333494558820e+00 3.958574255472402381e-01
6.650000000000000355e-01 4.799175295016257614e+00 6.548206508967058248e-01 6.811666132930986883e-01
6.750000000000000444e-01 6.787836011869261554e+00 3.081325519647635236e-01 8.317313416007698912e-01
6.850000000000000533e-01 9.237439533705853023e+00 0.000000000000000000e+00 9.655516086138336007e-01
6.950000000000000622e-01 8.778778013953388637e+00 5.092752091503438550e-02 9.434340673034217195e-01
7.050000000000000711e-01 6.628092000886536717e+00 3.319477604019567263e-01 8.213885279911210535e-01
7.149999999999999689e-01 3.009151501906183857e+00 1.121606594543589575e+00 4.784440537372547930e-01
7.249999999999999778e-01 1.026756156194476688e+00 2.196860270867429410e+00 1.146731546362584134e-02
7.349999999999999867e-01 1.642196826661679598e-01 4.029814959584182787e+00 -7.845747914247526156e-01
7.449999999999999956e-01 1.583578048825933990e-02 6.368748051909790320e+00 -1.800360526962673235e+00
7.550000000000000044e-01 1.356094178702066941e-05 1.343158156505432110e+01 -4.867710148322701436e+00
7.650000000000000133e-01 0.000000000000000000e+00 inf -inf
