# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:05:09 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/298K/multi_west/clucountdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.171800000000000175e+00 2.189588028598122016e-01 4.330852833062390772e-01 -6.596375900626701982e-01
2.515399999999999636e+00 0.000000000000000000e+00 inf -inf
2.858999999999999986e+00 3.376361649432543799e-01 0.000000000000000000e+00 -4.715510413292640646e-01
3.202600000000000335e+00 0.000000000000000000e+00 inf -inf
3.546199999999999797e+00 0.000000000000000000e+00 inf -inf
3.889800000000000146e+00 2.933407826039520216e-01 1.406338669091200533e-01 -5.326275536966113000e-01
4.233400000000000496e+00 0.000000000000000000e+00 inf -inf
4.576999999999999957e+00 0.000000000000000000e+00 inf -inf
4.920600000000000307e+00 2.110879447047131208e-01 4.696940344438880199e-01 -6.755365686711205520e-01
5.264199999999999768e+00 0.000000000000000000e+00 inf -inf
5.607800000000000118e+00 0.000000000000000000e+00 inf -inf
5.951400000000000468e+00 1.559621852218768256e-01 7.723553051900999833e-01 -8.069806884420265281e-01
6.294999999999999929e+00 0.000000000000000000e+00 inf -inf
6.638600000000000279e+00 0.000000000000000000e+00 inf -inf
6.982200000000000628e+00 1.402581872872768753e-01 8.784839615527124668e-01 -8.530717782721155551e-01
7.325800000000000090e+00 0.000000000000000000e+00 inf -inf
7.669400000000000439e+00 0.000000000000000000e+00 inf -inf
8.012999999999999901e+00 1.284042259294731481e-01 9.667855776939779933e-01 -8.914206829054062142e-01
8.356600000000000250e+00 0.000000000000000000e+00 inf -inf
8.700200000000000600e+00 0.000000000000000000e+00 inf -inf
9.043800000000000949e+00 1.372747222479579754e-01 8.999846907944126784e-01 -8.624094263386818948e-01
9.387399999999999523e+00 0.000000000000000000e+00 inf -inf
9.730999999999999872e+00 0.000000000000000000e+00 inf -inf
1.007460000000000022e+01 1.494076182041665368e-01 8.152906172371250371e-01 -8.256272575428437177e-01
1.041820000000000057e+01 0.000000000000000000e+00 inf -inf
1.076180000000000092e+01 0.000000000000000000e+00 inf -inf
1.110539999999999949e+01 1.622090199037019009e-01 7.330831307325240687e-01 -7.899249997827594294e-01
1.144900000000000162e+01 0.000000000000000000e+00 inf -inf
1.179260000000000019e+01 0.000000000000000000e+00 inf -inf
1.213620000000000054e+01 1.699253797433986080e-01 6.866094826307236332e-01 -7.697417508582340417e-01
1.247980000000000089e+01 0.000000000000000000e+00 inf -inf
1.282339999999999947e+01 0.000000000000000000e+00 inf -inf
1.316700000000000159e+01 1.638026934305025772e-01 7.233062659381150894e-01 -7.856789613522334736e-01
1.351060000000000016e+01 0.000000000000000000e+00 inf -inf
1.385420000000000051e+01 1.528355418445667968e-01 7.926064272523705156e-01 -8.157756390060197926e-01
1.419780000000000086e+01 0.000000000000000000e+00 inf -inf
1.454139999999999944e+01 0.000000000000000000e+00 inf -inf
1.488500000000000156e+01 1.397314326076270208e-01 8.822466389070999782e-01 -8.547058882843083794e-01
1.522860000000000014e+01 0.000000000000000000e+00 inf -inf
1.557220000000000049e+01 0.000000000000000000e+00 inf -inf
1.591580000000000084e+01 1.139704943132688331e-01 1.086029287550636324e+00 -9.432075680978253551e-01
1.625939999999999941e+01 0.000000000000000000e+00 inf -inf
1.660300000000000153e+01 0.000000000000000000e+00 inf -inf
1.694660000000000011e+01 7.947495730645977308e-02 1.446526911029424545e+00 -1.099769696713899236e+00
1.729020000000000223e+01 0.000000000000000000e+00 inf -inf
1.763380000000000081e+01 0.000000000000000000e+00 inf -inf
1.797739999999999938e+01 6.390290655980510048e-02 1.664604034213587935e+00 -1.194479387942116944e+00
1.832100000000000151e+01 0.000000000000000000e+00 inf -inf
1.866460000000000008e+01 0.000000000000000000e+00 inf -inf
1.900820000000000221e+01 3.858375819989950245e-02 2.169137464733486453e+00 -1.413595472752626758e+00
1.935180000000000078e+01 0.000000000000000000e+00 inf -inf
1.969539999999999935e+01 0.000000000000000000e+00 inf -inf
2.003900000000000148e+01 2.797532521216842399e-02 2.490646001401281673e+00 -1.553224856112239705e+00
2.038260000000000360e+01 0.000000000000000000e+00 inf -inf
2.072619999999999862e+01 0.000000000000000000e+00 inf -inf
2.106980000000000075e+01 1.238115297044957604e-02 3.305793486011303628e+00 -1.907238910615687733e+00
2.141340000000000288e+01 0.000000000000000000e+00 inf -inf
2.175700000000000145e+01 0.000000000000000000e+00 inf -inf
2.210060000000000002e+01 6.516881921668260351e-03 3.947572851955770901e+00 -2.185960147844737911e+00
