# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:05:37 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/298K/multi_west/clucounttotal.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
4.237550000000000594e+00 4.243010418077820811e-02 1.534881453352558101e+00 -1.372325901886894517e+00
4.712650000000000006e+00 0.000000000000000000e+00 inf -inf
5.187749999999999417e+00 1.338180223900098109e-01 3.862587328095838934e-01 -8.734853925663799146e-01
5.662849999999999717e+00 0.000000000000000000e+00 inf -inf
6.137950000000000017e+00 1.969085815369953640e-01 0.000000000000000000e+00 -7.057353563202350966e-01
6.613049999999999429e+00 0.000000000000000000e+00 inf -inf
7.088149999999999729e+00 1.966867046572862709e-01 1.127436791009461814e-03 -7.062249958972652841e-01
7.563250000000000028e+00 0.000000000000000000e+00 inf -inf
8.038349999999999440e+00 1.582703333678840973e-01 2.184350262534460185e-01 -8.006004828764987646e-01
8.513449999999998852e+00 0.000000000000000000e+00 inf -inf
8.988550000000000040e+00 1.225652154338948002e-01 4.740963087057106229e-01 -9.116327670818259454e-01
9.463649999999999451e+00 0.000000000000000000e+00 inf -inf
9.938749999999998863e+00 1.012852715273026005e-01 6.647985618337139968e-01 -9.944537033018349126e-01
1.041385000000000005e+01 0.000000000000000000e+00 inf -inf
1.088894999999999946e+01 9.649316384592906970e-02 7.132674030595507197e-01 -1.015503453590460570e+00
1.136404999999999887e+01 0.000000000000000000e+00 inf -inf
1.183915000000000006e+01 9.042657625233233021e-02 7.782013586351692602e-01 -1.043703912185102833e+00
1.231424999999999947e+01 0.000000000000000000e+00 inf -inf
1.278934999999999889e+01 9.734255971541823371e-02 7.045032672158271225e-01 -1.011697237754880963e+00
1.326445000000000007e+01 0.000000000000000000e+00 inf -inf
1.373954999999999949e+01 0.000000000000000000e+00 inf -inf
1.421464999999999890e+01 1.063483527829687247e-01 6.160195150355991522e-01 -9.732692324449132570e-01
1.468975000000000009e+01 0.000000000000000000e+00 inf -inf
1.516484999999999950e+01 1.034167204880227925e-01 6.439729120717205824e-01 -9.854092385281514321e-01
1.563994999999999891e+01 0.000000000000000000e+00 inf -inf
1.611505000000000010e+01 1.185217245112844126e-01 5.076432949387310600e-01 -9.262020380873110525e-01
1.659015000000000128e+01 0.000000000000000000e+00 inf -inf
1.706524999999999892e+01 1.036946657954025547e-01 6.412888928178661629e-01 -9.842435837768802598e-01
1.754034999999999656e+01 0.000000000000000000e+00 inf -inf
1.801545000000000130e+01 1.025031168812928772e-01 6.528463612062123111e-01 -9.892629285227103608e-01
1.849054999999999893e+01 0.000000000000000000e+00 inf -inf
1.896564999999999657e+01 9.432158575428180314e-02 7.360294993401499397e-01 -1.025388906401675237e+00
1.944075000000000131e+01 0.000000000000000000e+00 inf -inf
1.991584999999999894e+01 7.115683227202707073e-02 1.017853221683700404e+00 -1.147783393884913572e+00
2.039094999999999658e+01 0.000000000000000000e+00 inf -inf
2.086605000000000132e+01 5.763798688473087406e-02 1.228557723062849938e+00 -1.239291196146054208e+00
2.134114999999999895e+01 0.000000000000000000e+00 inf -inf
2.181624999999999659e+01 4.462843690862258739e-02 1.484368313226049452e+00 -1.350388323866346107e+00
2.229135000000000133e+01 0.000000000000000000e+00 inf -inf
2.276644999999999897e+01 2.834167912617018698e-02 1.938406086077385737e+00 -1.547574423191323545e+00
2.324154999999999660e+01 0.000000000000000000e+00 inf -inf
2.371665000000000134e+01 0.000000000000000000e+00 inf -inf
2.419174999999999898e+01 1.590240988810715309e-02 2.516268904889236158e+00 -1.798537056698369163e+00
2.466684999999999661e+01 0.000000000000000000e+00 inf -inf
2.514195000000000135e+01 1.160425582502860702e-02 2.831367655624569490e+00 -1.935382705397332259e+00
2.561704999999999899e+01 0.000000000000000000e+00 inf -inf
2.609214999999999662e+01 4.732982870695165434e-03 3.728183936124846998e+00 -2.324865067299601407e+00
2.656725000000000136e+01 0.000000000000000000e+00 inf -inf
2.704234999999999900e+01 3.202717819493247024e-03 4.118739799989951322e+00 -2.494481323851173826e+00
2.751744999999999663e+01 0.000000000000000000e+00 inf -inf
2.799254999999999782e+01 1.190818610846861112e-03 5.108098589022654679e+00 -2.924154386550560591e+00
2.846764999999999901e+01 0.000000000000000000e+00 inf -inf
2.894274999999999665e+01 8.515439383612039134e-04 5.443443747002172373e+00 -3.069792938194039866e+00
2.941784999999999783e+01 0.000000000000000000e+00 inf -inf
2.989294999999999902e+01 3.629459903306891336e-04 6.296240810675286070e+00 -3.440157997130568912e+00
3.036804999999999666e+01 0.000000000000000000e+00 inf -inf
3.084314999999999785e+01 1.426346116072247077e-04 7.230208650230315115e+00 -3.845775076124419822e+00
3.131824999999999903e+01 0.000000000000000000e+00 inf -inf
3.179335000000000022e+01 2.810004511842086259e-05 8.854723664926295257e+00 -4.551292982775863472e+00
3.226845000000000141e+01 0.000000000000000000e+00 inf -inf
3.274354999999999905e+01 0.000000000000000000e+00 inf -inf
3.321864999999999668e+01 0.000000000000000000e+00 inf -inf
3.369374999999999432e+01 0.000000000000000000e+00 inf -inf
3.416884999999999195e+01 3.993974537610221663e-06 1.080570798708934177e+01 -5.398594708171031264e+00
3.464395000000000380e+01 0.000000000000000000e+00 inf -inf
3.511905000000000143e+01 0.000000000000000000e+00 inf -inf
3.559414999999999907e+01 0.000000000000000000e+00 inf -inf
3.606924999999999670e+01 0.000000000000000000e+00 inf -inf
3.654434999999999434e+01 0.000000000000000000e+00 inf -inf
3.701944999999999908e+01 0.000000000000000000e+00 inf -inf
3.749454999999999671e+01 0.000000000000000000e+00 inf -inf
3.796965000000000146e+01 0.000000000000000000e+00 inf -inf
3.844474999999999909e+01 0.000000000000000000e+00 inf -inf
3.891984999999999673e+01 0.000000000000000000e+00 inf -inf
