# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:06:03 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/298K/multi_west/clusbydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.819108509868383308e-02 0.000000000000000000e+00 inf -inf
3.790658843070268680e-02 0.000000000000000000e+00 inf -inf
4.762209176272153704e-02 0.000000000000000000e+00 inf -inf
5.733759509474038729e-02 0.000000000000000000e+00 inf -inf
6.705309842675924448e-02 0.000000000000000000e+00 inf -inf
7.676860175877808778e-02 0.000000000000000000e+00 inf -inf
8.648410509079694497e-02 0.000000000000000000e+00 inf -inf
9.619960842281580216e-02 0.000000000000000000e+00 inf -inf
1.059151117548346455e-01 0.000000000000000000e+00 inf -inf
1.156306150868535026e-01 0.000000000000000000e+00 inf -inf
1.253461184188723321e-01 0.000000000000000000e+00 inf -inf
1.350616217508912031e-01 0.000000000000000000e+00 inf -inf
1.447771250829100742e-01 0.000000000000000000e+00 inf -inf
1.544926284149288898e-01 0.000000000000000000e+00 inf -inf
1.642081317469477608e-01 0.000000000000000000e+00 inf -inf
1.739236350789666319e-01 0.000000000000000000e+00 inf -inf
1.836391384109854474e-01 0.000000000000000000e+00 inf -inf
1.933546417430043185e-01 0.000000000000000000e+00 inf -inf
2.030701450750231896e-01 0.000000000000000000e+00 inf -inf
2.127856484070420051e-01 0.000000000000000000e+00 inf -inf
2.225011517390608762e-01 0.000000000000000000e+00 inf -inf
2.322166550710797472e-01 0.000000000000000000e+00 inf -inf
2.419321584030985628e-01 0.000000000000000000e+00 inf -inf
2.516476617351174339e-01 0.000000000000000000e+00 inf -inf
2.613631650671363049e-01 0.000000000000000000e+00 inf -inf
2.710786683991551760e-01 0.000000000000000000e+00 inf -inf
2.807941717311739915e-01 0.000000000000000000e+00 inf -inf
2.905096750631928071e-01 0.000000000000000000e+00 inf -inf
3.002251783952116782e-01 0.000000000000000000e+00 inf -inf
3.099406817272305492e-01 0.000000000000000000e+00 inf -inf
3.196561850592494203e-01 0.000000000000000000e+00 inf -inf
3.293716883912682358e-01 0.000000000000000000e+00 inf -inf
3.390871917232871069e-01 0.000000000000000000e+00 inf -inf
3.488026950553059224e-01 0.000000000000000000e+00 inf -inf
3.585181983873247935e-01 0.000000000000000000e+00 inf -inf
3.682337017193436646e-01 0.000000000000000000e+00 inf -inf
3.779492050513625356e-01 0.000000000000000000e+00 inf -inf
3.876647083833813512e-01 0.000000000000000000e+00 inf -inf
3.973802117154002222e-01 0.000000000000000000e+00 inf -inf
4.070957150474190378e-01 0.000000000000000000e+00 inf -inf
4.168112183794379089e-01 0.000000000000000000e+00 inf -inf
4.265267217114567799e-01 0.000000000000000000e+00 inf -inf
4.362422250434756510e-01 0.000000000000000000e+00 inf -inf
4.459577283754944665e-01 0.000000000000000000e+00 inf -inf
4.556732317075133376e-01 0.000000000000000000e+00 inf -inf
4.653887350395321532e-01 0.000000000000000000e+00 inf -inf
4.751042383715510242e-01 0.000000000000000000e+00 inf -inf
