# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:07:02 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/298K/multi_west/corebydxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.258427919279784049e-02 0.000000000000000000e+00 inf -inf
2.108617004249244836e-02 0.000000000000000000e+00 inf -inf
2.958806089218705970e-02 0.000000000000000000e+00 inf -inf
3.808995174188166410e-02 0.000000000000000000e+00 inf -inf
4.659184259157628238e-02 0.000000000000000000e+00 inf -inf
5.509373344127088679e-02 0.000000000000000000e+00 inf -inf
6.359562429096549119e-02 0.000000000000000000e+00 inf -inf
7.209751514066009559e-02 0.000000000000000000e+00 inf -inf
8.059940599035471387e-02 0.000000000000000000e+00 inf -inf
8.910129684004933215e-02 0.000000000000000000e+00 inf -inf
9.760318768974393655e-02 0.000000000000000000e+00 inf -inf
1.061050785394385410e-01 0.000000000000000000e+00 inf -inf
1.146069693891331454e-01 0.000000000000000000e+00 inf -inf
1.231088602388277498e-01 0.000000000000000000e+00 inf -inf
1.316107510885223819e-01 0.000000000000000000e+00 inf -inf
1.401126419382169863e-01 0.000000000000000000e+00 inf -inf
1.486145327879115907e-01 0.000000000000000000e+00 inf -inf
1.571164236376061951e-01 0.000000000000000000e+00 inf -inf
1.656183144873007995e-01 0.000000000000000000e+00 inf -inf
1.741202053369954317e-01 0.000000000000000000e+00 inf -inf
1.826220961866900361e-01 0.000000000000000000e+00 inf -inf
1.911239870363846405e-01 0.000000000000000000e+00 inf -inf
1.996258778860792449e-01 0.000000000000000000e+00 inf -inf
2.081277687357738493e-01 0.000000000000000000e+00 inf -inf
2.166296595854684814e-01 0.000000000000000000e+00 inf -inf
2.251315504351630858e-01 0.000000000000000000e+00 inf -inf
2.336334412848576902e-01 0.000000000000000000e+00 inf -inf
2.421353321345522946e-01 0.000000000000000000e+00 inf -inf
2.506372229842468990e-01 0.000000000000000000e+00 inf -inf
2.591391138339415035e-01 0.000000000000000000e+00 inf -inf
2.676410046836361634e-01 0.000000000000000000e+00 inf -inf
2.761428955333307123e-01 0.000000000000000000e+00 inf -inf
2.846447863830253722e-01 0.000000000000000000e+00 inf -inf
2.931466772327199211e-01 0.000000000000000000e+00 inf -inf
3.016485680824145810e-01 0.000000000000000000e+00 inf -inf
3.101504589321091299e-01 0.000000000000000000e+00 inf -inf
3.186523497818037898e-01 0.000000000000000000e+00 inf -inf
3.271542406314983942e-01 0.000000000000000000e+00 inf -inf
3.356561314811929986e-01 0.000000000000000000e+00 inf -inf
3.441580223308876585e-01 0.000000000000000000e+00 inf -inf
3.526599131805822074e-01 0.000000000000000000e+00 inf -inf
3.611618040302768673e-01 0.000000000000000000e+00 inf -inf
3.696636948799714162e-01 0.000000000000000000e+00 inf -inf
3.781655857296660761e-01 0.000000000000000000e+00 inf -inf
3.866674765793606250e-01 0.000000000000000000e+00 inf -inf
3.951693674290552849e-01 0.000000000000000000e+00 inf -inf
4.036712582787498338e-01 0.000000000000000000e+00 inf -inf
4.121731491284444937e-01 0.000000000000000000e+00 inf -inf
4.206750399781390981e-01 0.000000000000000000e+00 inf -inf
4.291769308278337025e-01 0.000000000000000000e+00 inf -inf
4.376788216775283624e-01 0.000000000000000000e+00 inf -inf
4.461807125272229113e-01 4.550589299299921610e-04 9.568155165131347673e+00 -3.341932358757820243e+00
4.546826033769175712e-01 1.693609120431718157e-02 5.951379893991580516e+00 -1.771186816217681592e+00
4.631844942266121201e-01 1.833944904748811486e-02 5.871772387697403062e+00 -1.736613715516042378e+00
4.716863850763067800e-01 3.441947218962600197e-02 5.242204356786949404e+00 -1.463195793708936598e+00
4.801882759260013289e-01 1.185287559139782815e-01 4.005671215965984189e+00 -9.261762739598948802e-01
4.886901667756959888e-01 3.022578288127796275e-01 3.069546422104587613e+00 -5.196224416130709178e-01
