# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:07:21 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/298K/multi_west/corebytotal.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
8.556416474655270665e-03 0.000000000000000000e+00 inf -inf
1.400258270762860802e-02 0.000000000000000000e+00 inf -inf
1.944874894060194537e-02 0.000000000000000000e+00 inf -inf
2.489491517357528272e-02 0.000000000000000000e+00 inf -inf
3.034108140654862007e-02 0.000000000000000000e+00 inf -inf
3.578724763952195742e-02 0.000000000000000000e+00 inf -inf
4.123341387249529477e-02 0.000000000000000000e+00 inf -inf
4.667958010546863212e-02 0.000000000000000000e+00 inf -inf
5.212574633844196947e-02 0.000000000000000000e+00 inf -inf
5.757191257141530683e-02 0.000000000000000000e+00 inf -inf
6.301807880438864418e-02 0.000000000000000000e+00 inf -inf
6.846424503736198153e-02 0.000000000000000000e+00 inf -inf
7.391041127033531888e-02 0.000000000000000000e+00 inf -inf
7.935657750330865623e-02 0.000000000000000000e+00 inf -inf
8.480274373628199358e-02 0.000000000000000000e+00 inf -inf
9.024890996925533093e-02 0.000000000000000000e+00 inf -inf
9.569507620222866828e-02 0.000000000000000000e+00 inf -inf
1.011412424352020056e-01 0.000000000000000000e+00 inf -inf
1.065874086681753430e-01 0.000000000000000000e+00 inf -inf
1.120335749011486803e-01 0.000000000000000000e+00 inf -inf
1.174797411341220177e-01 0.000000000000000000e+00 inf -inf
1.229259073670953550e-01 0.000000000000000000e+00 inf -inf
1.283720736000686924e-01 0.000000000000000000e+00 inf -inf
1.338182398330420297e-01 0.000000000000000000e+00 inf -inf
1.392644060660153671e-01 0.000000000000000000e+00 inf -inf
1.447105722989887044e-01 0.000000000000000000e+00 inf -inf
