# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:07:34 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/298K/multi_west/outbytotal.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.781562880784273162e-01 0.000000000000000000e+00 inf -inf
1.861355352729558987e-01 7.353564478282596079e-05 1.196600885853401941e+01 -4.133502095201402327e+00
1.941147824674844813e-01 1.531040582713578133e-03 8.930076207597171134e+00 -2.815013297469617370e+00
2.020940296620130638e-01 4.948429987191253071e-02 5.454368386286315484e+00 -1.305532569966338929e+00
2.100732768565416464e-01 3.374581668761561515e-01 3.534582278612179884e+00 -4.717800569689398760e-01
2.180525240510702289e-01 1.915579908063178793e+00 1.798248151419077789e+00 2.823002732113232272e-01
2.260317712455988115e-01 5.127085024969899152e+00 8.137312758332473361e-01 7.098705196188798139e-01
2.340110184401273941e-01 9.372872942538650776e+00 2.104488922789049532e-01 9.718727298259717262e-01
2.419902656346559766e-01 1.156829946292456235e+01 0.000000000000000000e+00 1.063269522465351891e+00
2.499695128291845592e-01 9.052629621032146190e+00 2.452132708979606335e-01 9.567747520249204607e-01
2.579487600237131417e-01 7.217946997280779264e+00 4.716979892009345310e-01 8.584136886305264724e-01
2.659280072182417243e-01 4.852028795336716271e+00 8.688716264639093634e-01 6.859233696097727373e-01
2.739072544127703068e-01 4.625338673185587446e+00 9.167189573454461726e-01 6.651435378341222782e-01
2.818865016072988894e-01 4.229114467123525678e+00 1.006275926955010114e+00 6.262494401167113534e-01
2.898657488018274719e-01 3.750985812650579287e+00 1.126249863455589306e+00 5.741454215222987489e-01
2.978449959963560545e-01 4.443667125621931113e+00 9.567885875171833199e-01 6.477415185586328228e-01
3.058242431908846370e-01 4.473998277858570738e+00 9.499860741178429713e-01 6.506958125910391466e-01
3.138034903854132196e-01 5.568065435470297864e+00 7.312208772405144330e-01 7.457043304273415218e-01
3.217827375799418022e-01 5.822541017331875679e+00 6.865317848865881700e-01 7.651125566379164411e-01
3.297619847744703847e-01 6.521168747794985343e+00 5.732149365926793028e-01 8.143254385586290445e-01
3.377412319689989673e-01 6.471533481598298998e+00 5.808554576768383271e-01 8.110072024129133528e-01
3.457204791635275498e-01 5.868978062796627704e+00 6.785880285038059512e-01 7.685624862005425717e-01
3.536997263580561324e-01 6.017253089798246357e+00 6.536376944539206146e-01 7.793982786000506202e-01
3.616789735525847149e-01 4.599536443694715260e+00 9.223130269563633021e-01 6.627140642707183282e-01
3.696582207471132420e-01 4.392959146655965874e+00 9.682654869590245905e-01 6.427571644616826285e-01
3.776374679416418245e-01 3.228749861791234022e+00 1.276173529641362103e+00 5.090344005911124903e-01
3.856167151361704071e-01 2.311260334389191318e+00 1.610475577212418852e+00 3.638488660420442500e-01
3.935959623306989896e-01 1.625660103336109108e+00 1.962354601528277342e+00 2.110297474841666965e-01
4.015752095252275722e-01 8.605008376800877823e-01 2.598509242113997253e+00 -6.524870255935801000e-02
4.095544567197561547e-01 5.905948649446195464e-01 2.974893556615417545e+00 -2.287103334222629625e-01
4.175337039142847373e-01 2.503055937422265509e-01 3.833341284906617297e+00 -6.015294448215129375e-01
4.255129511088133198e-01 9.460000496144702065e-02 4.806366302741336582e+00 -1.024108840820944888e+00
4.334921983033419024e-01 3.778504717806507179e-02 5.724110384181417821e+00 -1.422680031189740513e+00
4.414714454978704850e-01 4.264026415775508394e-02 5.603224856338052007e+00 -1.370180113505404584e+00
4.494506926923990675e-01 2.790333472522201798e-03 8.329862718353421513e+00 -2.554343891127160315e+00
4.574299398869276501e-01 8.912068414153080794e-05 1.177378765744540701e+01 -4.050021488263801928e+00
4.654091870814562326e-01 0.000000000000000000e+00 inf -inf
4.733884342759848152e-01 0.000000000000000000e+00 inf -inf
4.813676814705133977e-01 0.000000000000000000e+00 inf -inf
4.893469286650419803e-01 0.000000000000000000e+00 inf -inf
4.973261758595706183e-01 0.000000000000000000e+00 inf -inf
5.053054230540992009e-01 0.000000000000000000e+00 inf -inf
5.132846702486277835e-01 0.000000000000000000e+00 inf -inf
5.212639174431563660e-01 0.000000000000000000e+00 inf -inf
5.292431646376849486e-01 0.000000000000000000e+00 inf -inf
5.372224118322135311e-01 0.000000000000000000e+00 inf -inf
5.452016590267421137e-01 0.000000000000000000e+00 inf -inf
5.531809062212706962e-01 0.000000000000000000e+00 inf -inf
5.611601534157991678e-01 0.000000000000000000e+00 inf -inf
5.691394006103277503e-01 0.000000000000000000e+00 inf -inf
5.771186478048563329e-01 0.000000000000000000e+00 inf -inf
5.850978949993849154e-01 0.000000000000000000e+00 inf -inf
5.930771421939134980e-01 0.000000000000000000e+00 inf -inf
6.010563893884420805e-01 0.000000000000000000e+00 inf -inf
6.090356365829706631e-01 0.000000000000000000e+00 inf -inf
6.170148837774992456e-01 0.000000000000000000e+00 inf -inf
6.249941309720278282e-01 0.000000000000000000e+00 inf -inf
6.329733781665564107e-01 0.000000000000000000e+00 inf -inf
6.409526253610849933e-01 0.000000000000000000e+00 inf -inf
6.489318725556135758e-01 0.000000000000000000e+00 inf -inf
6.569111197501421584e-01 0.000000000000000000e+00 inf -inf
6.648903669446707410e-01 0.000000000000000000e+00 inf -inf
6.728696141391993235e-01 0.000000000000000000e+00 inf -inf
6.808488613337279061e-01 0.000000000000000000e+00 inf -inf
6.888281085282564886e-01 0.000000000000000000e+00 inf -inf
6.968073557227850712e-01 0.000000000000000000e+00 inf -inf
7.047866029173136537e-01 0.000000000000000000e+00 inf -inf
7.127658501118422363e-01 0.000000000000000000e+00 inf -inf
7.207450973063708188e-01 0.000000000000000000e+00 inf -inf
7.287243445008994014e-01 0.000000000000000000e+00 inf -inf
7.367035916954279839e-01 0.000000000000000000e+00 inf -inf
7.446828388899565665e-01 0.000000000000000000e+00 inf -inf
7.526620860844851491e-01 0.000000000000000000e+00 inf -inf
7.606413332790137316e-01 0.000000000000000000e+00 inf -inf
7.686205804735423142e-01 0.000000000000000000e+00 inf -inf
7.765998276680708967e-01 0.000000000000000000e+00 inf -inf
7.845790748625994793e-01 0.000000000000000000e+00 inf -inf
7.925583220571280618e-01 0.000000000000000000e+00 inf -inf
8.005375692516566444e-01 0.000000000000000000e+00 inf -inf
8.085168164461852269e-01 0.000000000000000000e+00 inf -inf
8.164960636407138095e-01 0.000000000000000000e+00 inf -inf
8.244753108352423920e-01 0.000000000000000000e+00 inf -inf
8.324545580297709746e-01 0.000000000000000000e+00 inf -inf
8.404338052242995571e-01 0.000000000000000000e+00 inf -inf
8.484130524188281397e-01 0.000000000000000000e+00 inf -inf
8.563922996133567223e-01 0.000000000000000000e+00 inf -inf
