# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:20:33 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/333K/multi_west/clusbychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.136081708967685714e-03 2.583050400365196992e+02 0.000000000000000000e+00 2.412132880190717366e+00
3.408245126903057358e-03 0.000000000000000000e+00 inf -inf
5.680408544838429219e-03 0.000000000000000000e+00 inf -inf
7.952571962773800213e-03 0.000000000000000000e+00 inf -inf
1.022473538070917121e-02 0.000000000000000000e+00 inf -inf
1.249689879864454220e-02 0.000000000000000000e+00 inf -inf
1.476906221657991493e-02 0.000000000000000000e+00 inf -inf
1.704122563451528766e-02 0.000000000000000000e+00 inf -inf
1.931338905245065518e-02 0.000000000000000000e+00 inf -inf
2.158555247038602964e-02 0.000000000000000000e+00 inf -inf
2.385771588832139717e-02 0.000000000000000000e+00 inf -inf
2.612987930625677163e-02 0.000000000000000000e+00 inf -inf
2.840204272419214609e-02 1.109622708237061346e+02 8.449509712046827659e-01 2.045175335917730486e+00
3.067420614212751362e-02 0.000000000000000000e+00 inf -inf
3.294636956006288808e-02 7.559869348711949932e+00 3.531287304122240123e+00 8.785142899954185847e-01
3.521853297799825561e-02 0.000000000000000000e+00 inf -inf
3.749069639593363007e-02 6.776572237472184845e+00 3.640669807833451621e+00 8.310100722168773935e-01
3.976285981386899759e-02 0.000000000000000000e+00 inf -inf
4.203502323180437206e-02 9.376942365834064930e+00 3.315887476162488134e+00 9.720612466812484920e-01
4.430718664973974652e-02 0.000000000000000000e+00 inf -inf
4.657935006767511404e-02 4.182772841933212860e+00 4.123166826322643530e+00 6.214642795522500318e-01
4.885151348561048157e-02 1.899676823639747214e+00 4.912457433364154191e+00 2.786797242960540322e-01
5.112367690354585603e-02 0.000000000000000000e+00 inf -inf
5.339584032148123049e-02 1.318414316548783161e+00 5.277711473101073025e+00 1.200519103454390085e-01
5.566800373941660496e-02 0.000000000000000000e+00 inf -inf
5.794016715735197248e-02 2.168088437947039537e+01 2.477710244097484971e+00 1.336076993424020642e+00
6.021233057528734001e-02 0.000000000000000000e+00 inf -inf
6.248449399322271447e-02 3.501099792394786192e+00 4.301064066712835476e+00 5.442044897049733709e-01
6.475665741115808893e-02 0.000000000000000000e+00 inf -inf
6.702882082909344952e-02 2.410631485694151976e+00 4.674252471809537290e+00 3.821308246612002968e-01
6.930098424702882398e-02 0.000000000000000000e+00 inf -inf
7.157314766496419844e-02 3.668008505317142731e+00 4.254492339067656559e+00 5.644303340339756891e-01
7.384531108289957291e-02 1.494037166544775808e+00 5.152659248641406897e+00 1.743614013779988536e-01
7.611747450083494737e-02 0.000000000000000000e+00 inf -inf
7.838963791877032183e-02 8.803608718161611835e-01 5.681564586209032264e+00 -5.533926817679746257e-02
8.066180133670568242e-02 0.000000000000000000e+00 inf -inf
8.293396475464105688e-02 5.544949032134742772e-01 6.143838876161836104e+00 -2.561024414290439255e-01
8.520612817257643135e-02 0.000000000000000000e+00 inf -inf
8.747829159051179193e-02 2.774824413933836720e+00 4.533553741309518159e+00 4.432355069281515014e-01
8.975045500844716639e-02 0.000000000000000000e+00 inf -inf
9.202261842638254086e-02 6.585866858162129356e-01 5.971800337380080315e+00 -1.813870533614287683e-01
9.429478184431791532e-02 0.000000000000000000e+00 inf -inf
9.656694526225328978e-02 3.831873094373806077e-01 6.513372563016362804e+00 -4.165888825073292834e-01
9.883910868018866425e-02 6.454678978113380650e-01 5.991921014463047257e+00 -1.901253523907184828e-01
1.011112720981240248e-01 0.000000000000000000e+00 inf -inf
1.033834355160593993e-01 3.793603994857452921e-01 6.523409815861697325e+00 -4.209480060315254346e-01
1.056555989339947738e-01 0.000000000000000000e+00 inf -inf
1.079277623519301482e-01 1.842420014106196657e-01 7.245646372714231731e+00 -7.346113573013856035e-01
1.101999257698655088e-01 0.000000000000000000e+00 inf -inf
1.124720891878008833e-01 1.486649952477062941e-01 7.460201070669754131e+00 -8.277912786898879993e-01
1.147442526057362577e-01 0.000000000000000000e+00 inf -inf
1.170164160236716322e-01 2.008290156893934586e-01 7.159442613406499234e+00 -6.971735403147210075e-01
1.192885794416070067e-01 0.000000000000000000e+00 inf -inf
1.215607428595423672e-01 1.622023804821359771e-02 9.675636766435115277e+00 -1.789942776372275723e+00
1.238329062774777417e-01 4.601883638093962059e-02 8.632845692015548522e+00 -1.337064366973894636e+00
1.261050696954131300e-01 0.000000000000000000e+00 inf -inf
1.283772331133484768e-01 2.247888079439606598e-02 9.349320254170139677e+00 -1.648225315741681740e+00
1.306493965312838790e-01 0.000000000000000000e+00 inf -inf
1.329215599492192257e-01 1.385504186572218167e-02 9.833247291214743058e+00 -1.858392157573943271e+00
1.351937233671546001e-01 0.000000000000000000e+00 inf -inf
1.374658867850899746e-01 4.046064576097124083e-02 8.761566699139068604e+00 -1.392967190072668338e+00
1.397380502030253213e-01 0.000000000000000000e+00 inf -inf
1.420102136209607235e-01 2.324983883408522200e-03 1.161818338408208362e+01 -2.633580053256180165e+00
1.442823770388960702e-01 0.000000000000000000e+00 inf -inf
1.465545404568314725e-01 2.140786834966665678e-03 1.170072304988303813e+01 -2.669426574651672546e+00
1.488267038747668192e-01 0.000000000000000000e+00 inf -inf
1.510988672927022214e-01 4.940236465208296991e-03 1.086448329372478128e+01 -2.306252263004021863e+00
1.533710307106375681e-01 1.109638047863361135e-02 1.005527751909439260e+01 -1.954818660357796833e+00
1.556431941285729426e-01 0.000000000000000000e+00 inf -inf
1.579153575465083170e-01 1.106805014868851171e-04 1.466300408434165448e+01 -3.955928881763706162e+00
1.601875209644436637e-01 0.000000000000000000e+00 inf -inf
1.624596843823790659e-01 1.552812409409654168e-03 1.202182874675510149e+01 -2.808881006910908251e+00
1.647318478003144127e-01 0.000000000000000000e+00 inf -inf
1.670040112182498149e-01 1.552802220238374891e-03 1.202183530852949644e+01 -2.808883856653319633e+00
1.692761746361851616e-01 0.000000000000000000e+00 inf -inf
1.715483380541205638e-01 1.108750939997171336e-04 1.466124748178379988e+01 -3.955165998965934016e+00
1.738205014720559105e-01 0.000000000000000000e+00 inf -inf
1.760926648899912850e-01 9.098550257176244463e-08 2.176670686776728303e+01 -7.041027801686228216e+00
1.783648283079266594e-01 2.274638090429334000e-08 2.315300099758209740e+01 -7.643087692559672242e+00
1.806369917258620061e-01 0.000000000000000000e+00 inf -inf
1.829091551437974084e-01 8.744505327624782086e-05 1.489864113665688095e+01 -4.058264753316157325e+00
1.851813185617327551e-01 0.000000000000000000e+00 inf -inf
1.874534819796681573e-01 0.000000000000000000e+00 inf -inf
1.897256453976035040e-01 0.000000000000000000e+00 inf -inf
1.919978088155389062e-01 0.000000000000000000e+00 inf -inf
1.942699722334742529e-01 0.000000000000000000e+00 inf -inf
1.965421356514096274e-01 0.000000000000000000e+00 inf -inf
1.988142990693450018e-01 0.000000000000000000e+00 inf -inf
2.010864624872803486e-01 0.000000000000000000e+00 inf -inf
2.033586259052157508e-01 0.000000000000000000e+00 inf -inf
2.056307893231510975e-01 0.000000000000000000e+00 inf -inf
2.079029527410864997e-01 0.000000000000000000e+00 inf -inf
2.101751161590218464e-01 0.000000000000000000e+00 inf -inf
2.124472795769572486e-01 0.000000000000000000e+00 inf -inf
2.147194429948925953e-01 0.000000000000000000e+00 inf -inf
