# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:21:02 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/333K/multi_west/corebychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
3.578766670078039431e-04 8.199907821165145378e+02 0.000000000000000000e+00 2.913808970312456115e+00
1.073630001023411721e-03 0.000000000000000000e+00 inf -inf
1.789383335039019607e-03 0.000000000000000000e+00 inf -inf
2.505136669054627493e-03 0.000000000000000000e+00 inf -inf
3.220890003070235597e-03 0.000000000000000000e+00 inf -inf
3.936643337085843700e-03 3.661460488310616483e+02 8.062608045458929951e-01 2.563654351923298158e+00
4.652396671101450935e-03 0.000000000000000000e+00 inf -inf
5.368150005117059038e-03 0.000000000000000000e+00 inf -inf
6.083903339132667142e-03 0.000000000000000000e+00 inf -inf
6.799656673148275245e-03 0.000000000000000000e+00 inf -inf
7.515410007163883348e-03 0.000000000000000000e+00 inf -inf
8.231163341179490583e-03 1.315582676959779462e+02 1.829843245046300027e+00 2.119118146240908107e+00
8.946916675195096952e-03 0.000000000000000000e+00 inf -inf
9.662670009210706790e-03 0.000000000000000000e+00 inf -inf
1.037842334322631316e-02 0.000000000000000000e+00 inf -inf
1.109417667724192300e-02 0.000000000000000000e+00 inf -inf
1.180993001125752936e-02 0.000000000000000000e+00 inf -inf
1.252568334527313920e-02 4.897770111025332795e+01 2.817927983725797336e+00 1.689998396579585727e+00
1.324143667928874557e-02 0.000000000000000000e+00 inf -inf
1.395719001330435541e-02 0.000000000000000000e+00 inf -inf
1.467294334731996178e-02 0.000000000000000000e+00 inf -inf
1.538869668133556988e-02 0.000000000000000000e+00 inf -inf
1.610445001535117798e-02 0.000000000000000000e+00 inf -inf
1.682020334936678435e-02 1.885032345961013789e+01 3.772763025465980746e+00 1.275318806823962703e+00
1.753595668338239072e-02 0.000000000000000000e+00 inf -inf
1.825171001739800056e-02 0.000000000000000000e+00 inf -inf
1.896746335141361040e-02 0.000000000000000000e+00 inf -inf
1.968321668542921676e-02 0.000000000000000000e+00 inf -inf
2.039897001944482313e-02 0.000000000000000000e+00 inf -inf
2.111472335346043297e-02 6.786779345657542706e+00 4.794316593002680094e+00 8.316637294741933140e-01
2.183047668747604281e-02 0.000000000000000000e+00 inf -inf
2.254623002149164918e-02 0.000000000000000000e+00 inf -inf
2.326198335550725554e-02 0.000000000000000000e+00 inf -inf
2.397773668952286191e-02 0.000000000000000000e+00 inf -inf
