# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:22:11 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/333K/multi_west/silcoeffdxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
-1.827862296223640437e-01 0.000000000000000000e+00 inf -inf
-1.606471639037132249e-01 0.000000000000000000e+00 inf -inf
-1.385080981850624060e-01 2.876278405927537297e-06 1.599224922047658204e+01 -5.541169079239713469e+00
-1.163690324664115872e-01 1.257474225623718455e-03 9.911886053582005474e+00 -2.900500907889618230e+00
-9.422996674776078219e-02 2.201587102864652323e-05 1.395698285516400716e+01 -4.657264127581174584e+00
-7.209090102910997722e-02 9.463875402248600813e-03 7.893509218695269780e+00 -2.023930986096957874e+00
-4.995183531045915837e-02 9.193401626274952387e-03 7.922505167643537405e+00 -2.036523766722738937e+00
-2.781276959180833952e-02 2.750465641437785727e-02 6.826635865343808618e+00 -1.560593775846800479e+00
-5.673703873157520672e-03 6.107374194657216177e-02 6.028909161410820339e+00 -1.214145470261834392e+00
1.646536184549329818e-02 9.633913004807911906e-02 5.573116608698370555e+00 -1.016197279726220426e+00
3.860442756414411702e-02 1.802293947527695561e-01 4.946760725036325468e+00 -7.441743757441590112e-01
6.074349328279492199e-02 3.671276677019916779e-01 4.235281523881626597e+00 -4.351828846937397799e-01
8.288255900144572696e-02 5.254735187029461185e-01 3.876691383367445010e+00 -2.794491654035188843e-01
1.050216247200965458e-01 7.251944565131512865e-01 3.554551345070377177e+00 -1.395455243710001791e-01
1.271606904387473647e-01 9.261487879145110513e-01 3.309956280009550333e+00 -3.331923731431620656e-02
1.492997561573981835e-01 1.354084678637503814e+00 2.930110188711002817e+00 1.316458241091618686e-01
1.714388218760490024e-01 1.574539169320962273e+00 2.779273262302474734e+00 1.971534689156323461e-01
1.935778875946998212e-01 1.680389175498467225e+00 2.714210482189287177e+00 2.254098752960744523e-01
2.157169533133506401e-01 1.708152375207131479e+00 2.697823596821963044e+00 2.325266091866843299e-01
2.378560190320014589e-01 1.703632482601999287e+00 2.700473174938838206e+00 2.313759120311538464e-01
2.599950847506522500e-01 1.873674646726804838e+00 2.605334346456177563e+00 2.726941802559134653e-01
2.821341504693031244e-01 1.566717329467678388e+00 2.784253343376539735e+00 1.949906471857352219e-01
3.042732161879538877e-01 1.362747922580306748e+00 2.923732708330573082e+00 1.344155286468287913e-01
3.264122819066047065e-01 1.331445491185839103e+00 2.946970713326037217e+00 1.243233913068583912e-01
3.485513476252555254e-01 1.150794161556847550e+00 3.092783621555071694e+00 6.099764987272353334e-02
3.706904133439063442e-01 8.788399822719916710e-01 3.362388343925696965e+00 -5.609019334789734634e-02
3.928294790625571631e-01 5.515850357115171798e-01 3.828195163167532389e+00 -2.583875245775317797e-01
4.149685447812079819e-01 1.025595879882768569e-01 5.510547203952512518e+00 -9.890237325091233433e-01
4.371076104998588008e-01 1.568732568845039588e-02 7.388138074504745134e+00 -1.804451086861880160e+00
4.592466762185096196e-01 2.020432845088042037e-02 7.135094318642723366e+00 -1.694555580010930873e+00
4.813857419371604385e-01 1.986220023504636518e-03 9.454757833092125807e+00 -2.701972644208610497e+00
5.035248076558112018e-01 0.000000000000000000e+00 inf -inf
5.256638733744620762e-01 1.361576098058396881e-03 9.832348255463855935e+00 -2.865958081064170937e+00
5.478029390931128395e-01 0.000000000000000000e+00 inf -inf
5.699420048117636028e-01 0.000000000000000000e+00 inf -inf
