# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:23:37 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/343K/multi_west/corebydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
8.063491970896721761e-02 0.000000000000000000e+00 inf -inf
8.857142301201820223e-02 0.000000000000000000e+00 inf -inf
9.650792631506920072e-02 0.000000000000000000e+00 inf -inf
1.044444296181201992e-01 0.000000000000000000e+00 inf -inf
1.123809329211711838e-01 0.000000000000000000e+00 inf -inf
1.203174362242221823e-01 0.000000000000000000e+00 inf -inf
1.282539395272731808e-01 0.000000000000000000e+00 inf -inf
1.361904428303241654e-01 0.000000000000000000e+00 inf -inf
1.441269461333751778e-01 0.000000000000000000e+00 inf -inf
1.520634494364261624e-01 0.000000000000000000e+00 inf -inf
1.599999527394771470e-01 0.000000000000000000e+00 inf -inf
1.679364560425281594e-01 0.000000000000000000e+00 inf -inf
1.758729593455791440e-01 0.000000000000000000e+00 inf -inf
1.838094626486301286e-01 0.000000000000000000e+00 inf -inf
1.917459659516811410e-01 0.000000000000000000e+00 inf -inf
1.996824692547321256e-01 0.000000000000000000e+00 inf -inf
2.076189725577831102e-01 0.000000000000000000e+00 inf -inf
2.155554758608341226e-01 0.000000000000000000e+00 inf -inf
2.234919791638851350e-01 0.000000000000000000e+00 inf -inf
2.314284824669361196e-01 0.000000000000000000e+00 inf -inf
2.393649857699871042e-01 0.000000000000000000e+00 inf -inf
2.473014890730381166e-01 0.000000000000000000e+00 inf -inf
2.552379923760891289e-01 0.000000000000000000e+00 inf -inf
2.631744956791400858e-01 0.000000000000000000e+00 inf -inf
2.711109989821910426e-01 0.000000000000000000e+00 inf -inf
2.790475022852421105e-01 0.000000000000000000e+00 inf -inf
2.869840055882930674e-01 0.000000000000000000e+00 inf -inf
2.949205088913440242e-01 0.000000000000000000e+00 inf -inf
3.028570121943950921e-01 3.188573257142717160e-04 9.650198547448948005e+00 -3.496403600691038616e+00
3.107935154974460490e-01 7.596694985662832359e-04 8.782058826981987920e+00 -3.119375310571207205e+00
3.187300188004970614e-01 2.392511225320506987e-03 7.634843480176227715e+00 -2.621146015898739634e+00
3.266665221035480737e-01 4.638855656155237671e-03 6.972719306396792049e+00 -2.333589140891580982e+00
3.346030254065990306e-01 2.561698264844874603e-02 5.263931500141014297e+00 -1.591472025891133901e+00
3.425395287096500430e-01 3.071627610504161152e-02 5.082394335996534451e+00 -1.512631437242821564e+00
3.504760320127010553e-01 1.267951990374885374e-01 3.664613837583242884e+00 -8.968971902318869649e-01
3.584125353157520122e-01 1.819989548312961614e-01 3.303186072014072217e+00 -7.399311060385739269e-01
3.663490386188030246e-01 2.693993456312544499e-01 2.910992181401571344e+00 -5.696034635093971676e-01
3.742855419218540369e-01 3.727102488094979349e-01 2.586385711463986325e+00 -4.286286648254103993e-01
3.822220452249049938e-01 6.812784810040192207e-01 1.983215864307249054e+00 -1.666753285548114860e-01
3.901585485279560617e-01 1.009737854910135457e+00 1.589740989836637697e+00 4.208638195349678063e-03
3.980950518310070185e-01 1.467117314292198937e+00 1.216132272600876529e+00 1.664648424817930517e-01
4.060315551340579754e-01 1.683331242414117357e+00 1.078657024918895146e+00 2.261695839483603698e-01
4.139680584371090433e-01 2.274196140932490895e+00 7.778050920901287135e-01 3.568279182458214405e-01
4.219045617401600001e-01 2.515187328380218634e+00 6.770844521837663388e-01 4.005703363709191001e-01
4.298410650432109570e-01 2.967670639937377786e+00 5.116543886310918055e-01 4.724157001127498590e-01
4.377775683462620249e-01 3.338458629598621830e+00 3.939225250809976764e-01 5.235459987967424622e-01
4.457140716493129817e-01 2.838919169628443484e+00 5.560083317451243179e-01 4.531530273676748211e-01
4.536505749523639386e-01 3.752475350518244213e+00 2.770160217190742458e-01 5.743178481054296292e-01
4.615870782554150065e-01 3.644678865807066348e+00 3.061634784869420312e-01 5.616592684696311011e-01
4.695235815584659633e-01 3.733494320143493361e+00 2.820871272368126181e-01 5.721154949619267072e-01
4.774600848615169202e-01 2.896631326886235147e+00 5.358832870266359016e-01 4.618932232369705737e-01
4.853965881645679881e-01 3.929402108384248304e+00 2.309444583708133436e-01 5.943264738402356251e-01
4.933330914676189449e-01 3.951641864466063581e+00 2.253005829673544458e-01 5.967775777845072405e-01
5.012695947706699018e-01 4.182106027635911438e+00 1.686167833896481394e-01 6.213950391544149632e-01
5.092060980737209697e-01 3.314802221143529959e+00 4.010337773458887423e-01 5.204576211786782203e-01
5.171426013767719265e-01 4.640754499061254812e+00 6.455477683176202852e-02 6.665885943782847711e-01
5.250791046798228834e-01 4.876988337876790425e+00 1.490385193137533371e-02 6.881517170839155373e-01
5.330156079828739513e-01 4.620517606233393693e+00 6.892500260771550202e-02 6.646906294391168313e-01
5.409521112859249081e-01 3.378735241345856011e+00 3.819302868892127112e-01 5.287541616691040502e-01
5.488886145889758650e-01 4.556657110401632238e+00 8.284247254670717986e-02 6.586463490425583656e-01
5.568251178920269329e-01 3.679272576849909271e+00 2.967166740996372010e-01 5.657619634866570824e-01
5.647616211950778897e-01 3.078158215232370321e+00 4.751003013515688878e-01 4.882909385092565890e-01
5.726981244981289576e-01 2.235532772308900018e+00 7.949521608767842196e-01 3.493810408909614473e-01
5.806346278011799145e-01 1.880266021498405049e+00 9.680184697784669501e-01 2.742192979315970502e-01
5.885711311042308713e-01 1.615229042269848092e+00 1.119954968949286478e+00 2.082341147420121441e-01
5.965076344072819392e-01 1.577957425035150685e+00 1.143300495679952622e+00 1.980952813057589856e-01
6.044441377103328961e-01 1.567391494615307579e+00 1.150018968214073123e+00 1.951774857573718158e-01
6.123806410133838529e-01 1.404431587243963664e+00 1.259799080718708275e+00 1.475005886738905980e-01
6.203171443164348098e-01 2.168676458225851089e+00 8.253146830207405138e-01 3.361947650671759380e-01
6.282536476194858777e-01 2.933849040378643025e+00 5.231165108236419670e-01 4.674377636936245528e-01
6.361901509225368345e-01 3.465774854598361543e+00 3.564955065044326243e-01 5.398003464386350592e-01
6.441266542255879024e-01 2.887727849470958397e+00 5.389617557645962620e-01 4.605562612513627307e-01
6.520631575286388593e-01 4.646475815410849641e+00 6.332269430992809589e-02 6.671236810187668453e-01
6.599996608316898161e-01 4.818875786929583072e+00 2.689107577527249937e-02 6.829457319151719386e-01
6.679361641347407730e-01 4.950218600917722256e+00 0.000000000000000000e+00 6.946243777368150685e-01
6.758726674377918409e-01 3.248020411763086202e+00 4.213860307175534281e-01 5.116187498450673887e-01
6.838091707408427977e-01 3.292127211703537615e+00 4.078978126585439679e-01 5.174766085188029496e-01
6.917456740438938656e-01 2.251812452455788538e+00 7.876963110346583141e-01 3.525322164389153579e-01
6.996821773469448225e-01 1.460046959598671368e+00 1.220963138095384926e+00 1.643668242547112468e-01
7.076186806499957793e-01 6.351037025529435720e-01 2.053398719723309895e+00 -1.971553553862205599e-01
7.155551839530468472e-01 4.989609515483325874e-01 2.294659177109786619e+00 -3.019334407306219492e-01
7.234916872560978041e-01 2.630243856215008780e-01 2.934940267515453449e+00 -5.800039851608002062e-01
7.314281905591488719e-01 1.159605701306500175e-01 3.753936795733042509e+00 -9.356896580636201444e-01
7.393646938621998288e-01 4.055265427433338288e-02 4.804585781143011047e+00 -1.391980714844419431e+00
7.473011971652507857e-01 1.257765743449384792e-02 5.975264995931036438e+00 -1.900400237905690570e+00
7.552377004683017425e-01 1.866703481714833543e-03 7.883012985163449393e+00 -2.728924662491351683e+00
7.631742037713528104e-01 0.000000000000000000e+00 inf -inf
7.711107070744037673e-01 5.377748435974326910e-05 1.143008742212627915e+01 -4.269399517364392160e+00
7.790472103774548351e-01 0.000000000000000000e+00 inf -inf
7.869837136805057920e-01 0.000000000000000000e+00 inf -inf
7.949202169835567489e-01 0.000000000000000000e+00 inf -inf
8.028567202866077057e-01 0.000000000000000000e+00 inf -inf
8.107932235896587736e-01 0.000000000000000000e+00 inf -inf
8.187297268927097305e-01 0.000000000000000000e+00 inf -inf
8.266662301957607983e-01 0.000000000000000000e+00 inf -inf
8.346027334988117552e-01 0.000000000000000000e+00 inf -inf
8.425392368018627121e-01 0.000000000000000000e+00 inf -inf
8.504757401049136689e-01 0.000000000000000000e+00 inf -inf
8.584122434079647368e-01 0.000000000000000000e+00 inf -inf
8.663487467110156937e-01 0.000000000000000000e+00 inf -inf
