# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:23:47 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/343K/multi_west/corebydxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
8.479608681797981551e-02 0.000000000000000000e+00 inf -inf
9.327714404463768871e-02 0.000000000000000000e+00 inf -inf
1.017582012712955480e-01 0.000000000000000000e+00 inf -inf
1.102392584979534074e-01 0.000000000000000000e+00 inf -inf
1.187203157246112806e-01 0.000000000000000000e+00 inf -inf
1.272013729512691538e-01 0.000000000000000000e+00 inf -inf
1.356824301779270270e-01 0.000000000000000000e+00 inf -inf
1.441634874045849002e-01 0.000000000000000000e+00 inf -inf
1.526445446312427456e-01 0.000000000000000000e+00 inf -inf
1.611256018579006188e-01 0.000000000000000000e+00 inf -inf
1.696066590845584920e-01 0.000000000000000000e+00 inf -inf
1.780877163112163653e-01 0.000000000000000000e+00 inf -inf
1.865687735378742385e-01 0.000000000000000000e+00 inf -inf
1.950498307645321117e-01 0.000000000000000000e+00 inf -inf
2.035308879911899571e-01 0.000000000000000000e+00 inf -inf
2.120119452178478303e-01 0.000000000000000000e+00 inf -inf
2.204930024445057035e-01 0.000000000000000000e+00 inf -inf
2.289740596711635767e-01 0.000000000000000000e+00 inf -inf
2.374551168978214499e-01 0.000000000000000000e+00 inf -inf
2.459361741244792954e-01 0.000000000000000000e+00 inf -inf
2.544172313511371408e-01 0.000000000000000000e+00 inf -inf
2.628982885777950695e-01 0.000000000000000000e+00 inf -inf
2.713793458044528872e-01 0.000000000000000000e+00 inf -inf
2.798604030311108160e-01 0.000000000000000000e+00 inf -inf
2.883414602577686336e-01 0.000000000000000000e+00 inf -inf
2.968225174844265069e-01 0.000000000000000000e+00 inf -inf
3.053035747110843801e-01 0.000000000000000000e+00 inf -inf
3.137846319377422533e-01 0.000000000000000000e+00 inf -inf
