# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:24:06 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/343K/multi_west/outbytotal.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.788845778465271152e-01 0.000000000000000000e+00 inf -inf
1.849870744228362951e-01 1.193944832866140996e-04 1.158163019895011914e+01 -3.923015739651646072e+00
1.910895709991455305e-01 4.788671807231666914e-04 1.019263992075382674e+01 -3.319784926413733572e+00
1.971920675754547103e-01 2.338756353069888078e-02 6.304103508194627281e+00 -1.631015019759406437e+00
2.032945641517639179e-01 6.997339848020324438e-02 5.208192768117939409e+00 -1.155067032685591855e+00
2.093970607280731255e-01 4.521119618463165790e-01 3.342378063870691918e+00 -3.447540023770646611e-01
2.154995573043823054e-01 1.436940656329256605e+00 2.186036327920788391e+00 1.574388327404055710e-01
2.216020538806915408e-01 3.754178146451736531e+00 1.225683245107181740e+00 5.745148772851315089e-01
2.277045504570007206e-01 7.438130145657861014e+00 5.419331444978774392e-01 8.714637729805456701e-01
2.338070470333099560e-01 1.278858066574549213e+01 0.000000000000000000e+00 1.106822347196451561e+00
2.399095436096191358e-01 1.103583516083003602e+01 1.474049174997498213e-01 1.042805204920906004e+00
2.460120401859283434e-01 8.863368495420330007e+00 3.666257535279640045e-01 9.475988055156350232e-01
2.521145367622375510e-01 6.824035850388989743e+00 6.281015734976491682e-01 8.340412997516727378e-01
2.582170333385467309e-01 4.473505514856164211e+00 1.050380304459159309e+00 6.506479770699808984e-01
2.643195299148559663e-01 5.010488201260449692e+00 9.370192815365792072e-01 6.998800437881654846e-01
2.704220264911652016e-01 7.364942500478970366e+00 5.518213944942762517e-01 8.671693605714297926e-01
2.765245230674743260e-01 8.343137021579261514e+00 4.271133499239492259e-01 9.213293761772675117e-01
2.826270196437835613e-01 8.623683662700889485e+00 3.940403047945304493e-01 9.356928171767113778e-01
2.887295162200927967e-01 1.063901726095451217e+01 1.840245202916719336e-01 1.026901513498885254e+00
2.948320127964019766e-01 8.479212444398145365e+00 4.109350638791604560e-01 9.283555165331718317e-01
3.009345093727111564e-01 8.093803966427538299e+00 4.574538107029240130e-01 9.081526814825569005e-01
3.070370059490203918e-01 8.051247472780163505e+00 4.627255922599262661e-01 9.058631758425513825e-01
3.131395025253296271e-01 6.915425983298226775e+00 6.147980712371039491e-01 8.398189373734148422e-01
3.192419991016387515e-01 5.930023931418122451e+00 7.685243885934409658e-01 7.730564460222495438e-01
3.253444956779479869e-01 6.285402381795718085e+00 7.103227746934015485e-01 7.983330857769003197e-01
3.314469922542572222e-01 4.787009166466905441e+00 9.826468119719879990e-01 6.800642590971949231e-01
3.375494888305664576e-01 4.222116391222865417e+00 1.108216120407890859e+00 6.255302013470748212e-01
3.436519854068755819e-01 3.790003548691756929e+00 1.216185681823053644e+00 5.786396166109553096e-01
3.497544819831848173e-01 2.649111103415140001e+00 1.574328486192753118e+00 4.231001729398389810e-01
3.558569785594940527e-01 1.909233933193630106e+00 1.901850557741204373e+00 2.808591445648245810e-01
3.619594751358031770e-01 1.746333137624243914e+00 1.991034397557838176e+00 2.421270950575170056e-01
3.680619717121124124e-01 1.303065820265234986e+00 2.283832825978768799e+00 1.149663532843626101e-01
3.741644682884216477e-01 8.360606402402337434e-01 2.727606769602757275e+00 -7.776222164398029213e-02
3.802669648647308831e-01 6.732606710599495781e-01 2.944175334592790350e+00 -1.718167543728575941e-01
3.863694614410400074e-01 4.779372123560360341e-01 3.286828547269411427e+00 -3.206291538447353928e-01
3.924719580173492428e-01 2.855228475057865478e-01 3.801985864045263508e+00 -5.443591338325735052e-01
3.985744545936584782e-01 1.511119110346454408e-01 4.438287221237875002e+00 -8.207013020888744848e-01
4.046769511699676025e-01 9.104598805396788008e-02 4.944943174135091546e+00 -1.040739186655569748e+00
4.107794477462768379e-01 2.500378647181577055e-02 6.237280643957271664e+00 -1.601994218556152649e+00
4.168819443225860732e-01 1.219317118579786065e-02 6.955431860071465522e+00 -1.913883328886656798e+00
