# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:01:54 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/353K/multi_west/clucountdxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.106149999999999967e+00 1.894986722492402187e+00 0.000000000000000000e+00 2.776061713655769148e-01
2.318449999999999900e+00 0.000000000000000000e+00 inf -inf
2.530749999999999833e+00 0.000000000000000000e+00 inf -inf
2.743050000000000210e+00 0.000000000000000000e+00 inf -inf
2.955350000000000144e+00 9.885751501649508999e-01 6.507024467246242949e-01 -4.990310607872104620e-03
3.167650000000000077e+00 0.000000000000000000e+00 inf -inf
3.379950000000000010e+00 0.000000000000000000e+00 inf -inf
3.592250000000000387e+00 0.000000000000000000e+00 inf -inf
3.804550000000000320e+00 0.000000000000000000e+00 inf -inf
4.016849999999999810e+00 8.387022468519850227e-01 8.151113579350711680e-01 -7.639219352229086046e-02
4.229150000000000631e+00 0.000000000000000000e+00 inf -inf
4.441449999999999676e+00 0.000000000000000000e+00 inf -inf
4.653750000000000497e+00 0.000000000000000000e+00 inf -inf
4.866050000000000431e+00 0.000000000000000000e+00 inf -inf
5.078350000000000364e+00 5.658560714729919949e-01 1.208627355709599893e+00 -2.472940198964210246e-01
5.290650000000000297e+00 0.000000000000000000e+00 inf -inf
5.502950000000000230e+00 0.000000000000000000e+00 inf -inf
5.715250000000000163e+00 0.000000000000000000e+00 inf -inf
5.927550000000000097e+00 2.654959535465923892e-01 1.965367511204939577e+00 -5.759420936626558074e-01
6.139850000000000918e+00 0.000000000000000000e+00 inf -inf
6.352149999999999963e+00 0.000000000000000000e+00 inf -inf
6.564450000000000784e+00 0.000000000000000000e+00 inf -inf
6.776749999999999829e+00 0.000000000000000000e+00 inf -inf
6.989050000000000651e+00 1.099471070452610055e-01 2.846967705785380609e+00 -9.588161934137744424e-01
7.201349999999999696e+00 0.000000000000000000e+00 inf -inf
7.413650000000000517e+00 0.000000000000000000e+00 inf -inf
7.625950000000000450e+00 0.000000000000000000e+00 inf -inf
7.838250000000000384e+00 0.000000000000000000e+00 inf -inf
8.050550000000001205e+00 3.158416171602833333e-02 4.094311327465367967e+00 -1.500530645346610514e+00
8.262850000000000250e+00 0.000000000000000000e+00 inf -inf
8.475149999999999295e+00 0.000000000000000000e+00 inf -inf
8.687450000000001893e+00 0.000000000000000000e+00 inf -inf
8.899750000000000938e+00 1.167742588333917954e-02 5.089309544480714820e+00 -1.932652880499949433e+00
9.112049999999999983e+00 0.000000000000000000e+00 inf -inf
9.324349999999999028e+00 0.000000000000000000e+00 inf -inf
9.536650000000001626e+00 0.000000000000000000e+00 inf -inf
9.748950000000000671e+00 0.000000000000000000e+00 inf -inf
9.961249999999999716e+00 3.118812395560301414e-03 6.409514823981620424e+00 -2.506010748366733321e+00
1.017355000000000054e+01 0.000000000000000000e+00 inf -inf
1.038585000000000136e+01 0.000000000000000000e+00 inf -inf
1.059815000000000040e+01 0.000000000000000000e+00 inf -inf
1.081044999999999945e+01 0.000000000000000000e+00 inf -inf
1.102275000000000205e+01 3.064048859436116880e-04 8.729815005843345688e+00 -3.513704313708392313e+00
1.123505000000000109e+01 0.000000000000000000e+00 inf -inf
1.144735000000000014e+01 0.000000000000000000e+00 inf -inf
1.165965000000000096e+01 0.000000000000000000e+00 inf -inf
1.187195000000000178e+01 0.000000000000000000e+00 inf -inf
1.208425000000000082e+01 5.470281601473595879e-05 1.045280720069718683e+01 -4.261990316295788617e+00
1.229654999999999987e+01 0.000000000000000000e+00 inf -inf
1.250885000000000069e+01 0.000000000000000000e+00 inf -inf
1.272115000000000151e+01 0.000000000000000000e+00 inf -inf
1.293345000000000056e+01 1.083187354053254205e-05 1.207222934839051831e+01 -4.965296418910915222e+00
1.314574999999999960e+01 0.000000000000000000e+00 inf -inf
1.335805000000000220e+01 0.000000000000000000e+00 inf -inf
1.357035000000000124e+01 0.000000000000000000e+00 inf -inf
1.378265000000000029e+01 0.000000000000000000e+00 inf -inf
1.399495000000000111e+01 0.000000000000000000e+00 inf -inf
1.420725000000000193e+01 0.000000000000000000e+00 inf -inf
1.441955000000000098e+01 0.000000000000000000e+00 inf -inf
1.463185000000000002e+01 0.000000000000000000e+00 inf -inf
1.484415000000000084e+01 0.000000000000000000e+00 inf -inf
1.505645000000000167e+01 0.000000000000000000e+00 inf -inf
1.526875000000000071e+01 0.000000000000000000e+00 inf -inf
1.548104999999999976e+01 0.000000000000000000e+00 inf -inf
1.569335000000000235e+01 0.000000000000000000e+00 inf -inf
1.590565000000000140e+01 0.000000000000000000e+00 inf -inf
1.611795000000000044e+01 0.000000000000000000e+00 inf -inf
1.633024999999999949e+01 0.000000000000000000e+00 inf -inf
1.654254999999999853e+01 0.000000000000000000e+00 inf -inf
1.675485000000000113e+01 0.000000000000000000e+00 inf -inf
1.696715000000000373e+01 0.000000000000000000e+00 inf -inf
1.717945000000000277e+01 0.000000000000000000e+00 inf -inf
1.739175000000000182e+01 0.000000000000000000e+00 inf -inf
1.760405000000000086e+01 0.000000000000000000e+00 inf -inf
1.781634999999999991e+01 0.000000000000000000e+00 inf -inf
1.802864999999999895e+01 0.000000000000000000e+00 inf -inf
1.824095000000000155e+01 0.000000000000000000e+00 inf -inf
1.845325000000000060e+01 0.000000000000000000e+00 inf -inf
1.866555000000000319e+01 0.000000000000000000e+00 inf -inf
1.887785000000000224e+01 0.000000000000000000e+00 inf -inf
1.909015000000000128e+01 0.000000000000000000e+00 inf -inf
1.930245000000000033e+01 0.000000000000000000e+00 inf -inf
1.951474999999999937e+01 0.000000000000000000e+00 inf -inf
1.972705000000000197e+01 0.000000000000000000e+00 inf -inf
1.993935000000000102e+01 0.000000000000000000e+00 inf -inf
2.015165000000000362e+01 0.000000000000000000e+00 inf -inf
2.036395000000000266e+01 0.000000000000000000e+00 inf -inf
2.057625000000000171e+01 0.000000000000000000e+00 inf -inf
2.078855000000000075e+01 0.000000000000000000e+00 inf -inf
2.100084999999999980e+01 0.000000000000000000e+00 inf -inf
2.121315000000000239e+01 0.000000000000000000e+00 inf -inf
2.142545000000000144e+01 0.000000000000000000e+00 inf -inf
2.163775000000000048e+01 0.000000000000000000e+00 inf -inf
2.185005000000000308e+01 0.000000000000000000e+00 inf -inf
2.206235000000000213e+01 0.000000000000000000e+00 inf -inf
2.227465000000000117e+01 0.000000000000000000e+00 inf -inf
2.248695000000000022e+01 0.000000000000000000e+00 inf -inf
2.269925000000000281e+01 0.000000000000000000e+00 inf -inf
2.291155000000000186e+01 0.000000000000000000e+00 inf -inf
2.312385000000000090e+01 0.000000000000000000e+00 inf -inf
