# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:02:22 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/353K/multi_west/clusbychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.072956693917512987e-03 3.341707633824245249e+02 0.000000000000000000e+00 2.523968450772482885e+00
3.218870081752539178e-03 0.000000000000000000e+00 inf -inf
5.364783469587564718e-03 0.000000000000000000e+00 inf -inf
7.510696857422591126e-03 0.000000000000000000e+00 inf -inf
9.656610245257615799e-03 0.000000000000000000e+00 inf -inf
1.180252363309264307e-02 0.000000000000000000e+00 inf -inf
1.394843702092767035e-02 0.000000000000000000e+00 inf -inf
1.609435040876269415e-02 0.000000000000000000e+00 inf -inf
1.824026379659772143e-02 0.000000000000000000e+00 inf -inf
2.038617718443274524e-02 0.000000000000000000e+00 inf -inf
2.253209057226777251e-02 0.000000000000000000e+00 inf -inf
2.467800396010279979e-02 0.000000000000000000e+00 inf -inf
2.682391734793782706e-02 0.000000000000000000e+00 inf -inf
2.896983073577285087e-02 9.041101503603199774e+01 1.307286022216980648e+00 1.956221345054396377e+00
3.111574412360787467e-02 0.000000000000000000e+00 inf -inf
3.326165751144290195e-02 6.426047909000287106e+00 3.951292413776767098e+00 8.079439590830524986e-01
3.540757089927792922e-02 0.000000000000000000e+00 inf -inf
3.755348428711295650e-02 5.637907525172320966e+00 4.082139139440966069e+00 7.511179481519822954e-01
3.969939767494798377e-02 0.000000000000000000e+00 inf -inf
4.184531106278300411e-02 5.968465453850937408e+00 4.025162278478714661e+00 7.758626844640568176e-01
4.399122445061803138e-02 0.000000000000000000e+00 inf -inf
4.613713783845305866e-02 1.960699303422620776e+00 5.138350932866559084e+00 2.924109945461099702e-01
4.828305122628808593e-02 0.000000000000000000e+00 inf -inf
5.042896461412311321e-02 8.217423622173427589e-01 6.007980490950197705e+00 -8.526432382957781220e-02
5.257487800195813354e-02 0.000000000000000000e+00 inf -inf
