# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:02:49 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/353K/multi_west/clusbydxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.427304737269878332e-01 0.000000000000000000e+00 inf -inf
2.504136420786380324e-01 0.000000000000000000e+00 inf -inf
2.580968104302883148e-01 0.000000000000000000e+00 inf -inf
2.657799787819385973e-01 0.000000000000000000e+00 inf -inf
2.734631471335887687e-01 0.000000000000000000e+00 inf -inf
2.811463154852390511e-01 0.000000000000000000e+00 inf -inf
2.888294838368892226e-01 0.000000000000000000e+00 inf -inf
2.965126521885395050e-01 0.000000000000000000e+00 inf -inf
3.041958205401897875e-01 0.000000000000000000e+00 inf -inf
3.118789888918399589e-01 0.000000000000000000e+00 inf -inf
3.195621572434902413e-01 0.000000000000000000e+00 inf -inf
3.272453255951404127e-01 0.000000000000000000e+00 inf -inf
3.349284939467906952e-01 0.000000000000000000e+00 inf -inf
3.426116622984409776e-01 0.000000000000000000e+00 inf -inf
3.502948306500911491e-01 0.000000000000000000e+00 inf -inf
3.579779990017414315e-01 0.000000000000000000e+00 inf -inf
3.656611673533916029e-01 0.000000000000000000e+00 inf -inf
3.733443357050418854e-01 0.000000000000000000e+00 inf -inf
3.810275040566921678e-01 0.000000000000000000e+00 inf -inf
3.887106724083423392e-01 0.000000000000000000e+00 inf -inf
3.963938407599926217e-01 0.000000000000000000e+00 inf -inf
4.040770091116428486e-01 0.000000000000000000e+00 inf -inf
4.117601774632930756e-01 0.000000000000000000e+00 inf -inf
4.194433458149433580e-01 0.000000000000000000e+00 inf -inf
4.271265141665935294e-01 0.000000000000000000e+00 inf -inf
4.348096825182438119e-01 0.000000000000000000e+00 inf -inf
4.424928508698940388e-01 0.000000000000000000e+00 inf -inf
4.501760192215442657e-01 0.000000000000000000e+00 inf -inf
4.578591875731945482e-01 0.000000000000000000e+00 inf -inf
4.655423559248447196e-01 0.000000000000000000e+00 inf -inf
4.732255242764950021e-01 0.000000000000000000e+00 inf -inf
4.809086926281452290e-01 0.000000000000000000e+00 inf -inf
4.885918609797954559e-01 0.000000000000000000e+00 inf -inf
4.962750293314456829e-01 0.000000000000000000e+00 inf -inf
5.039581976830959098e-01 0.000000000000000000e+00 inf -inf
5.116413660347461922e-01 0.000000000000000000e+00 inf -inf
5.193245343863964747e-01 0.000000000000000000e+00 inf -inf
5.270077027380466461e-01 0.000000000000000000e+00 inf -inf
5.346908710896969286e-01 0.000000000000000000e+00 inf -inf
5.423740394413471000e-01 0.000000000000000000e+00 inf -inf
5.500572077929973824e-01 2.510244897032860894e-06 1.482090935932565046e+01 -5.600283907107896475e+00
5.577403761446476649e-01 0.000000000000000000e+00 inf -inf
5.654235444962978363e-01 5.052240440093546184e-04 9.516287693854028618e+00 -3.296515989209134023e+00
5.731067128479481187e-01 3.322390403604322018e-05 1.223802005831718276e+01 -4.478549336312971363e+00
5.807898811995982902e-01 9.295570985439955184e-05 1.120916653465770452e+01 -4.031723928300943172e+00
5.884730495512485726e-01 4.784339867237020994e-04 9.570771433653151306e+00 -3.320177976757345384e+00
5.961562179028988551e-01 1.250119345969124066e-04 1.091288046672884882e+01 -3.903048523934629088e+00
6.038393862545490265e-01 1.721863655172835761e-04 1.059271226557065759e+01 -3.764001240890737066e+00
6.115225546061993089e-01 6.887759183228034116e-04 9.206373685531035633e+00 -3.161922045529939496e+00
6.192057229578494804e-01 3.533988852753379688e-03 7.571107177660134191e+00 -2.451734824720406714e+00
6.268888913094997628e-01 5.273860001816869578e-03 7.170771854660075384e+00 -2.277871403030524711e+00
6.345720596611500453e-01 7.743911598489953800e-03 6.786627462841827274e+00 -2.111039613409778859e+00
6.422552280128002167e-01 8.267787204695151854e-03 6.721167492994737813e+00 -2.082610709719634912e+00
6.499383963644504991e-01 1.856735849302877314e-02 5.912129277952744566e+00 -1.731249877278040916e+00
6.576215647161006705e-01 4.304012963588883106e-02 5.071401469431436659e+00 -1.366126429254622909e+00
6.653047330677509530e-01 4.773652818808710174e-02 4.967837502333384947e+00 -1.321149169819929359e+00
6.729879014194012354e-01 9.808539574689972840e-02 4.247695912859327905e+00 -1.008395651322309572e+00
6.806710697710514069e-01 1.777046587015670698e-01 3.653411445783632860e+00 -7.503011865905202527e-01
6.883542381227016893e-01 2.883620251622291408e-01 3.169317674720474987e+00 -5.400619330940547025e-01
6.960374064743518607e-01 2.268003745804746674e-01 3.409464173825066169e+00 -6.443562325035629978e-01
7.037205748260021432e-01 5.768679950626849351e-01 2.475920934986557853e+00 -2.389235552579091759e-01
7.114037431776524256e-01 7.962789970088937075e-01 2.153584774077758723e+00 -9.893473925733915764e-02
7.190869115293025970e-01 1.142943809498680130e+00 1.792171895223889422e+00 5.802487971766481095e-02
7.267700798809528795e-01 1.440937888875858164e+00 1.560484904988727717e+00 1.586452611055681750e-01
7.344532482326030509e-01 1.256005618469947738e+00 1.697842576944456727e+00 9.899158212811796920e-02
7.421364165842533334e-01 2.305817256251247116e+00 1.090343946650217388e+00 3.628248850286897587e-01
7.498195849359035048e-01 3.025512680388533937e+00 8.186985600418781317e-01 4.807989774671669880e-01
7.575027532875537872e-01 3.507488892063897801e+00 6.708787522048866858e-01 5.449963043267714857e-01
7.651859216392040697e-01 2.662896510378533144e+00 9.463646742512702437e-01 4.253542885399976825e-01
7.728690899908543521e-01 4.954812991313033876e+00 3.254196926249146582e-01 6.950272676258399951e-01
7.805522583425045235e-01 5.119106611324529155e+00 2.927991844339652427e-01 7.091941743300491652e-01
7.882354266941546950e-01 5.766145742842600619e+00 1.737752431403694064e-01 7.608856152482343926e-01
7.959185950458049774e-01 4.147106731530634249e+00 5.033682003052943887e-01 6.177452126773326224e-01
8.036017633974552599e-01 6.511291673421244930e+00 5.224126800949879801e-02 8.136671500113386024e-01
8.112849317491055423e-01 5.868669874802130870e+00 1.561511072591890148e-01 7.685396802097441693e-01
8.189681001007557137e-01 6.525940153674518740e+00 4.999409060069304189e-02 8.146430867598405401e-01
8.266512684524058852e-01 4.117574647328700266e+00 5.105148060947874988e-01 6.146414812186179466e-01
8.343344368040561676e-01 6.096761350591813233e+00 1.180214142289661705e-01 7.850991954894348535e-01
8.420176051557064500e-01 5.137285611779857319e+00 2.892542694001085657e-01 7.107337113680690655e-01
8.497007735073567325e-01 4.465476863239958405e+00 4.294031093811319089e-01 6.498678435191687086e-01
8.573839418590069039e-01 3.639251099926825717e+00 6.340011995819954116e-01 5.610120219369898464e-01
8.650671102106570753e-01 2.005048726412347548e+00 1.230110755371275566e+00 3.021249312479069027e-01
8.727502785623073578e-01 2.882316304006397267e+00 8.671848751658535193e-01 4.597416383610023471e-01
8.804334469139576402e-01 2.858064142559769483e+00 8.756345958657547612e-01 4.560719712874115039e-01
8.881166152656079227e-01 3.065444285275911174e+00 8.055866049882363100e-01 4.864934271939270749e-01
8.957997836172580941e-01 2.335187262085634430e+00 1.077687032484028862e+00 3.683217130089885272e-01
9.034829519689082655e-01 4.625269640393079307e+00 3.942444483940532596e-01 6.651370559769641533e-01
9.111661203205585480e-01 5.390424735193587225e+00 2.411549358757525408e-01 7.316229865009209465e-01
9.188492886722088304e-01 6.504565862362945872e+00 5.327474761519512825e-02 8.132183155214250947e-01
9.265324570238591129e-01 4.867824389899410242e+00 3.431320181938239955e-01 6.873349023695887183e-01
9.342156253755092843e-01 6.860491718732934174e+00 0.000000000000000000e+00 8.363552444354926951e-01
9.418987937271594557e-01 5.335136904144103909e+00 2.514645723522928034e-01 7.271455682687310018e-01
