# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:03:03 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/353K/multi_west/corebychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
3.154566638171672874e-04 1.136608400425833679e+03 0.000000000000000000e+00 3.055610861496766528e+00
9.463699914515019164e-04 0.000000000000000000e+00 inf -inf
1.577283319085836383e-03 0.000000000000000000e+00 inf -inf
2.208196646720171283e-03 0.000000000000000000e+00 inf -inf
2.839109974354505316e-03 0.000000000000000000e+00 inf -inf
3.470023301988840216e-03 0.000000000000000000e+00 inf -inf
4.100936629623174248e-03 3.189731943499494378e+02 1.270696950669985448e+00 2.503754187649503304e+00
4.731849957257509148e-03 0.000000000000000000e+00 inf -inf
5.362763284891844048e-03 0.000000000000000000e+00 inf -inf
5.993676612526178948e-03 0.000000000000000000e+00 inf -inf
6.624589940160512981e-03 0.000000000000000000e+00 inf -inf
7.255503267794847881e-03 0.000000000000000000e+00 inf -inf
7.886416595429181914e-03 0.000000000000000000e+00 inf -inf
8.517329923063516814e-03 8.259167375963110658e+01 2.621895146168585100e+00 1.916936267386830206e+00
9.148243250697851714e-03 0.000000000000000000e+00 inf -inf
9.779156578332184879e-03 0.000000000000000000e+00 inf -inf
1.041006990596652151e-02 0.000000000000000000e+00 inf -inf
1.104098323360085468e-02 0.000000000000000000e+00 inf -inf
1.167189656123518958e-02 0.000000000000000000e+00 inf -inf
1.230280988886952448e-02 2.851265431732666755e+01 3.685456019808049266e+00 1.455037648797009142e+00
1.293372321650385764e-02 0.000000000000000000e+00 inf -inf
1.356463654413819428e-02 0.000000000000000000e+00 inf -inf
1.419554987177252744e-02 0.000000000000000000e+00 inf -inf
1.482646319940686408e-02 0.000000000000000000e+00 inf -inf
1.545737652704119725e-02 0.000000000000000000e+00 inf -inf
1.608828985467553041e-02 0.000000000000000000e+00 inf -inf
1.671920318230986705e-02 1.091124309908280843e+01 4.646010285064827272e+00 1.037874231827357940e+00
1.735011650994420021e-02 0.000000000000000000e+00 inf -inf
1.798102983757853685e-02 0.000000000000000000e+00 inf -inf
1.861194316521287001e-02 0.000000000000000000e+00 inf -inf
1.924285649284720318e-02 0.000000000000000000e+00 inf -inf
1.987376982048153981e-02 0.000000000000000000e+00 inf -inf
2.050468314811587298e-02 0.000000000000000000e+00 inf -inf
2.113559647575020961e-02 4.389172863627637255e+00 5.556663224090415909e+00 6.423826854795665620e-01
2.176650980338454278e-02 0.000000000000000000e+00 inf -inf
2.239742313101887594e-02 0.000000000000000000e+00 inf -inf
2.302833645865321258e-02 0.000000000000000000e+00 inf -inf
2.365924978628754574e-02 0.000000000000000000e+00 inf -inf
2.429016311392188238e-02 0.000000000000000000e+00 inf -inf
2.492107644155621554e-02 1.708356024607369683e+00 6.500272500708003776e+00 2.325783835718290560e-01
2.555198976919054871e-02 0.000000000000000000e+00 inf -inf
2.618290309682488534e-02 0.000000000000000000e+00 inf -inf
2.681381642445921851e-02 0.000000000000000000e+00 inf -inf
2.744472975209355514e-02 0.000000000000000000e+00 inf -inf
2.807564307972788831e-02 0.000000000000000000e+00 inf -inf
2.870655640736222147e-02 0.000000000000000000e+00 inf -inf
2.933746973499655811e-02 5.189550034124013056e-01 7.691742117875297602e+00 -2.848702965193067871e-01
2.996838306263089474e-02 0.000000000000000000e+00 inf -inf
3.059929639026522791e-02 0.000000000000000000e+00 inf -inf
3.123020971789956107e-02 0.000000000000000000e+00 inf -inf
3.186112304553389424e-02 0.000000000000000000e+00 inf -inf
3.249203637316823434e-02 0.000000000000000000e+00 inf -inf
3.312294970080256751e-02 6.987187219325914356e-01 7.394311038075032094e+00 -1.556976198155257674e-01
3.375386302843690067e-02 0.000000000000000000e+00 inf -inf
3.438477635607123384e-02 0.000000000000000000e+00 inf -inf
3.501568968370556700e-02 0.000000000000000000e+00 inf -inf
3.564660301133990017e-02 0.000000000000000000e+00 inf -inf
3.627751633897424027e-02 0.000000000000000000e+00 inf -inf
3.690842966660857344e-02 0.000000000000000000e+00 inf -inf
3.753934299424290660e-02 9.139692737605292772e-02 9.428347438090092680e+00 -1.039068404332422091e+00
3.817025632187723977e-02 0.000000000000000000e+00 inf -inf
3.880116964951157987e-02 0.000000000000000000e+00 inf -inf
3.943208297714591304e-02 0.000000000000000000e+00 inf -inf
4.006299630478024620e-02 0.000000000000000000e+00 inf -inf
4.069390963241457937e-02 0.000000000000000000e+00 inf -inf
