# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:03:16 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/353K/multi_west/corebydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
8.065158476531505971e-02 0.000000000000000000e+00 inf -inf
8.862141818106175628e-02 0.000000000000000000e+00 inf -inf
9.659125159680842510e-02 0.000000000000000000e+00 inf -inf
1.045610850125551217e-01 0.000000000000000000e+00 inf -inf
1.125309184283018182e-01 0.000000000000000000e+00 inf -inf
1.205007518440485148e-01 0.000000000000000000e+00 inf -inf
1.284705852597951836e-01 0.000000000000000000e+00 inf -inf
1.364404186755418802e-01 0.000000000000000000e+00 inf -inf
1.444102520912885768e-01 0.000000000000000000e+00 inf -inf
1.523800855070352733e-01 0.000000000000000000e+00 inf -inf
1.603499189227819421e-01 0.000000000000000000e+00 inf -inf
1.683197523385286387e-01 0.000000000000000000e+00 inf -inf
1.762895857542753353e-01 0.000000000000000000e+00 inf -inf
1.842594191700220319e-01 0.000000000000000000e+00 inf -inf
1.922292525857687007e-01 0.000000000000000000e+00 inf -inf
2.001990860015153972e-01 0.000000000000000000e+00 inf -inf
2.081689194172620938e-01 0.000000000000000000e+00 inf -inf
2.161387528330087904e-01 0.000000000000000000e+00 inf -inf
2.241085862487554592e-01 2.352517631167098035e-06 1.489883731328790262e+01 -5.628467113027214808e+00
2.320784196645021558e-01 3.495119284786006628e-06 1.450295589516037431e+01 -5.456537997646394800e+00
2.400482530802488523e-01 8.301919639516194610e-05 1.133525153746398928e+01 -4.080821474797970083e+00
2.480180864959955489e-01 5.098874455747305330e-04 9.520133393978330361e+00 -3.292525681079674360e+00
2.559879199117421900e-01 2.743271047128549578e-03 7.837417100213621701e+00 -2.561731280088969775e+00
2.639577533274889420e-01 4.322844578825092189e-03 7.382654468524187941e+00 -2.364230378570447932e+00
2.719275867432355831e-01 9.291323362193924795e-03 6.617487128543320551e+00 -2.031922425084167649e+00
2.798974201589823352e-01 1.581489837869362591e-02 6.085615690297347058e+00 -1.800933594371995072e+00
2.878672535747289762e-01 2.502762463347639119e-02 5.626587921246032131e+00 -1.601580367232648738e+00
2.958370869904756728e-01 2.388749584786585209e-02 5.673212985660338603e+00 -1.621829375426165898e+00
3.038069204062223694e-01 6.000247279735067968e-02 4.752182346744308283e+00 -1.221830851281107355e+00
3.117767538219690659e-01 6.381894686930245086e-02 4.690518002270234632e+00 -1.195050366745835868e+00
3.197465872377157625e-01 1.182191388657873182e-01 4.074028110203563813e+00 -9.273122084721494574e-01
3.277164206534624036e-01 1.858500317735421736e-01 3.621628053699726735e+00 -7.308373603198137225e-01
3.356862540692091557e-01 2.594091480001098904e-01 3.288161584146948258e+00 -5.860147126932833128e-01
3.436560874849557967e-01 5.531631060585784354e-01 2.530915215707820298e+00 -2.571467934388933507e-01
3.516259209007025488e-01 9.031526192574771406e-01 2.040676568696370374e+00 -4.423885422610449036e-02
3.595957543164491899e-01 1.189207685066420828e+00 1.765525567919812522e+00 7.525770710131193808e-02
3.675655877321958864e-01 1.473590108167559087e+00 1.551111168626283732e+00 1.683766975550919365e-01
3.755354211479425830e-01 2.396650184870309896e+00 1.064740836349497233e+00 3.796046490243513705e-01
3.835052545636892241e-01 3.141864754725068209e+00 7.939963478440499323e-01 4.971874863879855999e-01
3.914750879794359761e-01 4.061820305078125415e+00 5.371816182853792476e-01 6.087207063067922030e-01
3.994449213951826172e-01 4.885043446142400825e+00 3.526346631834611500e-01 6.888684305596023405e-01
4.074147548109293693e-01 4.408635870940469381e+00 4.552475271340581386e-01 6.443042299735690648e-01
