# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:04:26 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/353K/multi_west/silcoeffdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
-2.916305168807506454e-01 0.000000000000000000e+00 inf -inf
-2.683975411474704975e-01 7.421129625594131019e-04 9.016055105372281275e+00 -3.129529982480803607e+00
-2.451645654141902941e-01 4.442059100690843622e-03 7.226683268259302295e+00 -2.352415667549552669e+00
-2.219315896809100908e-01 2.274864099348639784e-02 5.593295891553591304e+00 -1.643044543035833804e+00
-1.986986139476299429e-01 7.692398486974531824e-02 4.374983573858571617e+00 -1.113938226226125705e+00
-1.754656382143497395e-01 1.573755840744984202e-01 3.659166094903545385e+00 -8.030626450660605098e-01
-1.522326624810695361e-01 3.395760306535458017e-01 2.890103427784386447e+00 -4.690629724984124449e-01
-1.289996867477893883e-01 5.211878942542319537e-01 2.461690680315548274e+00 -2.830056802956846251e-01
-1.057667110145091988e-01 7.834209227481526705e-01 2.054131170122844630e+00 -1.060048339718012156e-01
-8.253373528122902314e-02 1.146923936503594588e+00 1.672962498852655244e+00 5.953461663523650776e-02
-5.930075954794883364e-02 1.523062615817235343e+00 1.389322833094584597e+00 1.827177583228493662e-01
-3.606778381466863026e-02 1.934553810547612773e+00 1.150169308606303620e+00 2.865808143358239413e-01
-1.283480808138845464e-02 2.341676932890966345e+00 9.591787089392509458e-01 3.695269778666179783e-01
1.039816765189172099e-02 2.726534868621696805e+00 8.070144955470850423e-01 4.356110560859846048e-01
3.363114338517189661e-02 3.133903843026573544e+00 6.677665580386527022e-01 4.960856669623055493e-01
5.686411911845207223e-02 3.435995721130058467e+00 5.757392608184035421e-01 5.360526143295302193e-01
8.009709485173227561e-02 3.508750566118128411e+00 5.547860095954491033e-01 5.451524957135919225e-01
1.033300705850124512e-01 3.705886262396805186e+00 5.001235823668348512e-01 5.688920862264170708e-01
1.265630463182926269e-01 3.290644758428134864e+00 6.189624988512978376e-01 5.172810005618534435e-01
