# created by program: /home/aporutho/.conda/envs/westpa-2020.05/westpa-2020.05/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bluehive
# created at:         Fri Oct 28 11:04:40 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/353K/multi_west/silcoeffdxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
-1.443806848645210195e-01 0.000000000000000000e+00 inf -inf
-1.226276045203208848e-01 6.332789978992463611e-03 7.979471349443363337e+00 -2.198404914700788471e+00
-1.008745241761207501e-01 1.167718358881165465e-02 7.367575426242206404e+00 -1.932661891755430128e+00
-7.912144383192062924e-02 1.899518408124106425e-02 6.881026765841342652e+00 -1.721356493365915785e+00
-5.736836348772048760e-02 9.482819663215081782e-03 7.575730538599467323e+00 -2.023062508432139861e+00
-3.561528314352035290e-02 7.560907997036729611e-03 7.802220955063116747e+00 -2.121426046506272645e+00
-1.386220279932022514e-02 3.403890722313844541e-02 6.297708043008761081e+00 -1.468024390848873262e+00
7.890877544879909555e-03 6.918103481057201465e-02 5.588485481840280045e+00 -1.160012946092110253e+00
2.964395788908005813e-02 1.282756006280849348e-01 4.971031164306368488e+00 -8.918559431597943288e-01
5.139703823328019283e-02 2.621678706122598790e-01 4.256227217360056159e+00 -5.814205333583464252e-01
7.315011857748031365e-02 3.453481591536221029e-01 3.980659178328814551e+00 -4.617428546181779891e-01
9.490319892168044835e-02 5.799888129655506042e-01 3.462203428106598757e+00 -2.365803831856590489e-01
1.166562792658805969e-01 8.532634818442983438e-01 3.076143855229317214e+00 -6.891684099912931405e-02
1.384093596100807178e-01 1.268885752062832717e+00 2.679317809704489850e+00 1.034225208477918545e-01
1.601624399542808386e-01 1.861967309760819145e+00 2.295823342307154569e+00 2.699720518788810697e-01
1.819155202984809871e-01 2.155128708480490207e+00 2.149606517203278777e+00 3.334732121829070417e-01
