# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:25:13 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/373K/multi_west/clucounttotal.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
4.227450000000000152e+00 7.978390054149213373e-02 8.479081925951168497e-01 -1.098084735358375807e+00
4.682349999999999568e+00 0.000000000000000000e+00 inf -inf
5.137249999999999872e+00 1.514629213293327836e-01 2.068890778027230315e-01 -8.196936710095320544e-01
5.592150000000000176e+00 0.000000000000000000e+00 inf -inf
6.047050000000000480e+00 1.862760902068645863e-01 0.000000000000000000e+00 -7.298428861537568091e-01
6.501949999999999896e+00 0.000000000000000000e+00 inf -inf
6.956850000000000200e+00 1.463982480227211669e-01 2.408992946990562434e-01 -8.344641205359423219e-01
7.411750000000000504e+00 0.000000000000000000e+00 inf -inf
7.866650000000000809e+00 1.098669421179282735e-01 5.279599125913445601e-01 -9.591329628583009637e-01
8.321550000000000225e+00 0.000000000000000000e+00 inf -inf
8.776450000000000529e+00 7.874432427459576722e-02 8.610237266919116284e-01 -1.103780739443827708e+00
9.231350000000000833e+00 0.000000000000000000e+00 inf -inf
9.686250000000001137e+00 0.000000000000000000e+00 inf -inf
1.014114999999999966e+01 6.617623811248433963e-02 1.034908471487515635e+00 -1.179297924595713587e+00
1.059604999999999997e+01 0.000000000000000000e+00 inf -inf
1.105095000000000027e+01 6.345798908747890543e-02 1.076851831318351715e+00 -1.197513694322728472e+00
1.150585000000000058e+01 0.000000000000000000e+00 inf -inf
1.196075000000000088e+01 7.050234118098701319e-02 9.715840115889540218e-01 -1.151796461092264634e+00
1.241564999999999941e+01 0.000000000000000000e+00 inf -inf
1.287055000000000149e+01 8.083898951679652223e-02 8.347705364316742038e-01 -1.092379123781450412e+00
1.332545000000000002e+01 0.000000000000000000e+00 inf -inf
1.378035000000000210e+01 8.345154207732229101e-02 8.029638001024503868e-01 -1.078565633706316751e+00
1.423525000000000063e+01 0.000000000000000000e+00 inf -inf
1.469014999999999915e+01 0.000000000000000000e+00 inf -inf
1.514505000000000123e+01 8.957883632894581005e-02 7.321108387017456476e-01 -1.047794583543486757e+00
1.559994999999999976e+01 0.000000000000000000e+00 inf -inf
1.605485000000000184e+01 9.593127528142368632e-02 6.635978764803056595e-01 -1.018039782111869185e+00
1.650975000000000037e+01 0.000000000000000000e+00 inf -inf
1.696464999999999890e+01 9.555666729298217810e-02 6.675104827916504835e-01 -1.019739005442746205e+00
1.741955000000000098e+01 0.000000000000000000e+00 inf -inf
1.787444999999999951e+01 9.361765705844175833e-02 6.880109196174306607e-01 -1.028642232032788595e+00
1.832935000000000159e+01 0.000000000000000000e+00 inf -inf
1.878425000000000011e+01 1.050656473600380253e-01 5.726445613506727650e-01 -9.785392592402620826e-01
1.923915000000000219e+01 0.000000000000000000e+00 inf -inf
1.969405000000000072e+01 0.000000000000000000e+00 inf -inf
2.014894999999999925e+01 9.742848767250933406e-02 6.481112799752934972e-01 -1.011314038706280227e+00
2.060385000000000133e+01 0.000000000000000000e+00 inf -inf
2.105875000000000341e+01 8.893870995097305499e-02 7.392824488307343511e-01 -1.050909174248867872e+00
2.151364999999999839e+01 0.000000000000000000e+00 inf -inf
2.196855000000000047e+01 8.556981755668531531e-02 7.778973067634191718e-01 -1.067679393968510970e+00
2.242345000000000255e+01 0.000000000000000000e+00 inf -inf
2.287835000000000107e+01 7.602653512677369496e-02 8.961475033429204817e-01 -1.119034801826963132e+00
2.333324999999999960e+01 0.000000000000000000e+00 inf -inf
2.378815000000000168e+01 6.835583054205186804e-02 1.002503065365249357e+00 -1.165224435532979497e+00
2.424305000000000376e+01 0.000000000000000000e+00 inf -inf
2.469794999999999874e+01 0.000000000000000000e+00 inf -inf
2.515285000000000082e+01 5.170603018822596264e-02 1.281655516313918719e+00 -1.286458804589754923e+00
2.560775000000000290e+01 0.000000000000000000e+00 inf -inf
2.606265000000000143e+01 4.545987551622165251e-02 1.410399848990624205e+00 -1.342371757847564684e+00
2.651754999999999995e+01 0.000000000000000000e+00 inf -inf
2.697245000000000203e+01 3.020014638412139504e-02 1.819383157571331955e+00 -1.519990951954700797e+00
2.742735000000000412e+01 0.000000000000000000e+00 inf -inf
2.788224999999999909e+01 2.317706945114603526e-02 2.084066524926210029e+00 -1.634941477848495861e+00
2.833715000000000117e+01 0.000000000000000000e+00 inf -inf
2.879205000000000325e+01 1.443786777516736612e-02 2.557375467534514613e+00 -1.840496939858745185e+00
2.924695000000000178e+01 0.000000000000000000e+00 inf -inf
2.970185000000000031e+01 0.000000000000000000e+00 inf -inf
3.015675000000000239e+01 9.246993602237220389e-03 3.002931446375905367e+00 -2.033999442848563710e+00
3.061165000000000092e+01 0.000000000000000000e+00 inf -inf
3.106654999999999944e+01 4.529786327867200459e-03 3.716555158955495486e+00 -2.343922283377191995e+00
3.152145000000000152e+01 0.000000000000000000e+00 inf -inf
3.197635000000000360e+01 3.206221304482141307e-03 4.062136849068971323e+00 -2.494006504440273719e+00
3.243125000000000568e+01 0.000000000000000000e+00 inf -inf
3.288615000000000066e+01 1.714602244903010598e-03 4.688048802548363980e+00 -2.765836611993659044e+00
3.334105000000000274e+01 0.000000000000000000e+00 inf -inf
3.379595000000000482e+01 9.012443509194583606e-04 5.331208787549900130e+00 -3.045157444460804275e+00
3.425084999999999980e+01 0.000000000000000000e+00 inf -inf
3.470575000000000188e+01 0.000000000000000000e+00 inf -inf
3.516065000000000396e+01 4.211995452985901130e-04 6.091878507357655792e+00 -3.375512106324205064e+00
3.561554999999999893e+01 0.000000000000000000e+00 inf -inf
3.607045000000000101e+01 1.244677752643157294e-04 7.310938358895567646e+00 -3.904943072956917227e+00
3.652535000000000309e+01 0.000000000000000000e+00 inf -inf
3.698024999999999807e+01 1.035993010984364757e-04 7.494454624430343159e+00 -3.984643174418162737e+00
3.743515000000000725e+01 0.000000000000000000e+00 inf -inf
3.789005000000000223e+01 2.222958273168691650e-05 9.033561250783357366e+00 -4.653068689304006966e+00
3.834494999999999720e+01 0.000000000000000000e+00 inf -inf
3.879985000000000639e+01 3.938886467608455772e-06 1.076408714714868964e+01 -5.404626536886149246e+00
3.925475000000000136e+01 0.000000000000000000e+00 inf -inf
3.970964999999999634e+01 0.000000000000000000e+00 inf -inf
4.016455000000000553e+01 1.074561817271016379e-06 1.206307224143646017e+01 -5.968768595409902566e+00
4.061945000000000050e+01 0.000000000000000000e+00 inf -inf
4.107435000000000258e+01 0.000000000000000000e+00 inf -inf
4.152925000000000466e+01 0.000000000000000000e+00 inf -inf
4.198414999999999964e+01 0.000000000000000000e+00 inf -inf
4.243905000000000172e+01 0.000000000000000000e+00 inf -inf
4.289395000000000380e+01 0.000000000000000000e+00 inf -inf
4.334884999999999877e+01 0.000000000000000000e+00 inf -inf
4.380375000000000796e+01 0.000000000000000000e+00 inf -inf
4.425865000000000293e+01 0.000000000000000000e+00 inf -inf
4.471354999999999791e+01 0.000000000000000000e+00 inf -inf
4.516845000000000709e+01 0.000000000000000000e+00 inf -inf
4.562335000000000207e+01 0.000000000000000000e+00 inf -inf
4.607824999999999704e+01 0.000000000000000000e+00 inf -inf
4.653315000000000623e+01 0.000000000000000000e+00 inf -inf
4.698805000000000121e+01 0.000000000000000000e+00 inf -inf
4.744295000000000329e+01 0.000000000000000000e+00 inf -inf
4.789785000000000537e+01 0.000000000000000000e+00 inf -inf
4.835275000000000034e+01 0.000000000000000000e+00 inf -inf
4.880765000000000242e+01 0.000000000000000000e+00 inf -inf
4.926255000000000450e+01 0.000000000000000000e+00 inf -inf
