# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:25:32 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/373K/multi_west/clusbydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
3.615832361698150255e-01 0.000000000000000000e+00 inf -inf
3.680830696582794159e-01 0.000000000000000000e+00 inf -inf
3.745829031467438064e-01 0.000000000000000000e+00 inf -inf
3.810827366352080858e-01 0.000000000000000000e+00 inf -inf
3.875825701236724763e-01 0.000000000000000000e+00 inf -inf
3.940824036121368668e-01 0.000000000000000000e+00 inf -inf
4.005822371006012017e-01 0.000000000000000000e+00 inf -inf
4.070820705890655367e-01 0.000000000000000000e+00 inf -inf
4.135819040775299271e-01 0.000000000000000000e+00 inf -inf
4.200817375659942621e-01 0.000000000000000000e+00 inf -inf
4.265815710544585970e-01 0.000000000000000000e+00 inf -inf
4.330814045429229875e-01 0.000000000000000000e+00 inf -inf
4.395812380313873224e-01 0.000000000000000000e+00 inf -inf
4.460810715198516574e-01 0.000000000000000000e+00 inf -inf
4.525809050083160479e-01 0.000000000000000000e+00 inf -inf
4.590807384967803828e-01 0.000000000000000000e+00 inf -inf
4.655805719852447178e-01 0.000000000000000000e+00 inf -inf
4.720804054737091082e-01 0.000000000000000000e+00 inf -inf
4.785802389621734432e-01 0.000000000000000000e+00 inf -inf
4.850800724506377781e-01 0.000000000000000000e+00 inf -inf
4.915799059391021686e-01 0.000000000000000000e+00 inf -inf
4.980797394275665035e-01 0.000000000000000000e+00 inf -inf
5.045795729160309495e-01 0.000000000000000000e+00 inf -inf
5.110794064044952290e-01 0.000000000000000000e+00 inf -inf
5.175792398929595084e-01 0.000000000000000000e+00 inf -inf
5.240790733814240099e-01 4.301196700895444687e-07 1.636510066198096780e+01 -6.366410695981107537e+00
5.305789068698882893e-01 2.794118401936057953e-04 9.888722032362274206e+00 -3.553755194421564401e+00
5.370787403583525688e-01 3.086078099645893987e-04 9.789337608165352478e+00 -3.510593087405708967e+00
5.435785738468170702e-01 4.717463467595247868e-04 9.364967415300588627e+00 -3.326291454360323474e+00
5.500784073352813497e-01 1.635542700114172611e-03 8.121678900570080017e+00 -2.786338112999174221e+00
5.565782408237456291e-01 9.402235573645570822e-04 8.675291181530029760e+00 -3.026768871733953148e+00
5.630780743122101306e-01 2.621256149675466659e-03 7.649999927202857819e+00 -2.581490537635998894e+00
5.695779078006744101e-01 1.254335073313905596e-03 8.387047966401349086e+00 -2.901586433957515254e+00
5.760777412891386895e-01 2.619599181658432453e-03 7.650632254549250888e+00 -2.581765153913293531e+00
5.825775747776031910e-01 6.149133581224300663e-03 6.797342385727147551e+00 -2.211186072419904836e+00
5.890774082660674704e-01 1.063322943802096077e-02 6.249669626163236735e+00 -1.973334815052571578e+00
5.955772417545317499e-01 1.916925619820781732e-02 5.660345820516506699e+00 -1.717394738205972216e+00
6.020770752429962513e-01 2.759187970994954678e-02 5.296132060492936944e+00 -1.559218711994500683e+00
6.085769087314605308e-01 2.776702303036558336e-02 5.289804481869978758e+00 -1.556470679514741162e+00
6.150767422199248102e-01 4.188723775265772858e-02 4.878672384229546743e+00 -1.377918278176192723e+00
6.215765757083893117e-01 5.302149341588249798e-02 4.642956209025871139e+00 -1.275548043989896074e+00
6.280764091968535912e-01 1.062361898869825655e-01 3.947988754696727831e+00 -9.737275134723988312e-01
6.345762426853178706e-01 1.301062953613481843e-01 3.745301803536895235e+00 -8.857016890298896605e-01
6.410760761737823721e-01 2.069148240248628035e-01 3.281346346074911047e+00 -6.842083940052511304e-01
6.475759096622466515e-01 2.129382735802548832e-01 3.252651248206400059e+00 -6.717462713432831301e-01
6.540757431507110420e-01 3.372953724765284100e-01 2.792694553856284401e+00 -4.719896170725673690e-01
6.605755766391754324e-01 4.580623504481063368e-01 2.486648265321110163e+00 -3.390754027547705496e-01
6.670754101276397119e-01 6.331317688680681011e-01 2.162975010370096207e+00 -1.985058941898809326e-01
6.735752436161041024e-01 8.590897050776581390e-01 1.857780230327630289e+00 -6.596148531176124208e-02
6.800750771045684928e-01 7.898408693205800635e-01 1.941822082587862042e+00 -1.024603979973082030e-01
6.865749105930327723e-01 1.086571857638089389e+00 1.622870642205117786e+00 3.605845255601160260e-02
6.930747440814971627e-01 1.391969748817700525e+00 1.375178468032134393e+00 1.436297970099574273e-01
