# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:25:42 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/373K/multi_west/clusbydxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
4.997863284111023208e-01 0.000000000000000000e+00 inf -inf
5.049145553588867408e-01 0.000000000000000000e+00 inf -inf
5.100427823066711053e-01 0.000000000000000000e+00 inf -inf
5.151710092544555808e-01 0.000000000000000000e+00 inf -inf
5.202992362022400563e-01 0.000000000000000000e+00 inf -inf
5.254274631500244208e-01 0.000000000000000000e+00 inf -inf
5.305556900978087853e-01 0.000000000000000000e+00 inf -inf
5.356839170455932608e-01 0.000000000000000000e+00 inf -inf
5.408121439933777364e-01 0.000000000000000000e+00 inf -inf
5.459403709411621008e-01 0.000000000000000000e+00 inf -inf
5.510685978889464653e-01 0.000000000000000000e+00 inf -inf
5.561968248367309409e-01 0.000000000000000000e+00 inf -inf
5.613250517845154164e-01 0.000000000000000000e+00 inf -inf
5.664532787322997809e-01 0.000000000000000000e+00 inf -inf
5.715815056800842564e-01 0.000000000000000000e+00 inf -inf
5.767097326278687319e-01 0.000000000000000000e+00 inf -inf
5.818379595756530964e-01 0.000000000000000000e+00 inf -inf
5.869661865234374609e-01 2.548245067122355641e-05 1.255397651659676050e+01 -4.593758807819821932e+00
5.920944134712219364e-01 0.000000000000000000e+00 inf -inf
5.972226404190064120e-01 3.204826798899590299e-06 1.462730847485760499e+01 -5.494195436446170255e+00
6.023508673667907765e-01 2.710392001722531743e-05 1.249228815535805737e+01 -4.566967892936198758e+00
6.074790943145751410e-01 0.000000000000000000e+00 inf -inf
6.126073212623596165e-01 2.140156674774722906e-04 1.042591729801151423e+01 -3.669554432024903612e+00
6.177355482101440920e-01 9.833126661642758895e-05 1.120362447287423002e+01 -4.007308366604348748e+00
6.228637751579284565e-01 3.880370270431087419e-03 7.528280664277421153e+00 -2.411126831433472617e+00
6.279920021057129320e-01 6.914409219011278997e-04 9.253188810115480223e+00 -3.160244920960911585e+00
6.331202290534972965e-01 5.597430571324530897e-04 9.464488670978118634e+00 -3.252011284560480497e+00
6.382484560012817720e-01 7.423719433209101035e-03 6.879531040976104350e+00 -2.129378449896898395e+00
6.433766829490661365e-01 2.968516571403065525e-03 7.796148886753471174e+00 -2.527460522332054094e+00
6.485049098968506120e-01 9.613783595047010674e-03 6.621013384020905335e+00 -2.017105658006696611e+00
