# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:31:59 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/423K/multi_west/clucountchol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.524999999999999814e-02 1.577518678117269957e+01 0.000000000000000000e+00 1.197974510074802712e+00
7.574999999999999789e-02 0.000000000000000000e+00 inf -inf
1.262500000000000011e-01 0.000000000000000000e+00 inf -inf
1.767499999999999905e-01 0.000000000000000000e+00 inf -inf
2.272500000000000075e-01 0.000000000000000000e+00 inf -inf
2.777499999999999969e-01 0.000000000000000000e+00 inf -inf
3.282499999999999862e-01 0.000000000000000000e+00 inf -inf
3.787499999999999756e-01 0.000000000000000000e+00 inf -inf
4.292499999999999649e-01 0.000000000000000000e+00 inf -inf
4.797500000000000098e-01 0.000000000000000000e+00 inf -inf
5.302499999999999991e-01 0.000000000000000000e+00 inf -inf
5.807499999999999885e-01 0.000000000000000000e+00 inf -inf
6.312499999999999778e-01 0.000000000000000000e+00 inf -inf
6.817499999999999671e-01 0.000000000000000000e+00 inf -inf
7.322499999999999565e-01 0.000000000000000000e+00 inf -inf
7.827499999999999458e-01 0.000000000000000000e+00 inf -inf
8.332499999999999352e-01 0.000000000000000000e+00 inf -inf
8.837499999999999245e-01 0.000000000000000000e+00 inf -inf
9.342499999999999138e-01 0.000000000000000000e+00 inf -inf
9.847500000000000142e-01 3.641789708021261784e+00 1.465963009842652820e+00 5.613148642258560805e-01
1.035250000000000004e+00 0.000000000000000000e+00 inf -inf
1.085749999999999993e+00 0.000000000000000000e+00 inf -inf
1.136249999999999982e+00 0.000000000000000000e+00 inf -inf
1.186749999999999972e+00 0.000000000000000000e+00 inf -inf
1.237249999999999961e+00 0.000000000000000000e+00 inf -inf
1.287749999999999950e+00 0.000000000000000000e+00 inf -inf
1.338249999999999940e+00 0.000000000000000000e+00 inf -inf
1.388749999999999929e+00 0.000000000000000000e+00 inf -inf
1.439249999999999918e+00 0.000000000000000000e+00 inf -inf
1.489749999999999908e+00 0.000000000000000000e+00 inf -inf
1.540249999999999897e+00 0.000000000000000000e+00 inf -inf
1.590749999999999886e+00 0.000000000000000000e+00 inf -inf
1.641249999999999876e+00 0.000000000000000000e+00 inf -inf
1.691749999999999865e+00 0.000000000000000000e+00 inf -inf
1.742249999999999854e+00 0.000000000000000000e+00 inf -inf
1.792749999999999844e+00 0.000000000000000000e+00 inf -inf
1.843249999999999833e+00 0.000000000000000000e+00 inf -inf
1.893749999999999822e+00 0.000000000000000000e+00 inf -inf
1.944249999999999812e+00 0.000000000000000000e+00 inf -inf
1.994749999999999801e+00 3.671482725357704258e-01 3.760427748844623164e+00 -4.351585108442845296e-01
2.045250000000000234e+00 0.000000000000000000e+00 inf -inf
2.095749999999999780e+00 0.000000000000000000e+00 inf -inf
2.146250000000000213e+00 0.000000000000000000e+00 inf -inf
2.196749999999999758e+00 0.000000000000000000e+00 inf -inf
2.247250000000000192e+00 0.000000000000000000e+00 inf -inf
2.297749999999999737e+00 0.000000000000000000e+00 inf -inf
2.348250000000000171e+00 0.000000000000000000e+00 inf -inf
2.398749999999999716e+00 0.000000000000000000e+00 inf -inf
2.449250000000000149e+00 0.000000000000000000e+00 inf -inf
2.499749999999999694e+00 0.000000000000000000e+00 inf -inf
2.550250000000000128e+00 0.000000000000000000e+00 inf -inf
2.600749999999999673e+00 0.000000000000000000e+00 inf -inf
2.651250000000000107e+00 0.000000000000000000e+00 inf -inf
2.701749999999999652e+00 0.000000000000000000e+00 inf -inf
2.752250000000000085e+00 0.000000000000000000e+00 inf -inf
2.802749999999999631e+00 0.000000000000000000e+00 inf -inf
2.853250000000000064e+00 0.000000000000000000e+00 inf -inf
2.903749999999999609e+00 0.000000000000000000e+00 inf -inf
2.954250000000000043e+00 0.000000000000000000e+00 inf -inf
3.004749999999999588e+00 1.722082130796744742e-02 6.820074334801091709e+00 -1.763946139699302362e+00
3.055250000000000021e+00 0.000000000000000000e+00 inf -inf
3.105749999999999567e+00 0.000000000000000000e+00 inf -inf
3.156250000000000000e+00 0.000000000000000000e+00 inf -inf
3.206749999999999545e+00 0.000000000000000000e+00 inf -inf
3.257249999999999979e+00 0.000000000000000000e+00 inf -inf
3.307749999999999524e+00 0.000000000000000000e+00 inf -inf
3.358249999999999957e+00 0.000000000000000000e+00 inf -inf
3.408749999999999503e+00 0.000000000000000000e+00 inf -inf
3.459249999999999936e+00 0.000000000000000000e+00 inf -inf
3.509749999999999481e+00 0.000000000000000000e+00 inf -inf
3.560249999999999915e+00 0.000000000000000000e+00 inf -inf
3.610749999999999460e+00 0.000000000000000000e+00 inf -inf
3.661249999999999893e+00 0.000000000000000000e+00 inf -inf
3.711749999999999439e+00 0.000000000000000000e+00 inf -inf
3.762249999999999872e+00 0.000000000000000000e+00 inf -inf
3.812749999999999417e+00 0.000000000000000000e+00 inf -inf
3.863249999999999851e+00 0.000000000000000000e+00 inf -inf
3.913749999999999396e+00 0.000000000000000000e+00 inf -inf
3.964249999999999829e+00 0.000000000000000000e+00 inf -inf
4.014749999999999375e+00 6.346149820948751834e-04 1.012093031905711271e+01 -3.197489679219019720e+00
4.065249999999999808e+00 0.000000000000000000e+00 inf -inf
4.115750000000000242e+00 0.000000000000000000e+00 inf -inf
4.166249999999999787e+00 0.000000000000000000e+00 inf -inf
4.216749999999999332e+00 0.000000000000000000e+00 inf -inf
4.267249999999999766e+00 0.000000000000000000e+00 inf -inf
4.317750000000000199e+00 0.000000000000000000e+00 inf -inf
4.368249999999999744e+00 0.000000000000000000e+00 inf -inf
4.418749999999999289e+00 0.000000000000000000e+00 inf -inf
4.469249999999999723e+00 0.000000000000000000e+00 inf -inf
4.519750000000000156e+00 0.000000000000000000e+00 inf -inf
4.570249999999999702e+00 0.000000000000000000e+00 inf -inf
4.620749999999999247e+00 0.000000000000000000e+00 inf -inf
4.671249999999999680e+00 0.000000000000000000e+00 inf -inf
4.721750000000000114e+00 0.000000000000000000e+00 inf -inf
4.772249999999999659e+00 0.000000000000000000e+00 inf -inf
4.822749999999999204e+00 0.000000000000000000e+00 inf -inf
4.873249999999999638e+00 0.000000000000000000e+00 inf -inf
4.923750000000000071e+00 0.000000000000000000e+00 inf -inf
4.974249999999999616e+00 0.000000000000000000e+00 inf -inf
5.024749999999999162e+00 0.000000000000000000e+00 inf -inf
