# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:32:09 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/423K/multi_west/clucountdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.146549999999999958e+00 2.508193774084902655e-02 2.349581213645850486e+00 -1.600638914506007149e+00
2.439649999999999874e+00 0.000000000000000000e+00 inf -inf
2.732749999999999790e+00 0.000000000000000000e+00 inf -inf
3.025849999999999707e+00 8.971437647236507607e-02 1.075098159773268058e+00 -1.047137956929939939e+00
3.318949999999999623e+00 0.000000000000000000e+00 inf -inf
3.612049999999999983e+00 0.000000000000000000e+00 inf -inf
3.905149999999999899e+00 1.651958736206349809e-01 4.645973061286876593e-01 -7.820008049948738993e-01
4.198249999999999815e+00 0.000000000000000000e+00 inf -inf
4.491349999999999731e+00 0.000000000000000000e+00 inf -inf
4.784449999999999648e+00 0.000000000000000000e+00 inf -inf
5.077549999999999564e+00 2.202112566236255065e-01 1.771418458399882656e-01 -6.571604847985323961e-01
5.370649999999999480e+00 0.000000000000000000e+00 inf -inf
5.663750000000000284e+00 0.000000000000000000e+00 inf -inf
5.956849999999999312e+00 2.310142163281674599e-01 1.292499376459761429e-01 -6.363612933420558226e-01
6.249950000000000117e+00 0.000000000000000000e+00 inf -inf
6.543049999999999145e+00 0.000000000000000000e+00 inf -inf
6.836149999999999949e+00 0.000000000000000000e+00 inf -inf
7.129249999999998977e+00 2.203568221794885151e-01 1.764810373603749039e-01 -6.568734993222414831e-01
7.422349999999999781e+00 0.000000000000000000e+00 inf -inf
7.715449999999998809e+00 0.000000000000000000e+00 inf -inf
8.008549999999999613e+00 2.226546216456392890e-01 1.661073998207152069e-01 -6.523682857815027436e-01
8.301649999999998641e+00 0.000000000000000000e+00 inf -inf
8.594749999999999446e+00 0.000000000000000000e+00 inf -inf
8.887850000000000250e+00 2.166992312885867300e-01 1.932188276373467684e-01 -6.641426292787842023e-01
9.180949999999999278e+00 0.000000000000000000e+00 inf -inf
9.474050000000000082e+00 0.000000000000000000e+00 inf -inf
9.767149999999999110e+00 0.000000000000000000e+00 inf -inf
1.006024999999999991e+01 2.322085277819297411e-01 1.240933942105078014e-01 -6.341218349823374290e-01
1.035334999999999894e+01 0.000000000000000000e+00 inf -inf
1.064644999999999797e+01 0.000000000000000000e+00 inf -inf
1.093954999999999878e+01 2.371098948047011545e-01 1.032054639976009991e-01 -6.250503221524918995e-01
1.123264999999999958e+01 0.000000000000000000e+00 inf -inf
1.152574999999999861e+01 0.000000000000000000e+00 inf -inf
1.181884999999999941e+01 0.000000000000000000e+00 inf -inf
1.211195000000000022e+01 2.628882899283039309e-01 0.000000000000000000e+00 -5.802287586360690419e-01
1.240504999999999924e+01 0.000000000000000000e+00 inf -inf
1.269814999999999827e+01 0.000000000000000000e+00 inf -inf
1.299124999999999908e+01 2.554867402392709264e-01 2.855867782550336464e-02 -5.926316348261377875e-01
1.328434999999999988e+01 0.000000000000000000e+00 inf -inf
1.357744999999999891e+01 0.000000000000000000e+00 inf -inf
1.387054999999999794e+01 2.583724886591960979e-01 1.732689061712822109e-02 -5.877537316196290718e-01
1.416364999999999874e+01 0.000000000000000000e+00 inf -inf
1.445674999999999955e+01 0.000000000000000000e+00 inf -inf
1.474984999999999857e+01 0.000000000000000000e+00 inf -inf
1.504294999999999760e+01 2.216629183111522017e-01 1.705713468500149599e-01 -6.543069533438360397e-01
1.533604999999999841e+01 0.000000000000000000e+00 inf -inf
1.562914999999999921e+01 0.000000000000000000e+00 inf -inf
1.592224999999999824e+01 1.886020052523510737e-01 3.320901863744218918e-01 -7.244536940727028806e-01
1.621535000000000082e+01 0.000000000000000000e+00 inf -inf
1.650844999999999985e+01 0.000000000000000000e+00 inf -inf
1.680154999999999887e+01 0.000000000000000000e+00 inf -inf
1.709464999999999790e+01 1.451958388612620554e-01 5.936457448205254561e-01 -8.380458298169690678e-01
1.738774999999999693e+01 0.000000000000000000e+00 inf -inf
1.768084999999999951e+01 0.000000000000000000e+00 inf -inf
1.797394999999999854e+01 1.000306226809880711e-01 9.662528229001718927e-01 -9.998670277450537602e-01
1.826704999999999757e+01 0.000000000000000000e+00 inf -inf
1.856015000000000015e+01 0.000000000000000000e+00 inf -inf
1.885324999999999562e+01 0.000000000000000000e+00 inf -inf
1.914634999999999820e+01 5.378836663243540678e-02 1.586671978632255620e+00 -1.269311643546571888e+00
1.943945000000000078e+01 0.000000000000000000e+00 inf -inf
1.973254999999999626e+01 0.000000000000000000e+00 inf -inf
2.002564999999999884e+01 3.455110434380493506e-02 2.029289675476189103e+00 -1.461538066878618647e+00
2.031874999999999787e+01 0.000000000000000000e+00 inf -inf
2.061184999999999690e+01 0.000000000000000000e+00 inf -inf
2.090494999999999948e+01 1.779317707248871325e-02 2.692914115538847852e+00 -1.749746499253966636e+00
2.119804999999999851e+01 0.000000000000000000e+00 inf -inf
2.149114999999999753e+01 0.000000000000000000e+00 inf -inf
2.178425000000000011e+01 0.000000000000000000e+00 inf -inf
2.207734999999999559e+01 7.820090068655907375e-03 3.515033116598458740e+00 -2.106788244881969252e+00
2.237044999999999817e+01 0.000000000000000000e+00 inf -inf
2.266355000000000075e+01 0.000000000000000000e+00 inf -inf
2.295664999999999623e+01 3.519242604778047637e-03 4.313483391459615568e+00 -2.453550793328304280e+00
2.324974999999999881e+01 0.000000000000000000e+00 inf -inf
2.354284999999999783e+01 0.000000000000000000e+00 inf -inf
2.383594999999999686e+01 0.000000000000000000e+00 inf -inf
2.412904999999999944e+01 1.006920883612368511e-03 5.564832144593035324e+00 -2.997004651750662774e+00
2.442214999999999492e+01 0.000000000000000000e+00 inf -inf
2.471524999999999750e+01 0.000000000000000000e+00 inf -inf
2.500835000000000008e+01 5.451362501700593574e-04 6.178448704072012632e+00 -3.263494937536841167e+00
2.530144999999999555e+01 0.000000000000000000e+00 inf -inf
2.559454999999999814e+01 0.000000000000000000e+00 inf -inf
2.588765000000000072e+01 2.556843529516762410e-04 6.935540780370701874e+00 -3.592295848566037897e+00
2.618074999999999619e+01 0.000000000000000000e+00 inf -inf
2.647384999999999877e+01 0.000000000000000000e+00 inf -inf
2.676694999999999780e+01 0.000000000000000000e+00 inf -inf
2.706004999999999683e+01 2.591836580774642751e-05 9.224532645846572620e+00 -4.586392384863639649e+00
2.735314999999999941e+01 0.000000000000000000e+00 inf -inf
2.764624999999999488e+01 0.000000000000000000e+00 inf -inf
2.793934999999999746e+01 1.279773370805144727e-05 9.930216366611251289e+00 -4.892866930760694011e+00
2.823245000000000005e+01 0.000000000000000000e+00 inf -inf
2.852554999999999552e+01 0.000000000000000000e+00 inf -inf
2.881864999999999810e+01 0.000000000000000000e+00 inf -inf
2.911174999999999713e+01 0.000000000000000000e+00 inf -inf
2.940484999999999616e+01 0.000000000000000000e+00 inf -inf
2.969794999999999874e+01 0.000000000000000000e+00 inf -inf
2.999104999999999777e+01 7.440359500299209724e-07 1.277515039318614853e+01 -6.128406079880971191e+00
3.028414999999999679e+01 0.000000000000000000e+00 inf -inf
3.057724999999999937e+01 0.000000000000000000e+00 inf -inf
3.087034999999999485e+01 0.000000000000000000e+00 inf -inf
3.116344999999999743e+01 0.000000000000000000e+00 inf -inf
