# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:33:35 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/423K/multi_west/corebytotal.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.655632007241248926e-01 0.000000000000000000e+00 inf -inf
1.716896140933036885e-01 4.244332207749964515e-08 1.917194074339604981e+01 -7.372190630815418366e+00
1.778160274624824566e-01 2.834905235769520425e-07 1.727293163504370455e+01 -6.547461453973980383e+00
1.839424408316612247e-01 2.838135231455589380e-04 1.036403763827742708e+01 -3.546966915123883179e+00
1.900688542008400206e-01 1.490424883452142130e-03 8.705538537165015356e+00 -2.826689907269259283e+00
1.961952675700187609e-01 1.527793524865373115e-03 8.680775219244383223e+00 -2.815935334942713197e+00
2.023216809391975568e-01 4.937455754814214053e-03 7.507749604015429234e+00 -2.306496783117611749e+00
2.084480943083762972e-01 1.359923557275466779e-02 6.494586189875636073e+00 -1.866485503090440146e+00
2.145745076775550930e-01 2.609398645148847118e-02 5.842894889528231772e+00 -1.583459567445207661e+00
2.207009210467338611e-01 6.062023926518149419e-02 4.999970954562673597e+00 -1.217382353825490426e+00
2.268273344159126292e-01 1.134113500480491699e-01 4.373578298259976904e+00 -9.453434796885089586e-01
2.329537477850913973e-01 1.571780191928423831e-01 4.047220729951378715e+00 -8.036081886447210554e-01
2.390801611542701655e-01 2.445986420903717151e-01 3.604981101466608884e+00 -6.115459583148414868e-01
2.452065745234489613e-01 3.407070803836820816e-01 3.273576666829570492e+00 -4.676188410737090462e-01
2.513329878926277017e-01 7.161965368134662890e-01 2.530645151101594159e+00 -1.449677833610298616e-01
2.574594012618064975e-01 9.849165050758509343e-01 2.212042901993476640e+00 -6.600584651409203973e-03
2.635858146309852934e-01 1.428764293819880793e+00 1.840034553669893214e+00 1.549605882474658081e-01
2.697122280001640338e-01 2.260252545350299513e+00 1.381367941398770061e+00 3.541569669900730410e-01
2.758386413693427741e-01 3.292041652163417709e+00 1.005336558894787791e+00 5.174653214340034779e-01
2.819650547385216255e-01 5.055659407036651842e+00 5.763362037091903645e-01 7.037778084256435251e-01
2.880914681077003658e-01 5.869437041401751820e+00 4.270857692900686953e-01 7.685964485155312165e-01
2.942178814768791062e-01 6.605524819122580382e+00 3.089381014988836771e-01 8.199073286869814625e-01
3.003442948460579021e-01 8.121113889547478593e+00 1.023771708889227305e-01 9.096156010276880144e-01
3.064707082152366979e-01 7.779566205271223112e+00 1.453439152115341138e-01 8.909553810630300719e-01
3.125971215844154383e-01 8.198183145913040093e+00 9.293193202119010010e-02 9.137176161482023495e-01
3.187235349535941786e-01 8.996579901506997601e+00 0.000000000000000000e+00 9.540774414176133034e-01
3.248499483227730300e-01 7.404636079292243878e+00 1.947381929257616662e-01 8.695037188141442330e-01
3.309763616919517704e-01 6.384466550210050606e+00 3.429765555196340188e-01 8.051246159332520191e-01
3.371027750611305107e-01 6.216612016332249802e+00 3.696194277255342442e-01 7.935537635521761057e-01
3.432291884303093621e-01 4.920706865106988737e+00 6.033923022159668470e-01 6.920274941423196768e-01
3.493556017994881024e-01 4.475365883344929685e+00 6.982563841442535058e-01 6.508285468300467613e-01
3.554820151686668428e-01 4.000431549111041818e+00 8.104422515918592307e-01 6.021068436500219834e-01
3.616084285378455832e-01 3.517963310630713103e+00 9.389622769509795575e-01 5.462913058224900809e-01
3.677348419070244345e-01 3.513034595914119151e+00 9.403642729661756405e-01 5.456824266894400033e-01
3.738612552762031749e-01 3.488608293487168055e+00 9.473416072600209237e-01 5.426522089072286503e-01
3.799876686453819152e-01 3.806895391788565952e+00 8.600304950068429211e-01 5.805709431676193688e-01
3.861140820145607666e-01 4.461314892295154877e+00 7.014009526884168455e-01 6.494628780633500131e-01
3.922404953837395070e-01 4.567209139807171248e+00 6.779421673202725707e-01 6.596508991008879219e-01
3.983669087529182473e-01 4.055782432274654070e+00 7.967008702778675122e-01 6.080746497284170715e-01
4.044933221220969877e-01 4.763600592593315142e+00 6.358406848580908655e-01 6.779353406141599425e-01
4.106197354912758390e-01 4.297832744242365166e+00 7.387336114947009591e-01 6.332495103490040078e-01
4.167461488604545794e-01 4.076104080519858286e+00 7.917028441700117991e-01 6.102452648874671093e-01
4.228725622296333198e-01 4.684057273034318847e+00 6.526798211322830667e-01 6.706221966502614595e-01
4.289989755988121156e-01 4.354629932781911350e+00 7.256048627272277951e-01 6.389512534930118504e-01
4.351253889679909115e-01 4.313868161586173144e+00 7.350095072667381935e-01 6.348668682652408579e-01
4.412518023371696518e-01 4.265427841951241916e+00 7.463020036149017322e-01 6.299625994143208674e-01
4.473782157063484477e-01 3.055542541408362123e+00 1.079887326018305727e+00 4.850883346506053018e-01
4.535046290755272436e-01 2.427533194967764540e+00 1.309968898531221670e+00 3.851651773206229423e-01
4.596310424447059839e-01 2.045317864556904119e+00 1.481291281762946888e+00 3.107608116565705458e-01
4.657574558138847243e-01 1.387977923236424660e+00 1.868996537661238300e+00 1.423825584150543166e-01
4.718838691830635201e-01 9.563394508625513435e-01 2.241486849000723147e+00 -1.938792836210807835e-02
4.780102825522423160e-01 6.321292257848150076e-01 2.655505928728253640e+00 -1.991941300904370993e-01
4.841366959214210564e-01 3.251741227244178689e-01 3.320238972062859339e+00 -4.878840227494116721e-01
4.902631092905998522e-01 2.096157002620424870e-01 3.759323917680292837e+00 -6.785761917178522173e-01
4.963895226597786481e-01 1.802453725290965036e-01 3.910280669832134404e+00 -7.441358761834339086e-01
5.025159360289573884e-01 7.860796800469622980e-02 4.740126704749529907e+00 -1.104533429977352155e+00
5.086423493981361288e-01 4.542172197692787711e-02 5.288609324887708851e+00 -1.342736405323200488e+00
5.147687627673149802e-01 2.502899181498228001e-02 5.884564947585603889e+00 -1.601556643720112749e+00
5.208951761364937205e-01 1.034771607409685698e-02 6.767833946961264502e+00 -1.985155496185168955e+00
5.270215895056724609e-01 2.117549325800073805e-03 8.354340331522882579e+00 -2.674166464504558416e+00
5.331480028748513122e-01 2.000083946066604987e-03 8.411410620439827568e+00 -2.698951776061812247e+00
5.392744162440300526e-01 2.032236171199364345e-03 8.395463024205774616e+00 -2.692025823017741626e+00
5.454008296132087930e-01 2.440346951344079092e-05 1.281762973676990214e+01 -4.612548424340585207e+00
5.515272429823875333e-01 9.366907904229249257e-04 9.170001823906421379e+00 -3.028403749747699880e+00
5.576536563515663847e-01 1.581656990989131870e-05 1.325129693315884793e+01 -4.800887694714758958e+00
5.637800697207451250e-01 1.052113852693942449e-07 1.826413881167455955e+01 -6.977937261207662445e+00
5.699064830899238654e-01 5.100064922612572067e-08 1.898827196854917432e+01 -7.292424295401489509e+00
5.760328964591027168e-01 0.000000000000000000e+00 inf -inf
5.821593098282814571e-01 6.390998165318439617e-11 2.567039005350918757e+01 -1.019443130712554790e+01
5.882857231974601975e-01 0.000000000000000000e+00 inf -inf
5.944121365666389378e-01 0.000000000000000000e+00 inf -inf
6.005385499358177892e-01 0.000000000000000000e+00 inf -inf
6.066649633049965296e-01 0.000000000000000000e+00 inf -inf
6.127913766741752699e-01 0.000000000000000000e+00 inf -inf
6.189177900433541213e-01 0.000000000000000000e+00 inf -inf
6.250442034125328616e-01 0.000000000000000000e+00 inf -inf
6.311706167817116020e-01 0.000000000000000000e+00 inf -inf
6.372970301508903423e-01 0.000000000000000000e+00 inf -inf
6.434234435200691937e-01 0.000000000000000000e+00 inf -inf
6.495498568892479341e-01 0.000000000000000000e+00 inf -inf
6.556762702584266744e-01 0.000000000000000000e+00 inf -inf
6.618026836276055258e-01 0.000000000000000000e+00 inf -inf
6.679290969967842662e-01 0.000000000000000000e+00 inf -inf
6.740555103659630065e-01 0.000000000000000000e+00 inf -inf
6.801819237351418579e-01 0.000000000000000000e+00 inf -inf
6.863083371043205982e-01 0.000000000000000000e+00 inf -inf
6.924347504734993386e-01 0.000000000000000000e+00 inf -inf
6.985611638426780790e-01 0.000000000000000000e+00 inf -inf
7.046875772118568193e-01 0.000000000000000000e+00 inf -inf
7.108139905810356707e-01 0.000000000000000000e+00 inf -inf
7.169404039502144110e-01 0.000000000000000000e+00 inf -inf
7.230668173193932624e-01 0.000000000000000000e+00 inf -inf
7.291932306885720028e-01 0.000000000000000000e+00 inf -inf
7.353196440577507431e-01 0.000000000000000000e+00 inf -inf
7.414460574269294835e-01 0.000000000000000000e+00 inf -inf
7.475724707961082238e-01 0.000000000000000000e+00 inf -inf
7.536988841652870752e-01 0.000000000000000000e+00 inf -inf
7.598252975344658156e-01 0.000000000000000000e+00 inf -inf
7.659517109036446669e-01 0.000000000000000000e+00 inf -inf
7.720781242728234073e-01 0.000000000000000000e+00 inf -inf
