# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:34:03 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DAPC_CHOL/423K/multi_west/silcoeffdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
-2.786936669886111995e-01 0.000000000000000000e+00 inf -inf
-2.555907098472118277e-01 0.000000000000000000e+00 inf -inf
-2.324877527058124560e-01 7.280002667191263002e-04 8.552341515448411258e+00 -3.137868461573468881e+00
-2.093847955644130843e-01 9.082324186441682531e-03 6.028557523506464122e+00 -2.041803000357319764e+00
-1.862818384230136848e-01 3.001969741872502484e-02 4.833033904203750453e+00 -1.522593689509147863e+00
-1.631788812816143130e-01 1.327358935384037875e-01 3.346526259923812141e+00 -8.770116222913686421e-01
-1.400759241402149136e-01 2.328888895592283736e-01 2.784326180052239863e+00 -6.328512298775773592e-01
-1.169729669988155418e-01 3.651894468641355140e-01 2.334471399599127306e+00 -4.374817810689917152e-01
-9.387000985741617010e-02 7.192471476472709346e-01 1.656682614343508941e+00 -1.431218517365685505e-01
-7.076705271601678449e-02 1.035064421230386777e+00 1.292668704538175284e+00 1.496738062791588483e-02
-4.766409557461739888e-02 1.431111420674217927e+00 9.686810124035931668e-01 1.556734475265345030e-01
-2.456113843321802714e-02 1.902796087963007698e+00 6.838079424163424624e-01 2.793922498648362951e-01
-1.458181291818655412e-03 2.421297602501316426e+00 4.428287762073990219e-01 3.840481720030269885e-01
2.164477584958074408e-02 2.701235074768599809e+00 3.334232685349578507e-01 4.315623802749920523e-01
4.474773299098014356e-02 3.254942221649503864e+00 1.469578471955079735e-01 5.125432838284800230e-01
6.785069013237951530e-02 3.554799263223331174e+00 5.883377643350207187e-02 5.508150814832708519e-01
9.095364727377888703e-02 3.770216293340980407e+00 0.000000000000000000e+00 5.763662659378704367e-01
1.140566044151782588e-01 3.646728064268527802e+00 3.330202723248354424e-02 5.619033792746109812e-01
1.371595615565776582e-01 3.483185190816591614e+00 7.918521216702800736e-02 5.419765652453918392e-01
1.602625186979770577e-01 3.320594184230993395e+00 1.269886339842978273e-01 5.212158029340581145e-01
1.833654758393764295e-01 2.837923996814860850e+00 2.840595742183829042e-01 4.530007603230394864e-01
2.064684329807758012e-01 2.447108248051644175e+00 4.322253515250432665e-01 3.886531808318508530e-01
2.295713901221752007e-01 1.978620817735649906e+00 6.447323267542359737e-01 2.963625741238614664e-01
2.526743472635745724e-01 1.484002825002706416e+00 9.323893236691677133e-01 1.714347276828458444e-01
2.757773044049739442e-01 9.904579980536570849e-01 1.336720190587687984e+00 -4.163936683025537197e-03
2.988802615463733159e-01 6.546964893749226411e-01 1.750715897791557119e+00 -1.839599878533002553e-01
3.219832186877726876e-01 3.310463678240522234e-01 2.432629201408531561e+00 -4.801111727505690263e-01
3.450861758291721149e-01 1.423105003094870535e-01 3.276876358714653215e+00 -8.467630545311243262e-01
3.681891329705714866e-01 7.559828242109102592e-02 3.909454087405656697e+00 -1.121488071476519632e+00
