# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:34:33 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/298K/multi_west/clucountdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.222299999999999720e+00 2.666138604063146844e-01 0.000000000000000000e+00 -5.741172767469555627e-01
2.666900000000000048e+00 0.000000000000000000e+00 inf -inf
3.111499999999999932e+00 2.607208804387419754e-01 2.235098443935967794e-02 -5.838241859540749257e-01
3.556099999999999817e+00 0.000000000000000000e+00 inf -inf
4.000700000000000145e+00 1.907204710204733478e-01 3.349925423440511807e-01 -7.196026893657183621e-01
4.445299999999999585e+00 0.000000000000000000e+00 inf -inf
4.889899999999999913e+00 1.326632093955998348e-01 6.979877394696578641e-01 -8.772495004347523606e-01
5.334500000000000242e+00 0.000000000000000000e+00 inf -inf
5.779099999999999682e+00 9.296213042655011860e-02 1.053609185403836079e+00 -1.031693932050421703e+00
6.223700000000000010e+00 0.000000000000000000e+00 inf -inf
6.668300000000000338e+00 0.000000000000000000e+00 inf -inf
7.112899999999999778e+00 5.447276460797974978e-02 1.588100551116369274e+00 -1.263820582804307868e+00
7.557500000000000107e+00 0.000000000000000000e+00 inf -inf
8.002099999999998658e+00 4.590238127536129531e-02 1.759284400555961803e+00 -1.338164784006879771e+00
8.446699999999999875e+00 0.000000000000000000e+00 inf -inf
8.891300000000001091e+00 3.177050096186179867e-02 2.127263179363645840e+00 -1.497975937100554322e+00
9.335899999999998755e+00 0.000000000000000000e+00 inf -inf
9.780499999999999972e+00 3.094535969338424453e-02 2.153578337155516387e+00 -1.509404464919976929e+00
1.022510000000000119e+01 0.000000000000000000e+00 inf -inf
1.066969999999999885e+01 0.000000000000000000e+00 inf -inf
1.111430000000000007e+01 3.366567837798757623e-02 2.069322523281260207e+00 -1.472812629886120162e+00
1.155890000000000128e+01 0.000000000000000000e+00 inf -inf
1.200349999999999895e+01 3.796686555250655681e-02 1.949087575709945508e+00 -1.420595255623971376e+00
1.244810000000000016e+01 0.000000000000000000e+00 inf -inf
1.289270000000000138e+01 4.469612738660647816e-02 1.785914533694208828e+00 -1.349730103881169541e+00
1.333729999999999905e+01 0.000000000000000000e+00 inf -inf
1.378190000000000026e+01 4.698519504671568731e-02 1.735968842832858794e+00 -1.328038965945239402e+00
1.422649999999999970e+01 0.000000000000000000e+00 inf -inf
1.467109999999999914e+01 0.000000000000000000e+00 inf -inf
1.511570000000000036e+01 5.285287659172210883e-02 1.618289255718365016e+00 -1.276931370628761941e+00
1.556029999999999980e+01 0.000000000000000000e+00 inf -inf
1.600489999999999924e+01 5.670830632611053440e-02 1.547880699858720455e+00 -1.246353323340141372e+00
1.644950000000000045e+01 0.000000000000000000e+00 inf -inf
1.689409999999999812e+01 7.184345740612815834e-02 1.311311846601072695e+00 -1.143612775780164847e+00
1.733869999999999933e+01 0.000000000000000000e+00 inf -inf
1.778330000000000055e+01 8.990783243463254526e-02 1.087016334375991544e+00 -1.046202472505148640e+00
1.822789999999999822e+01 0.000000000000000000e+00 inf -inf
1.867249999999999943e+01 0.000000000000000000e+00 inf -inf
1.911710000000000065e+01 1.105669643874098440e-01 8.801800459521640363e-01 -9.563746137853308404e-01
1.956170000000000186e+01 0.000000000000000000e+00 inf -inf
2.000629999999999953e+01 1.084074421602354427e-01 8.999046546506166422e-01 -9.649409025007698038e-01
2.045090000000000074e+01 0.000000000000000000e+00 inf -inf
2.089549999999999841e+01 1.174404392516141399e-01 8.198700908335392334e-01 -9.301823330734795281e-01
2.134009999999999962e+01 0.000000000000000000e+00 inf -inf
2.178470000000000084e+01 1.081050261861751793e-01 9.026981766406909635e-01 -9.661541136861344636e-01
2.222930000000000206e+01 0.000000000000000000e+00 inf -inf
2.267389999999999972e+01 0.000000000000000000e+00 inf -inf
2.311850000000000094e+01 9.925546626018084961e-02 9.881044021942408939e-01 -1.003245566164225666e+00
2.356309999999999860e+01 0.000000000000000000e+00 inf -inf
2.400769999999999982e+01 6.468341538073513197e-02 1.416296558320924159e+00 -1.189207056764299830e+00
2.445230000000000103e+01 0.000000000000000000e+00 inf -inf
2.489689999999999870e+01 4.923549849588460675e-02 1.689186518438197115e+00 -1.307721660610029923e+00
2.534149999999999991e+01 0.000000000000000000e+00 inf -inf
2.578609999999999758e+01 2.390995962963232344e-02 2.411506302875718877e+00 -1.621421157160792159e+00
2.623069999999999879e+01 0.000000000000000000e+00 inf -inf
2.667530000000000001e+01 0.000000000000000000e+00 inf -inf
2.711990000000000123e+01 1.305332876226472129e-02 3.016758217104131834e+00 -1.884278723671572120e+00
2.756449999999999889e+01 0.000000000000000000e+00 inf -inf
2.800910000000000011e+01 6.533662717044056052e-03 3.708833703742645316e+00 -2.184843288579186193e+00
2.845369999999999777e+01 0.000000000000000000e+00 inf -inf
2.889829999999999899e+01 4.997737488866315844e-03 3.976816088116924330e+00 -2.301226559360211699e+00
2.934290000000000020e+01 0.000000000000000000e+00 inf -inf
2.978750000000000142e+01 1.076552605361344754e-03 5.512037492252636284e+00 -2.967964743676113848e+00
3.023209999999999908e+01 0.000000000000000000e+00 inf -inf
3.067670000000000030e+01 0.000000000000000000e+00 inf -inf
3.112129999999999797e+01 2.499560501775774965e-04 6.972271571778346555e+00 -3.602136346701203973e+00
3.156589999999999918e+01 0.000000000000000000e+00 inf -inf
3.201050000000000040e+01 2.994283853214255034e-04 6.791681400052011597e+00 -3.523707031634495834e+00
3.245510000000000161e+01 0.000000000000000000e+00 inf -inf
3.289969999999999573e+01 4.189845108637630527e-10 2.027123328053408713e+01 -9.377802031856463216e+00
3.334430000000000405e+01 0.000000000000000000e+00 inf -inf
3.378889999999999816e+01 0.000000000000000000e+00 inf -inf
3.423349999999999937e+01 0.000000000000000000e+00 inf -inf
3.467810000000000059e+01 0.000000000000000000e+00 inf -inf
3.512269999999999470e+01 0.000000000000000000e+00 inf -inf
3.556730000000000302e+01 0.000000000000000000e+00 inf -inf
3.601189999999999714e+01 0.000000000000000000e+00 inf -inf
3.645650000000000546e+01 0.000000000000000000e+00 inf -inf
3.690109999999999957e+01 0.000000000000000000e+00 inf -inf
3.734569999999999368e+01 0.000000000000000000e+00 inf -inf
3.779030000000000200e+01 0.000000000000000000e+00 inf -inf
3.823489999999999611e+01 0.000000000000000000e+00 inf -inf
3.867950000000000443e+01 0.000000000000000000e+00 inf -inf
3.912409999999999854e+01 0.000000000000000000e+00 inf -inf
3.956869999999999976e+01 0.000000000000000000e+00 inf -inf
4.001330000000000098e+01 0.000000000000000000e+00 inf -inf
4.045789999999999509e+01 0.000000000000000000e+00 inf -inf
4.090250000000000341e+01 0.000000000000000000e+00 inf -inf
4.134709999999999752e+01 0.000000000000000000e+00 inf -inf
4.179170000000000584e+01 0.000000000000000000e+00 inf -inf
4.223629999999999995e+01 0.000000000000000000e+00 inf -inf
4.268089999999999407e+01 0.000000000000000000e+00 inf -inf
4.312550000000000239e+01 0.000000000000000000e+00 inf -inf
4.357009999999999650e+01 0.000000000000000000e+00 inf -inf
4.401470000000000482e+01 0.000000000000000000e+00 inf -inf
4.445929999999999893e+01 0.000000000000000000e+00 inf -inf
4.490390000000000015e+01 0.000000000000000000e+00 inf -inf
4.534850000000000136e+01 0.000000000000000000e+00 inf -inf
4.579309999999999548e+01 0.000000000000000000e+00 inf -inf
4.623770000000000380e+01 0.000000000000000000e+00 inf -inf
