# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:35:13 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/298K/multi_west/clusbydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.070292633146047584e-01 0.000000000000000000e+00 inf -inf
1.157737795621156668e-01 0.000000000000000000e+00 inf -inf
1.245182958096265752e-01 0.000000000000000000e+00 inf -inf
1.332628120571374697e-01 0.000000000000000000e+00 inf -inf
1.420073283046484058e-01 0.000000000000000000e+00 inf -inf
1.507518445521592865e-01 0.000000000000000000e+00 inf -inf
1.594963607996702226e-01 0.000000000000000000e+00 inf -inf
1.682408770471811310e-01 0.000000000000000000e+00 inf -inf
1.769853932946920394e-01 0.000000000000000000e+00 inf -inf
1.857299095422029478e-01 0.000000000000000000e+00 inf -inf
1.944744257897138562e-01 0.000000000000000000e+00 inf -inf
2.032189420372247923e-01 0.000000000000000000e+00 inf -inf
2.119634582847356730e-01 0.000000000000000000e+00 inf -inf
2.207079745322466091e-01 0.000000000000000000e+00 inf -inf
2.294524907797574897e-01 0.000000000000000000e+00 inf -inf
2.381970070272684259e-01 0.000000000000000000e+00 inf -inf
2.469415232747793065e-01 0.000000000000000000e+00 inf -inf
2.556860395222902427e-01 0.000000000000000000e+00 inf -inf
2.644305557698011233e-01 0.000000000000000000e+00 inf -inf
2.731750720173120595e-01 0.000000000000000000e+00 inf -inf
2.819195882648229401e-01 0.000000000000000000e+00 inf -inf
2.906641045123338762e-01 0.000000000000000000e+00 inf -inf
2.994086207598447569e-01 0.000000000000000000e+00 inf -inf
3.081531370073556930e-01 0.000000000000000000e+00 inf -inf
3.168976532548666292e-01 0.000000000000000000e+00 inf -inf
3.256421695023775098e-01 0.000000000000000000e+00 inf -inf
3.343866857498884460e-01 0.000000000000000000e+00 inf -inf
3.431312019973993266e-01 0.000000000000000000e+00 inf -inf
3.518757182449102627e-01 0.000000000000000000e+00 inf -inf
3.606202344924211434e-01 0.000000000000000000e+00 inf -inf
3.693647507399320240e-01 0.000000000000000000e+00 inf -inf
3.781092669874429602e-01 0.000000000000000000e+00 inf -inf
3.868537832349538963e-01 0.000000000000000000e+00 inf -inf
3.955982994824648324e-01 0.000000000000000000e+00 inf -inf
4.043428157299757131e-01 0.000000000000000000e+00 inf -inf
