# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:35:23 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/298K/multi_west/clusbydxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
4.914475361227989003e-01 0.000000000000000000e+00 inf -inf
4.965648292660713170e-01 0.000000000000000000e+00 inf -inf
5.016821224093437337e-01 0.000000000000000000e+00 inf -inf
5.067994155526160949e-01 0.000000000000000000e+00 inf -inf
5.119167086958884560e-01 0.000000000000000000e+00 inf -inf
5.170340018391609282e-01 0.000000000000000000e+00 inf -inf
5.221512949824332894e-01 0.000000000000000000e+00 inf -inf
5.272685881257057616e-01 0.000000000000000000e+00 inf -inf
5.323858812689781228e-01 0.000000000000000000e+00 inf -inf
5.375031744122504840e-01 0.000000000000000000e+00 inf -inf
5.426204675555228452e-01 0.000000000000000000e+00 inf -inf
5.477377606987953174e-01 0.000000000000000000e+00 inf -inf
5.528550538420676785e-01 0.000000000000000000e+00 inf -inf
5.579723469853401507e-01 0.000000000000000000e+00 inf -inf
5.630896401286125119e-01 0.000000000000000000e+00 inf -inf
5.682069332718848731e-01 0.000000000000000000e+00 inf -inf
5.733242264151573453e-01 0.000000000000000000e+00 inf -inf
5.784415195584297065e-01 0.000000000000000000e+00 inf -inf
5.835588127017020676e-01 0.000000000000000000e+00 inf -inf
5.886761058449745398e-01 0.000000000000000000e+00 inf -inf
5.937933989882469010e-01 0.000000000000000000e+00 inf -inf
5.989106921315192622e-01 0.000000000000000000e+00 inf -inf
6.040279852747917344e-01 0.000000000000000000e+00 inf -inf
6.091452784180640956e-01 0.000000000000000000e+00 inf -inf
6.142625715613364568e-01 0.000000000000000000e+00 inf -inf
6.193798647046089290e-01 0.000000000000000000e+00 inf -inf
6.244971578478812901e-01 0.000000000000000000e+00 inf -inf
6.296144509911536513e-01 0.000000000000000000e+00 inf -inf
6.347317441344261235e-01 0.000000000000000000e+00 inf -inf
6.398490372776984847e-01 0.000000000000000000e+00 inf -inf
6.449663304209709569e-01 0.000000000000000000e+00 inf -inf
6.500836235642433181e-01 0.000000000000000000e+00 inf -inf
6.552009167075156792e-01 0.000000000000000000e+00 inf -inf
6.603182098507880404e-01 0.000000000000000000e+00 inf -inf
6.654355029940605126e-01 0.000000000000000000e+00 inf -inf
6.705527961373328738e-01 0.000000000000000000e+00 inf -inf
6.756700892806053460e-01 0.000000000000000000e+00 inf -inf
6.807873824238777072e-01 0.000000000000000000e+00 inf -inf
6.859046755671500684e-01 0.000000000000000000e+00 inf -inf
6.910219687104225406e-01 0.000000000000000000e+00 inf -inf
6.961392618536949017e-01 0.000000000000000000e+00 inf -inf
7.012565549969672629e-01 0.000000000000000000e+00 inf -inf
7.063738481402397351e-01 0.000000000000000000e+00 inf -inf
7.114911412835120963e-01 0.000000000000000000e+00 inf -inf
7.166084344267844575e-01 0.000000000000000000e+00 inf -inf
7.217257275700569297e-01 0.000000000000000000e+00 inf -inf
7.268430207133292908e-01 0.000000000000000000e+00 inf -inf
7.319603138566016520e-01 0.000000000000000000e+00 inf -inf
7.370776069998741242e-01 0.000000000000000000e+00 inf -inf
7.421949001431464854e-01 0.000000000000000000e+00 inf -inf
7.473121932864188466e-01 0.000000000000000000e+00 inf -inf
7.524294864296913188e-01 0.000000000000000000e+00 inf -inf
7.575467795729636800e-01 0.000000000000000000e+00 inf -inf
7.626640727162360411e-01 0.000000000000000000e+00 inf -inf
7.677813658595085133e-01 0.000000000000000000e+00 inf -inf
7.728986590027808745e-01 0.000000000000000000e+00 inf -inf
7.780159521460532357e-01 0.000000000000000000e+00 inf -inf
7.831332452893257079e-01 0.000000000000000000e+00 inf -inf
7.882505384325980691e-01 0.000000000000000000e+00 inf -inf
7.933678315758704302e-01 0.000000000000000000e+00 inf -inf
7.984851247191429024e-01 0.000000000000000000e+00 inf -inf
8.036024178624152636e-01 0.000000000000000000e+00 inf -inf
8.087197110056877358e-01 3.201408471364661484e-03 8.529591620605458502e+00 -2.494658910191365209e+00
8.138370041489600970e-01 8.003522152758539435e-04 9.915885859985579032e+00 -3.096718848648417399e+00
8.189542972922324582e-01 1.819661683889295650e-03 9.094531885039707220e+00 -2.740009349640123215e+00
8.240715904355048194e-01 1.082338838514078231e-03 9.614058190036081086e+00 -2.965636757103634391e+00
