# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:35:52 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/298K/multi_west/corebydxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.724172162443399492e-01 0.000000000000000000e+00 inf -inf
1.802146218508481890e-01 0.000000000000000000e+00 inf -inf
1.880120274573564565e-01 0.000000000000000000e+00 inf -inf
1.958094330638647240e-01 0.000000000000000000e+00 inf -inf
2.036068386703729638e-01 0.000000000000000000e+00 inf -inf
2.114042442768812313e-01 0.000000000000000000e+00 inf -inf
2.192016498833894711e-01 0.000000000000000000e+00 inf -inf
2.269990554898977386e-01 0.000000000000000000e+00 inf -inf
2.347964610964059784e-01 0.000000000000000000e+00 inf -inf
2.425938667029142459e-01 0.000000000000000000e+00 inf -inf
2.503912723094224857e-01 0.000000000000000000e+00 inf -inf
2.581886779159307532e-01 0.000000000000000000e+00 inf -inf
2.659860835224390208e-01 0.000000000000000000e+00 inf -inf
2.737834891289472328e-01 0.000000000000000000e+00 inf -inf
2.815808947354555558e-01 0.000000000000000000e+00 inf -inf
2.893783003419637678e-01 0.000000000000000000e+00 inf -inf
2.971757059484720354e-01 0.000000000000000000e+00 inf -inf
3.049731115549803029e-01 0.000000000000000000e+00 inf -inf
3.127705171614885149e-01 0.000000000000000000e+00 inf -inf
3.205679227679968379e-01 0.000000000000000000e+00 inf -inf
3.283653283745050500e-01 0.000000000000000000e+00 inf -inf
3.361627339810132620e-01 0.000000000000000000e+00 inf -inf
3.439601395875215850e-01 0.000000000000000000e+00 inf -inf
3.517575451940297970e-01 0.000000000000000000e+00 inf -inf
3.595549508005381201e-01 0.000000000000000000e+00 inf -inf
3.673523564070463321e-01 0.000000000000000000e+00 inf -inf
3.751497620135545441e-01 0.000000000000000000e+00 inf -inf
3.829471676200628671e-01 0.000000000000000000e+00 inf -inf
3.907445732265710792e-01 0.000000000000000000e+00 inf -inf
3.985419788330793467e-01 0.000000000000000000e+00 inf -inf
4.063393844395876142e-01 0.000000000000000000e+00 inf -inf
4.141367900460958262e-01 0.000000000000000000e+00 inf -inf
4.219341956526041493e-01 0.000000000000000000e+00 inf -inf
4.297316012591123613e-01 0.000000000000000000e+00 inf -inf
4.375290068656206288e-01 0.000000000000000000e+00 inf -inf
4.453264124721288963e-01 0.000000000000000000e+00 inf -inf
4.531238180786371084e-01 0.000000000000000000e+00 inf -inf
4.609212236851454314e-01 0.000000000000000000e+00 inf -inf
4.687186292916536434e-01 0.000000000000000000e+00 inf -inf
4.765160348981618554e-01 0.000000000000000000e+00 inf -inf
