# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:36:32 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/298K/multi_west/silcoeffdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
-3.029280427932738995e-01 0.000000000000000000e+00 inf -inf
-2.795815240859985673e-01 0.000000000000000000e+00 inf -inf
-2.562350053787231241e-01 1.748631096674969909e-02 5.671114802866910054e+00 -1.757301802629394505e+00
-2.328884866714477642e-01 3.037325866110723079e-03 7.421555668229077973e+00 -2.517508611354136949e+00
-2.095419679641723765e-01 2.860061975377818297e-02 5.179104759919493262e+00 -1.543624555936349285e+00
-1.861954492568969610e-01 5.561358794657769722e-02 4.514105588295894478e+00 -1.254819085229986531e+00
-1.628489305496215733e-01 1.479573004074160869e-01 3.535609425846862663e+00 -8.298636013148642521e-01
-1.395024118423461856e-01 3.203320771472075723e-01 2.763174948425296318e+00 -4.943995701388559927e-01
-1.161558931350707979e-01 4.963476849078815034e-01 2.325256488431325153e+00 -3.042139994399043479e-01
-9.280937442779541025e-02 6.739096482663049503e-01 2.019437098313992873e+00 -1.713983258529291065e-01
-6.946285572052000867e-02 9.682799153025724026e-01 1.657011933046668606e+00 -1.399907647445603094e-02
-4.611633701324460710e-02 1.067876771876471675e+00 1.559105516498065391e+00 2.852113997552350663e-02
-2.276981830596921941e-02 1.281667523436246237e+00 1.376615885470811929e+00 1.077753797352201531e-01
5.767004013061682866e-04 1.587570459260274403e+00 1.162573033655124100e+00 2.007330091696087615e-01
2.392321910858155598e-02 1.767065963365024972e+00 1.055457344889859206e+00 2.472527617256294885e-01
4.726973781585694367e-02 2.142540956116163464e+00 8.627853808935974644e-01 3.309291325066680001e-01
7.061625652313233137e-02 2.372291806532766056e+00 7.609213733680592062e-01 3.751681088795605912e-01
9.396277523040771906e-02 2.467236964444979197e+00 7.216789816198871943e-01 3.922108630724773781e-01
1.173092939376831068e-01 2.651885944813306750e+00 6.495068040769254036e-01 4.235548415263274968e-01
1.406558126449584945e-01 3.431765834874985543e+00 3.917029188744851620e-01 5.355176462829666084e-01
1.640023313522338821e-01 3.080330237891760081e+00 4.997410569083555743e-01 4.885972790997549220e-01
1.873488500595092976e-01 2.710848660960894385e+00 6.275161233471858724e-01 4.331052728205495583e-01
2.106953687667846853e-01 2.548923692417312648e+00 6.891066795769722475e-01 4.063568341126013728e-01
2.340418874740600730e-01 2.271138882286916960e+00 8.044964523035492698e-01 3.562436925493785989e-01
2.573884061813354607e-01 1.917905122825319442e+00 9.735443597261571602e-01 2.828271191784482164e-01
