# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:36:42 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/298K/multi_west/silcoeffdxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
-2.379091853737831108e-01 0.000000000000000000e+00 inf -inf
-2.152161225199699379e-01 7.956199832700538250e-04 9.532534211288991699e+00 -3.099294317409184263e+00
-1.925230596661567650e-01 6.566599838890237878e-03 7.421904425998281596e+00 -2.182659448316783823e+00
-1.698299968123435921e-01 7.679584992971341673e-02 4.962749994883552951e+00 -1.114662248735726724e+00
-1.471369339585304192e-01 4.308874995902603477e-02 5.540638654998352841e+00 -1.365636104978048104e+00
-1.244438711047172602e-01 1.139553473694250307e-01 4.568093914281439183e+00 -9.432652906806635595e-01
-1.017508082509041012e-01 3.442544184315269318e-01 3.462519623727218221e+00 -4.631204769588631587e-01
-7.905774539709092830e-02 4.702620677853056597e-01 3.150610465863032505e+00 -3.276600508433570313e-01
-5.636468254327775540e-02 5.539200608418561877e-01 2.986880214377039877e+00 -2.565529061023587021e-01
-3.367161968946458250e-02 8.114611577370446360e-01 2.605064075167081938e+00 -9.073226374187007282e-02
-1.097855683565140961e-02 1.430360769947828681e+00 2.038218618091760526e+00 1.554455903578685627e-01
1.171450601816174941e-02 2.001115397176977950e+00 1.702440593529075397e+00 3.012721335698172465e-01
3.440756887197490843e-02 2.388374793347129987e+00 1.525532185368414062e+00 3.781024790362805810e-01
5.710063172578808133e-02 2.525915155805962264e+00 1.469541882215934514e+00 4.024187587354927653e-01
7.979369457960125422e-02 2.504268441981994719e+00 1.478148664465294360e+00 3.986808806976529507e-01
1.024867574334144271e-01 2.279662017870503821e+00 1.572118123019498048e+00 3.578704633801259583e-01
1.251798202872276000e-01 2.264028521358584456e+00 1.578999559186635926e+00 3.548818936251684764e-01
1.478728831410407729e-01 2.464154496983248066e+00 1.494296571818096719e+00 3.916679336400459288e-01
1.705659459948539458e-01 2.503704819295319961e+00 1.478373754600424306e+00 3.985831252940351122e-01
1.932590088486671187e-01 2.513099589220690433e+00 1.474628429830942888e+00 4.002096991743564480e-01
2.159520717024802916e-01 1.715911045512435562e+00 1.856201155778793410e+00 2.344947698504231681e-01
2.386451345562934645e-01 2.062780399523930885e+00 1.672090535950956802e+00 3.144529961014401187e-01
2.613381974101066652e-01 1.912030792244414634e+00 1.747979397991575423e+00 2.814948820792822493e-01
2.840312602639197825e-01 6.465358711052240359e-01 2.832271914449359329e+00 -1.894073745873242343e-01
3.067243231177329554e-01 1.147809766872220472e+00 2.258289741354669644e+00 5.986991589853676160e-02
3.294173859715461283e-01 2.460084341695967236e-01 3.798534775616683845e+00 -6.090500032603411995e-01
3.521104488253593012e-01 4.941128417168581810e-02 5.403721773566564579e+00 -1.306173858892820894e+00
3.748035116791724741e-01 9.280020345996743344e-03 7.076036856951333220e+00 -2.032451071610402060e+00
3.974965745329856470e-01 0.000000000000000000e+00 inf -inf
4.201896373867988199e-01 1.134691657891284184e-05 1.378270983522262760e+01 -4.945122138003272383e+00
4.428827002406119928e-01 0.000000000000000000e+00 inf -inf
