# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:38:10 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/323K/multi_west/corebydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
6.924589210748671730e-02 0.000000000000000000e+00 inf -inf
7.730289500951767478e-02 0.000000000000000000e+00 inf -inf
8.535989791154861839e-02 0.000000000000000000e+00 inf -inf
9.341690081357956199e-02 0.000000000000000000e+00 inf -inf
1.014739037156105056e-01 0.000000000000000000e+00 inf -inf
1.095309066176414492e-01 0.000000000000000000e+00 inf -inf
1.175879095196724067e-01 0.000000000000000000e+00 inf -inf
1.256449124217033364e-01 0.000000000000000000e+00 inf -inf
1.337019153237342661e-01 0.000000000000000000e+00 inf -inf
1.417589182257652514e-01 0.000000000000000000e+00 inf -inf
1.498159211277961811e-01 0.000000000000000000e+00 inf -inf
1.578729240298271108e-01 0.000000000000000000e+00 inf -inf
1.659299269318580961e-01 0.000000000000000000e+00 inf -inf
1.739869298338890258e-01 0.000000000000000000e+00 inf -inf
1.820439327359199555e-01 0.000000000000000000e+00 inf -inf
1.901009356379508852e-01 0.000000000000000000e+00 inf -inf
1.981579385399818705e-01 0.000000000000000000e+00 inf -inf
2.062149414420128002e-01 0.000000000000000000e+00 inf -inf
2.142719443440437299e-01 0.000000000000000000e+00 inf -inf
2.223289472460746874e-01 0.000000000000000000e+00 inf -inf
2.303859501481056449e-01 0.000000000000000000e+00 inf -inf
2.384429530501365746e-01 0.000000000000000000e+00 inf -inf
2.464999559521675043e-01 0.000000000000000000e+00 inf -inf
2.545569588541984896e-01 0.000000000000000000e+00 inf -inf
2.626139617562294193e-01 0.000000000000000000e+00 inf -inf
2.706709646582603490e-01 6.702479258744303656e-06 1.373159018198361458e+01 -5.173764521295375118e+00
2.787279675602913342e-01 1.543658219681503727e-03 8.292157332780677237e+00 -2.811448850203257077e+00
2.867849704623222640e-01 3.945008468267601626e-03 7.353861298691603210e+00 -2.403952060206666630e+00
2.948419733643531937e-01 1.589375466142407128e-02 5.960386156094685361e+00 -1.798773495107477860e+00
3.028989762663841234e-01 1.059894696138896364e-01 4.062972653657539013e+00 -9.747372811103033330e-01
3.109559791684150531e-01 1.968010496203076720e-01 3.444119081529092519e+00 -7.059725896288027158e-01
3.190129820704460384e-01 4.417376503971710555e-01 2.635596244850679781e+00 -3.548355831666041849e-01
3.270699849724769681e-01 7.507915515669795203e-01 2.105184347495116626e+00 -1.244806230092490029e-01
3.351269878745078978e-01 9.844696816231043313e-01 1.834209297674969763e+00 -6.797654138900437355e-03
3.431839907765388831e-01 1.646834223807633224e+00 1.319702327883645943e+00 2.166498837422344836e-01
