# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:39:19 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/353K/multi_west/clucountchol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.313000000000000000e-01 9.750052907572851445e-04 6.449686359253450796e+00 -3.010993027644581321e+00
3.939000000000000279e-01 0.000000000000000000e+00 inf -inf
6.565000000000000835e-01 0.000000000000000000e+00 inf -inf
9.191000000000000281e-01 8.370052474945356702e-03 4.299713823782387756e+00 -2.077271819245955164e+00
1.181699999999999973e+00 0.000000000000000000e+00 inf -inf
1.444300000000000139e+00 0.000000000000000000e+00 inf -inf
1.706900000000000084e+00 0.000000000000000000e+00 inf -inf
1.969500000000000028e+00 3.172958251443382116e-02 2.967124529603464289e+00 -1.498535642140699453e+00
2.232099999999999973e+00 0.000000000000000000e+00 inf -inf
2.494699999999999918e+00 0.000000000000000000e+00 inf -inf
2.757299999999999862e+00 0.000000000000000000e+00 inf -inf
3.019899999999999807e+00 1.120874144923894589e-01 1.705094924259111799e+00 -9.504431485411086733e-01
3.282500000000000195e+00 0.000000000000000000e+00 inf -inf
3.545100000000000140e+00 0.000000000000000000e+00 inf -inf
3.807700000000000085e+00 0.000000000000000000e+00 inf -inf
4.070299999999999585e+00 2.417395734612055314e-01 9.365129736951073314e-01 -6.166522485207236448e-01
4.332900000000000418e+00 0.000000000000000000e+00 inf -inf
4.595499999999999474e+00 0.000000000000000000e+00 inf -inf
4.858100000000000307e+00 0.000000000000000000e+00 inf -inf
5.120699999999999363e+00 3.981458477775827731e-01 4.375555878122859843e-01 -3.999578091269428426e-01
5.383300000000000196e+00 0.000000000000000000e+00 inf -inf
5.645899999999999253e+00 0.000000000000000000e+00 inf -inf
5.908500000000000085e+00 5.475297453659024871e-01 1.189571880218627253e-01 -2.615922821547558841e-01
6.171100000000000030e+00 0.000000000000000000e+00 inf -inf
6.433699999999999974e+00 0.000000000000000000e+00 inf -inf
6.696300000000000807e+00 0.000000000000000000e+00 inf -inf
6.958899999999999864e+00 6.166946320659616454e-01 0.000000000000000000e+00 -2.099298318141332997e-01
7.221500000000000696e+00 0.000000000000000000e+00 inf -inf
7.484099999999999753e+00 0.000000000000000000e+00 inf -inf
7.746700000000000585e+00 0.000000000000000000e+00 inf -inf
8.009299999999999642e+00 5.870068775821938312e-01 4.933744141834006669e-02 -2.313568103733433245e-01
8.271899999999998698e+00 0.000000000000000000e+00 inf -inf
8.534500000000001307e+00 0.000000000000000000e+00 inf -inf
8.797100000000000364e+00 0.000000000000000000e+00 inf -inf
9.059699999999999420e+00 5.053537792876894308e-01 1.991152406246171624e-01 -2.964044820802427260e-01
9.322300000000000253e+00 0.000000000000000000e+00 inf -inf
9.584900000000001086e+00 0.000000000000000000e+00 inf -inf
9.847500000000000142e+00 0.000000000000000000e+00 inf -inf
1.011009999999999920e+01 3.530811788990089739e-01 5.576759786251507256e-01 -4.521254320210320587e-01
1.037270000000000003e+01 0.000000000000000000e+00 inf -inf
1.063530000000000086e+01 0.000000000000000000e+00 inf -inf
