# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:39:57 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/353K/multi_west/clusbychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.823342886567115680e-03 4.534276563199585164e-02 5.620587753608051074e+00 -1.343491994088544583e+00
8.470028659701346607e-03 0.000000000000000000e+00 inf -inf
1.411671443283557884e-02 2.606881389703830654e-01 3.871513571393770725e+00 -5.838787283134398987e-01
1.976340020596981106e-02 8.547608965677437609e-02 4.986601710749718919e+00 -1.068155354071492091e+00
2.541008597910403982e-02 7.692753199773347816e-01 2.789389465636944898e+00 -1.139182004487593602e-01
3.105677175223827205e-02 4.192572898181464724e-01 3.396353606133465153e+00 -3.775193773795482155e-01
3.670345752537250428e-02 1.676672526264234353e+00 2.010271925235690649e+00 2.244482481015391551e-01
4.235014329850673998e-02 1.972804290594406984e+00 1.847627087161835657e+00 2.950840037870622878e-01
4.799682907164096179e-02 2.949443992263643732e+00 1.445466440074019587e+00 4.697401536559419055e-01
5.364351484477519749e-02 3.281407235658307719e+00 1.338810749814504319e+00 5.160601313992317918e-01
5.929020061790943319e-02 4.111553526081840104e+00 1.113282171492599115e+00 6.140059484759206043e-01
6.493688639104365501e-02 6.548515613852753603e+00 6.478447153381001744e-01 8.161428673549061541e-01
7.058357216417789071e-02 5.777086328643200375e+00 7.731836552678839070e-01 7.617088573757979653e-01
7.623025793731212640e-02 7.339375704614383267e+00 5.338293303210350782e-01 8.656591199198921949e-01
8.187694371044634822e-02 7.097294754491317192e+00 5.673694245165870065e-01 8.510928420882487577e-01
8.752362948358058392e-02 1.190872851446031255e+01 4.981149560663222786e-02 1.075865394679117459e+00
9.317031525671481962e-02 8.083571691372478440e+00 4.372492995898205059e-01 9.076032943285052834e-01
9.881700102984905532e-02 9.210037148995922962e+00 3.067892316537972341e-01 9.642613819418435206e-01
1.044636868029832771e-01 9.696078904969196444e+00 2.553615482803404113e-01 9.865961410480033056e-01
1.101103725761175128e-01 1.251694236081266887e+01 0.000000000000000000e+00 1.097498252356426063e+00
1.157570583492517347e-01 9.336038594511101962e+00 2.932010865421514900e-01 9.701626383831318812e-01
1.214037441223859703e-01 8.832472771996497940e+00 3.486480979228243626e-01 9.460823073024788865e-01
1.270504298955202060e-01 8.502522444229040133e+00 3.867202378460490308e-01 9.295477870195739678e-01
1.326971156686544417e-01 1.063137145531345773e+01 1.632739139980379228e-01 1.026589292468332193e+00
1.383438014417886497e-01 6.433912584473282514e+00 6.655002732361667839e-01 8.084751559848525337e-01
1.439904872149229131e-01 6.378921598312152774e+00 6.740840608708673631e-01 8.047472643812725313e-01
1.496371729880571211e-01 5.656769188547266403e+00 7.942302009688904096e-01 7.525684587147262183e-01
1.552838587611913845e-01 6.204519968068940905e+00 7.018050619151623426e-01 7.927081865949010542e-01
1.609305445343255925e-01 4.171434727602481018e+00 1.098823079449974705e+00 6.202854523633635209e-01
1.665772303074598004e-01 3.329735278856431613e+00 1.324190310469442577e+00 5.224097075297933213e-01
