# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:40:25 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/353K/multi_west/corebychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.069632035493850745e-03 7.105676249664122368e-01 4.581130593347584323e+00 -1.483945838136805917e-01
3.208896106481552019e-03 1.789253150026696160e+00 3.657641138613025422e+00 2.526717904733811193e-01
5.348160177469253942e-03 4.596546358439965729e+00 2.714134206910780556e+00 6.624316445491345018e-01
7.487424248456954999e-03 8.369879206740801436e+00 2.114799984071562111e+00 9.227191903439807552e-01
9.626688319444656056e-03 3.244574290950418316e+01 7.598701914625634046e-01 1.511157722640386281e+00
1.176595239043235798e-02 2.223792300248205933e+01 1.137640361932066746e+00 1.347094222177830369e+00
1.390521646142005990e-02 2.875398534572761378e+01 8.806630584197923106e-01 1.458698047067588321e+00
1.604448053240776009e-02 3.071552544492300285e+01 8.146711951963006015e-01 1.487357949116064670e+00
1.818374460339546028e-02 6.936895525265357776e+01 0.000000000000000000e+00 1.841165153755345063e+00
2.032300867438316394e-02 3.475101249005236070e+01 6.912307287864187799e-01 1.540967462521440234e+00
2.246227274537086760e-02 3.393868262809769476e+01 7.148839924533798573e-01 1.530694980631876367e+00
2.460153681635856432e-02 3.133037358008081696e+01 7.948514078470867439e-01 1.495965573394324233e+00
2.674080088734626798e-02 5.209439768477568578e+01 2.863820238422891684e-01 1.716791021084353330e+00
2.888006495833397164e-02 2.194000651690296877e+01 1.151127684897155667e+00 1.341236752238445185e+00
3.101932902932166836e-02 1.754552805931565018e+01 1.374640330770228402e+00 1.244166443500174024e+00
3.315859310030937201e-02 1.606583490424099736e+01 1.462744475174367675e+00 1.205903299752649094e+00
3.529785717129707567e-02 1.176596035655196637e+01 1.774228789663017114e+00 1.070627380770811543e+00
3.743712124228477933e-02 1.979176376795799897e+01 1.254173556931978073e+00 1.296484498630813276e+00
3.957638531327247605e-02 6.265059918561468599e+00 2.404451284458654747e+00 7.969252289097652486e-01
4.171564938426017971e-02 5.475302345115211189e+00 2.539191939747215354e+00 7.384081058299152289e-01
4.385491345524787643e-02 4.105789448806210551e+00 2.827041398402615258e+00 6.133966743170368163e-01
4.599417752623558009e-02 6.438603639073108731e+00 2.377127746401974662e+00 8.087916907138548162e-01
4.813344159722328375e-02 1.948468384555431809e+00 3.572395816641829480e+00 2.896933634135376301e-01
5.027270566821098741e-02 1.525889367960073129e+00 3.816862004603234215e+00 1.835230469699762890e-01
5.241196973919868413e-02 9.143498047087436076e-01 4.328981499023459634e+00 -3.888762353181075132e-02
5.455123381018638778e-02 1.382353682594814615e+00 3.915651823338209159e+00 1.406191738251541257e-01
5.669049788117409144e-02 5.296244088221132573e-01 4.875026623032937323e+00 -2.760320077593038657e-01
5.882976195216178816e-02 2.401075437932662371e-01 5.666107793645121404e+00 -6.195941948937402355e-01
6.096902602314949182e-02 1.566004533587337932e-01 6.093497037195700905e+00 -8.052069849925619360e-01
6.310829009413719548e-02 7.808892755066251801e-02 6.789346441683136391e+00 -1.107410541597118936e+00
6.524755416512489914e-02 1.535898340190143263e-01 6.112909082008063599e+00 -8.136375289370296748e-01
6.738681823611258892e-02 7.764337963703985164e-03 9.097653521814127231e+00 -2.109895569036215779e+00
6.952608230710030646e-02 1.185927698122398941e-02 8.674084286845314296e+00 -1.925941787585278675e+00
7.166534637808799624e-02 3.039516306406754055e-03 1.003549632273507086e+01 -2.517195522368871785e+00
7.380461044907571377e-02 1.438955744471836657e-05 1.538844722867793635e+01 -4.841952562718870645e+00
7.594387452006340355e-02 8.006649347919133405e-04 1.136950744381285006e+01 -3.096549191050521621e+00
7.808313859105109334e-02 0.000000000000000000e+00 inf -inf
8.022240266203881087e-02 0.000000000000000000e+00 inf -inf
8.236166673302650065e-02 0.000000000000000000e+00 inf -inf
8.450093080401421819e-02 1.227904726641612914e-03 1.094188547321220994e+01 -2.910835328878068839e+00
8.664019487500190797e-02 0.000000000000000000e+00 inf -inf
8.877945894598961163e-02 0.000000000000000000e+00 inf -inf
9.091872301697731529e-02 0.000000000000000000e+00 inf -inf
9.305798708796500507e-02 0.000000000000000000e+00 inf -inf
9.519725115895272261e-02 0.000000000000000000e+00 inf -inf
9.733651522994041239e-02 0.000000000000000000e+00 inf -inf
9.947577930092812992e-02 0.000000000000000000e+00 inf -inf
1.016150433719158197e-01 0.000000000000000000e+00 inf -inf
1.037543074429035095e-01 0.000000000000000000e+00 inf -inf
1.058935715138912270e-01 0.000000000000000000e+00 inf -inf
1.080328355848789168e-01 0.000000000000000000e+00 inf -inf
1.101720996558666343e-01 0.000000000000000000e+00 inf -inf
1.123113637268543241e-01 0.000000000000000000e+00 inf -inf
1.144506277978420417e-01 0.000000000000000000e+00 inf -inf
1.165898918688297314e-01 0.000000000000000000e+00 inf -inf
1.187291559398174212e-01 0.000000000000000000e+00 inf -inf
1.208684200108051388e-01 0.000000000000000000e+00 inf -inf
1.230076840817928285e-01 0.000000000000000000e+00 inf -inf
1.251469481527805461e-01 0.000000000000000000e+00 inf -inf
1.272862122237682359e-01 0.000000000000000000e+00 inf -inf
1.294254762947559256e-01 0.000000000000000000e+00 inf -inf
1.315647403657436432e-01 0.000000000000000000e+00 inf -inf
1.337040044367313607e-01 0.000000000000000000e+00 inf -inf
1.358432685077190505e-01 0.000000000000000000e+00 inf -inf
1.379825325787067403e-01 0.000000000000000000e+00 inf -inf
1.401217966496944300e-01 0.000000000000000000e+00 inf -inf
1.422610607206821476e-01 0.000000000000000000e+00 inf -inf
1.444003247916698651e-01 0.000000000000000000e+00 inf -inf
1.465395888626575549e-01 0.000000000000000000e+00 inf -inf
1.486788529336452447e-01 0.000000000000000000e+00 inf -inf
1.508181170046329622e-01 0.000000000000000000e+00 inf -inf
1.529573810756206520e-01 0.000000000000000000e+00 inf -inf
1.550966451466083695e-01 0.000000000000000000e+00 inf -inf
1.572359092175960593e-01 0.000000000000000000e+00 inf -inf
1.593751732885837491e-01 0.000000000000000000e+00 inf -inf
1.615144373595714666e-01 0.000000000000000000e+00 inf -inf
1.636537014305591564e-01 0.000000000000000000e+00 inf -inf
1.657929655015468740e-01 0.000000000000000000e+00 inf -inf
1.679322295725345637e-01 0.000000000000000000e+00 inf -inf
1.700714936435222535e-01 0.000000000000000000e+00 inf -inf
1.722107577145099711e-01 0.000000000000000000e+00 inf -inf
1.743500217854976886e-01 0.000000000000000000e+00 inf -inf
1.764892858564853784e-01 0.000000000000000000e+00 inf -inf
1.786285499274730681e-01 0.000000000000000000e+00 inf -inf
1.807678139984607579e-01 0.000000000000000000e+00 inf -inf
1.829070780694484755e-01 0.000000000000000000e+00 inf -inf
1.850463421404361930e-01 0.000000000000000000e+00 inf -inf
1.871856062114238828e-01 0.000000000000000000e+00 inf -inf
1.893248702824115726e-01 0.000000000000000000e+00 inf -inf
1.914641343533992901e-01 0.000000000000000000e+00 inf -inf
1.936033984243869799e-01 0.000000000000000000e+00 inf -inf
1.957426624953746974e-01 0.000000000000000000e+00 inf -inf
