# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:42:00 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/423K/multi_west/clucountdxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.313000000000000000e-01 1.077014019309902199e-06 1.326467166155778798e+01 -5.967778643527177351e+00
3.939000000000000279e-01 0.000000000000000000e+00 inf -inf
6.565000000000000835e-01 0.000000000000000000e+00 inf -inf
9.191000000000000281e-01 0.000000000000000000e+00 inf -inf
1.181699999999999973e+00 0.000000000000000000e+00 inf -inf
1.444300000000000139e+00 0.000000000000000000e+00 inf -inf
1.706900000000000084e+00 0.000000000000000000e+00 inf -inf
1.969500000000000028e+00 1.452490192222227359e-04 8.360414433281633251e+00 -3.837886791452707058e+00
2.232099999999999973e+00 0.000000000000000000e+00 inf -inf
2.494699999999999918e+00 0.000000000000000000e+00 inf -inf
2.757299999999999862e+00 0.000000000000000000e+00 inf -inf
3.019899999999999807e+00 2.091948460117174554e-03 5.693012888422100737e+00 -2.679449019500002471e+00
3.282500000000000195e+00 0.000000000000000000e+00 inf -inf
3.545100000000000140e+00 0.000000000000000000e+00 inf -inf
3.807700000000000085e+00 0.000000000000000000e+00 inf -inf
4.070299999999999585e+00 5.441826395325672673e-03 4.736994058709496080e+00 -2.264255317160213998e+00
4.332900000000000418e+00 0.000000000000000000e+00 inf -inf
4.595499999999999474e+00 0.000000000000000000e+00 inf -inf
4.858100000000000307e+00 0.000000000000000000e+00 inf -inf
5.120699999999999363e+00 2.458545729470928282e-02 3.228953696417477204e+00 -1.609321709329409433e+00
5.383300000000000196e+00 0.000000000000000000e+00 inf -inf
5.645899999999999253e+00 0.000000000000000000e+00 inf -inf
5.908500000000000085e+00 7.054587283683150245e-02 2.174845620910674793e+00 -1.151528388807148806e+00
6.171100000000000030e+00 0.000000000000000000e+00 inf -inf
6.433699999999999974e+00 0.000000000000000000e+00 inf -inf
6.696300000000000807e+00 0.000000000000000000e+00 inf -inf
6.958899999999999864e+00 1.704796879942592214e-01 1.292492640037708140e+00 -7.683273581231337968e-01
7.221500000000000696e+00 0.000000000000000000e+00 inf -inf
