# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:42:10 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/423K/multi_west/clucounttotal.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.130354999999999954e+01 0.000000000000000000e+00 inf -inf
1.191065000000000040e+01 0.000000000000000000e+00 inf -inf
1.251774999999999949e+01 0.000000000000000000e+00 inf -inf
1.312485000000000035e+01 0.000000000000000000e+00 inf -inf
1.373194999999999943e+01 0.000000000000000000e+00 inf -inf
1.433905000000000030e+01 0.000000000000000000e+00 inf -inf
1.494614999999999938e+01 0.000000000000000000e+00 inf -inf
1.555325000000000024e+01 0.000000000000000000e+00 inf -inf
1.616035000000000110e+01 0.000000000000000000e+00 inf -inf
1.676744999999999663e+01 0.000000000000000000e+00 inf -inf
1.737454999999999927e+01 0.000000000000000000e+00 inf -inf
1.798165000000000191e+01 0.000000000000000000e+00 inf -inf
1.858874999999999744e+01 0.000000000000000000e+00 inf -inf
1.919585000000000008e+01 0.000000000000000000e+00 inf -inf
1.980295000000000272e+01 0.000000000000000000e+00 inf -inf
2.041004999999999825e+01 0.000000000000000000e+00 inf -inf
2.101715000000000089e+01 0.000000000000000000e+00 inf -inf
2.162424999999999642e+01 0.000000000000000000e+00 inf -inf
2.223134999999999906e+01 0.000000000000000000e+00 inf -inf
2.283845000000000169e+01 0.000000000000000000e+00 inf -inf
2.344554999999999723e+01 0.000000000000000000e+00 inf -inf
2.405264999999999986e+01 0.000000000000000000e+00 inf -inf
2.465975000000000250e+01 0.000000000000000000e+00 inf -inf
2.526684999999999803e+01 0.000000000000000000e+00 inf -inf
2.587395000000000067e+01 0.000000000000000000e+00 inf -inf
2.648104999999999620e+01 0.000000000000000000e+00 inf -inf
2.708814999999999884e+01 7.560417742344621126e-06 9.849248608513457626e+00 -5.121454207384657842e+00
2.769525000000000148e+01 0.000000000000000000e+00 inf -inf
2.830234999999999701e+01 1.234470085917412226e-04 7.056363070344229271e+00 -3.908519429570368242e+00
2.890944999999999965e+01 3.914135639112940857e-04 5.902410344882997428e+00 -3.407364128525336877e+00
2.951655000000000229e+01 0.000000000000000000e+00 inf -inf
3.012364999999999782e+01 1.693183012643091883e-04 6.740394671193449483e+00 -3.771296097363380451e+00
3.073075000000000045e+01 1.335056326399886332e-03 4.675446292098053291e+00 -2.874500410907185444e+00
3.133784999999999599e+01 0.000000000000000000e+00 inf -inf
3.194494999999999862e+01 2.328788933931763561e-03 4.119071413514864943e+00 -2.632869871268915141e+00
3.255204999999999416e+01 0.000000000000000000e+00 inf -inf
3.315914999999999679e+01 4.337827699141014876e-03 3.497046082466604311e+00 -2.362727702390611917e+00
3.376624999999999943e+01 6.718258831399941469e-03 3.059590756628079333e+00 -2.172743268299751396e+00
3.437335000000000207e+01 0.000000000000000000e+00 inf -inf
3.498045000000000471e+01 1.290765757455151347e-02 2.406599029439048465e+00 -1.889152564453081773e+00
3.558754999999999313e+01 0.000000000000000000e+00 inf -inf
3.619464999999999577e+01 2.062718178081113241e-02 1.937810065181906127e+00 -1.685560104099064427e+00
3.680174999999999841e+01 3.224675901967197222e-02 1.491002232442324216e+00 -1.491513927869112743e+00
3.740885000000000105e+01 0.000000000000000000e+00 inf -inf
3.801595000000000368e+01 4.884892288543792038e-02 1.075687446302433736e+00 -1.311145007995729195e+00
3.862304999999999922e+01 0.000000000000000000e+00 inf -inf
3.923014999999999475e+01 6.275360926743546452e-02 8.252036805561184796e-01 -1.202361290725757703e+00
3.983724999999999739e+01 7.861734014620344602e-02 5.998274874691367220e-01 -1.104481653715719824e+00
4.044435000000000002e+01 0.000000000000000000e+00 inf -inf
4.105145000000000266e+01 1.017973587963875298e-01 3.414356163658640586e-01 -9.922634899269121567e-01
4.165854999999999819e+01 0.000000000000000000e+00 inf -inf
4.226564999999999372e+01 1.156644164186384910e-01 2.137267386244430245e-01 -9.368002290337559268e-01
4.287274999999999636e+01 1.356243199943683309e-01 5.453106470430002517e-02 -8.676624263073684507e-01
4.347984999999999900e+01 0.000000000000000000e+00 inf -inf
4.408695000000000164e+01 1.387986574486803903e-01 3.139539965406079602e-02 -8.576147346408875549e-01
4.469404999999999717e+01 0.000000000000000000e+00 inf -inf
4.530114999999999981e+01 1.432254232054937793e-01 0.000000000000000000e+00 -8.439798858139817561e-01
4.590824999999999534e+01 1.427389637057738525e-01 3.402241616272005942e-03 -8.454574605740302617e-01
4.651534999999999798e+01 0.000000000000000000e+00 inf -inf
4.712245000000000061e+01 1.242962331958889777e-01 1.417520811986101581e-01 -9.055420324768398421e-01
4.772955000000000325e+01 1.152539829000816529e-01 2.172815350544710089e-01 -9.383440575076065215e-01
4.833664999999999878e+01 0.000000000000000000e+00 inf -inf
4.894374999999999432e+01 9.570236292751942153e-02 4.031767859782908747e-01 -1.019077339195841869e+00
4.955084999999999695e+01 0.000000000000000000e+00 inf -inf
5.015794999999999959e+01 7.997979257156517807e-02 5.826457652085477168e-01 -1.097019726548351670e+00
5.076505000000000223e+01 5.828676811760742649e-02 8.990446694854996590e-01 -1.234430024756067112e+00
5.137214999999999776e+01 0.000000000000000000e+00 inf -inf
5.197924999999999329e+01 4.350691092133188859e-02 1.191499977889432182e+00 -1.361441751399208755e+00
5.258634999999999593e+01 0.000000000000000000e+00 inf -inf
5.319344999999999857e+01 3.237978734740395298e-02 1.486885394297806195e+00 -1.489726007780059813e+00
5.380055000000000121e+01 1.904605212446040807e-02 2.017559932585140103e+00 -1.720195031444804679e+00
5.440764999999999674e+01 0.000000000000000000e+00 inf -inf
5.501474999999999937e+01 1.253404345678394392e-02 2.435971356211402039e+00 -1.901908803890974387e+00
5.562184999999999491e+01 0.000000000000000000e+00 inf -inf
5.622894999999999754e+01 7.366078760831812344e-03 2.967534264671060740e+00 -2.132763641819447109e+00
5.683605000000000018e+01 4.150353491208976994e-03 3.541226265900357717e+00 -2.381914912265364670e+00
5.744315000000000282e+01 0.000000000000000000e+00 inf -inf
5.805024999999999835e+01 2.171488429114350888e-03 4.189006930663561334e+00 -2.663242480455644046e+00
5.865734999999999388e+01 0.000000000000000000e+00 inf -inf
5.926444999999999652e+01 1.413349457190046180e-03 4.618457386220180538e+00 -2.849750443554721624e+00
5.987154999999999916e+01 9.627474275503681731e-04 5.002383953391655425e+00 -3.016487633133351220e+00
6.047865000000000180e+01 0.000000000000000000e+00 inf -inf
6.108574999999999733e+01 3.157918419756831300e-04 6.117091785496890921e+00 -3.500599093550991192e+00
6.169284999999999286e+01 0.000000000000000000e+00 inf -inf
6.229994999999999550e+01 5.160494841325185579e-04 5.625972393737056265e+00 -3.287308651754014210e+00
6.290704999999999814e+01 3.102093208954580982e-05 8.437512848786338893e+00 -4.508345157029674866e+00
6.351415000000000077e+01 0.000000000000000000e+00 inf -inf
6.412125000000000341e+01 0.000000000000000000e+00 inf -inf
6.472835000000000605e+01 0.000000000000000000e+00 inf -inf
6.533545000000000869e+01 0.000000000000000000e+00 inf -inf
6.594254999999999711e+01 0.000000000000000000e+00 inf -inf
6.654964999999999975e+01 0.000000000000000000e+00 inf -inf
6.715674999999998818e+01 0.000000000000000000e+00 inf -inf
6.776384999999999081e+01 0.000000000000000000e+00 inf -inf
6.837094999999999345e+01 0.000000000000000000e+00 inf -inf
6.897804999999999609e+01 0.000000000000000000e+00 inf -inf
6.958514999999999873e+01 0.000000000000000000e+00 inf -inf
7.019225000000000136e+01 0.000000000000000000e+00 inf -inf
7.079935000000000400e+01 0.000000000000000000e+00 inf -inf
7.140645000000000664e+01 0.000000000000000000e+00 inf -inf
