# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:43:14 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/423K/multi_west/corebytotal.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
3.138768685124814634e-02 0.000000000000000000e+00 inf -inf
3.757869861312210236e-02 7.766099265251517848e-04 1.073889535561155739e+01 -3.109797062659986455e+00
4.376971037499606532e-02 6.860068086702351964e-02 6.257775816018284587e+00 -1.163671573865787456e+00
4.996072213687002828e-02 7.929413959143302160e-01 3.810328958719537251e+00 -1.007589089894861262e-01
5.615173389874398430e-02 3.734487649389602204e+00 2.260712363250211965e+00 5.722310274885455961e-01
6.234274566061794726e-02 1.270295732736046546e+01 1.036488170115153373e+00 1.103904839179562281e+00
6.853375742249190328e-02 2.671052951124549679e+01 2.932651455116719319e-01 1.426682497588299015e+00
7.472476918436586624e-02 3.544545215477360500e+01 1.032804115058061356e-02 1.549560520738005653e+00
8.091578094623982920e-02 3.581343122373902332e+01 0.000000000000000000e+00 1.554045932018572440e+00
8.710679270811379216e-02 2.497872989425873058e+01 3.602983383947924168e-01 1.397570351814803491e+00
9.329780446998775512e-02 1.330558420160720168e+01 9.901391850023517627e-01 1.124033947655868060e+00
9.948881623186170420e-02 5.472745838646566163e+00 1.878542524939627700e+00 7.382052794166902299e-01
1.056798279937356810e-01 1.848708824493268343e+00 2.963835534178524966e+00 2.668685142560622836e-01
1.118708397556096301e-01 5.103586405190962960e-01 4.250964580594668973e+00 -2.921245280998635008e-01
1.180618515174835792e-01 1.314090352947102636e-01 5.607763410433824980e+00 -8.813747729517982243e-01
1.242528632793575422e-01 6.758530950776401626e-03 8.575272724411492575e+00 -2.170147693008803724e+00
1.304438750412315051e-01 8.968783018028270203e-04 1.059491337446443815e+01 -3.047266482754294348e+00
1.366348868031054820e-01 1.187888432848980083e-04 1.261648606408299855e+01 -3.925224346621950744e+00
1.428258985649794310e-01 0.000000000000000000e+00 inf -inf
1.490169103268533801e-01 0.000000000000000000e+00 inf -inf
1.552079220887273570e-01 0.000000000000000000e+00 inf -inf
1.613989338506013338e-01 0.000000000000000000e+00 inf -inf
1.675899456124752551e-01 0.000000000000000000e+00 inf -inf
1.737809573743492320e-01 0.000000000000000000e+00 inf -inf
1.799719691362232088e-01 0.000000000000000000e+00 inf -inf
1.861629808980971579e-01 0.000000000000000000e+00 inf -inf
1.923539926599711070e-01 0.000000000000000000e+00 inf -inf
1.985450044218450838e-01 0.000000000000000000e+00 inf -inf
2.047360161837190329e-01 0.000000000000000000e+00 inf -inf
2.109270279455929820e-01 0.000000000000000000e+00 inf -inf
2.171180397074669588e-01 0.000000000000000000e+00 inf -inf
2.233090514693409356e-01 0.000000000000000000e+00 inf -inf
2.295000632312148570e-01 0.000000000000000000e+00 inf -inf
2.356910749930888338e-01 0.000000000000000000e+00 inf -inf
2.418820867549628106e-01 0.000000000000000000e+00 inf -inf
2.480730985168367875e-01 0.000000000000000000e+00 inf -inf
2.542641102787107643e-01 0.000000000000000000e+00 inf -inf
2.604551220405846301e-01 0.000000000000000000e+00 inf -inf
2.666461338024586070e-01 0.000000000000000000e+00 inf -inf
2.728371455643325838e-01 0.000000000000000000e+00 inf -inf
2.790281573262065606e-01 0.000000000000000000e+00 inf -inf
2.852191690880805375e-01 0.000000000000000000e+00 inf -inf
2.914101808499545143e-01 0.000000000000000000e+00 inf -inf
2.976011926118284356e-01 0.000000000000000000e+00 inf -inf
3.037922043737024125e-01 0.000000000000000000e+00 inf -inf
3.099832161355763338e-01 0.000000000000000000e+00 inf -inf
3.161742278974503106e-01 0.000000000000000000e+00 inf -inf
3.223652396593242875e-01 0.000000000000000000e+00 inf -inf
3.285562514211982643e-01 0.000000000000000000e+00 inf -inf
3.347472631830721856e-01 0.000000000000000000e+00 inf -inf
3.409382749449461625e-01 0.000000000000000000e+00 inf -inf
3.471292867068201393e-01 0.000000000000000000e+00 inf -inf
3.533202984686940606e-01 0.000000000000000000e+00 inf -inf
3.595113102305680375e-01 0.000000000000000000e+00 inf -inf
3.657023219924420143e-01 0.000000000000000000e+00 inf -inf
3.718933337543159912e-01 0.000000000000000000e+00 inf -inf
3.780843455161899125e-01 0.000000000000000000e+00 inf -inf
3.842753572780638893e-01 0.000000000000000000e+00 inf -inf
3.904663690399378106e-01 0.000000000000000000e+00 inf -inf
3.966573808018117875e-01 0.000000000000000000e+00 inf -inf
4.028483925636857643e-01 0.000000000000000000e+00 inf -inf
4.090394043255597412e-01 0.000000000000000000e+00 inf -inf
4.152304160874337180e-01 0.000000000000000000e+00 inf -inf
4.214214278493076393e-01 0.000000000000000000e+00 inf -inf
4.276124396111816162e-01 0.000000000000000000e+00 inf -inf
4.338034513730555375e-01 0.000000000000000000e+00 inf -inf
4.399944631349295143e-01 0.000000000000000000e+00 inf -inf
4.461854748968034912e-01 0.000000000000000000e+00 inf -inf
4.523764866586774680e-01 0.000000000000000000e+00 inf -inf
4.585674984205514448e-01 0.000000000000000000e+00 inf -inf
4.647585101824253662e-01 0.000000000000000000e+00 inf -inf
4.709495219442993430e-01 0.000000000000000000e+00 inf -inf
4.771405337061732643e-01 0.000000000000000000e+00 inf -inf
4.833315454680472412e-01 0.000000000000000000e+00 inf -inf
4.895225572299212180e-01 0.000000000000000000e+00 inf -inf
4.957135689917951948e-01 0.000000000000000000e+00 inf -inf
5.019045807536690607e-01 0.000000000000000000e+00 inf -inf
5.080955925155430375e-01 0.000000000000000000e+00 inf -inf
5.142866042774170143e-01 0.000000000000000000e+00 inf -inf
5.204776160392909912e-01 0.000000000000000000e+00 inf -inf
5.266686278011649680e-01 0.000000000000000000e+00 inf -inf
5.328596395630389448e-01 0.000000000000000000e+00 inf -inf
5.390506513249129217e-01 0.000000000000000000e+00 inf -inf
5.452416630867868985e-01 0.000000000000000000e+00 inf -inf
5.514326748486608754e-01 0.000000000000000000e+00 inf -inf
5.576236866105347412e-01 0.000000000000000000e+00 inf -inf
5.638146983724087180e-01 0.000000000000000000e+00 inf -inf
5.700057101342826948e-01 0.000000000000000000e+00 inf -inf
5.761967218961566717e-01 0.000000000000000000e+00 inf -inf
5.823877336580306485e-01 0.000000000000000000e+00 inf -inf
5.885787454199045143e-01 0.000000000000000000e+00 inf -inf
5.947697571817784912e-01 0.000000000000000000e+00 inf -inf
6.009607689436524680e-01 0.000000000000000000e+00 inf -inf
6.071517807055264448e-01 0.000000000000000000e+00 inf -inf
6.133427924674004217e-01 0.000000000000000000e+00 inf -inf
6.195338042292743985e-01 0.000000000000000000e+00 inf -inf
6.257248159911483754e-01 0.000000000000000000e+00 inf -inf
6.319158277530223522e-01 0.000000000000000000e+00 inf -inf
6.381068395148962180e-01 0.000000000000000000e+00 inf -inf
6.442978512767701949e-01 0.000000000000000000e+00 inf -inf
