# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:43:24 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_DIPC_CHOL/423K/multi_west/outbytotal.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.676069692432880509e-01 0.000000000000000000e+00 inf -inf
1.746315943181514507e-01 0.000000000000000000e+00 inf -inf
1.816562193930149061e-01 0.000000000000000000e+00 inf -inf
1.886808444678783614e-01 0.000000000000000000e+00 inf -inf
1.957054695427417612e-01 0.000000000000000000e+00 inf -inf
2.027300946176052165e-01 0.000000000000000000e+00 inf -inf
2.097547196924686719e-01 0.000000000000000000e+00 inf -inf
2.167793447673320717e-01 0.000000000000000000e+00 inf -inf
2.238039698421955270e-01 0.000000000000000000e+00 inf -inf
2.308285949170589268e-01 0.000000000000000000e+00 inf -inf
2.378532199919223822e-01 0.000000000000000000e+00 inf -inf
2.448778450667858375e-01 0.000000000000000000e+00 inf -inf
2.519024701416492373e-01 0.000000000000000000e+00 inf -inf
2.589270952165126927e-01 0.000000000000000000e+00 inf -inf
2.659517202913761480e-01 0.000000000000000000e+00 inf -inf
2.729763453662395478e-01 0.000000000000000000e+00 inf -inf
2.800009704411030032e-01 0.000000000000000000e+00 inf -inf
2.870255955159664030e-01 0.000000000000000000e+00 inf -inf
2.940502205908298583e-01 0.000000000000000000e+00 inf -inf
3.010748456656933136e-01 0.000000000000000000e+00 inf -inf
3.080994707405567135e-01 0.000000000000000000e+00 inf -inf
3.151240958154201688e-01 0.000000000000000000e+00 inf -inf
3.221487208902836241e-01 0.000000000000000000e+00 inf -inf
3.291733459651470239e-01 0.000000000000000000e+00 inf -inf
3.361979710400104793e-01 0.000000000000000000e+00 inf -inf
3.432225961148738791e-01 0.000000000000000000e+00 inf -inf
3.502472211897373344e-01 0.000000000000000000e+00 inf -inf
3.572718462646007898e-01 0.000000000000000000e+00 inf -inf
3.642964713394641896e-01 0.000000000000000000e+00 inf -inf
3.713210964143276449e-01 0.000000000000000000e+00 inf -inf
3.783457214891911002e-01 0.000000000000000000e+00 inf -inf
3.853703465640545001e-01 0.000000000000000000e+00 inf -inf
3.923949716389179554e-01 0.000000000000000000e+00 inf -inf
3.994195967137813552e-01 0.000000000000000000e+00 inf -inf
4.064442217886448105e-01 0.000000000000000000e+00 inf -inf
4.134688468635082659e-01 0.000000000000000000e+00 inf -inf
4.204934719383716657e-01 0.000000000000000000e+00 inf -inf
4.275180970132351210e-01 0.000000000000000000e+00 inf -inf
4.345427220880985208e-01 0.000000000000000000e+00 inf -inf
4.415673471629619762e-01 0.000000000000000000e+00 inf -inf
4.485919722378254315e-01 0.000000000000000000e+00 inf -inf
4.556165973126888868e-01 0.000000000000000000e+00 inf -inf
4.626412223875522867e-01 0.000000000000000000e+00 inf -inf
4.696658474624157420e-01 0.000000000000000000e+00 inf -inf
4.766904725372791418e-01 0.000000000000000000e+00 inf -inf
4.837150976121425971e-01 0.000000000000000000e+00 inf -inf
4.907397226870060525e-01 0.000000000000000000e+00 inf -inf
4.977643477618694523e-01 0.000000000000000000e+00 inf -inf
5.047889728367329631e-01 0.000000000000000000e+00 inf -inf
5.118135979115963075e-01 0.000000000000000000e+00 inf -inf
5.188382229864597628e-01 0.000000000000000000e+00 inf -inf
5.258628480613232181e-01 0.000000000000000000e+00 inf -inf
5.328874731361865624e-01 0.000000000000000000e+00 inf -inf
5.399120982110501288e-01 0.000000000000000000e+00 inf -inf
5.469367232859134731e-01 0.000000000000000000e+00 inf -inf
5.539613483607769284e-01 0.000000000000000000e+00 inf -inf
5.609859734356403838e-01 0.000000000000000000e+00 inf -inf
5.680105985105037281e-01 0.000000000000000000e+00 inf -inf
5.750352235853672944e-01 0.000000000000000000e+00 inf -inf
5.820598486602306387e-01 0.000000000000000000e+00 inf -inf
5.890844737350942051e-01 0.000000000000000000e+00 inf -inf
5.961090988099575494e-01 0.000000000000000000e+00 inf -inf
6.031337238848208937e-01 0.000000000000000000e+00 inf -inf
6.101583489596844601e-01 4.187710663857368253e-04 1.056338771961689815e+01 -3.378023332110433152e+00
6.171829740345478044e-01 4.936001157436921763e-03 8.096401309203578478e+00 -2.306624747137616893e+00
6.242075991094113707e-01 5.470129098940115439e-03 7.993654612871334386e+00 -2.262002423886734448e+00
6.312322241842747150e-01 2.067025307618988034e-02 6.664261213029445408e+00 -1.684654206056798609e+00
6.382568492591380593e-01 1.048932312427110075e-01 5.040013842783390707e+00 -9.792525359130690443e-01
6.452814743340016257e-01 9.039556426746965523e-02 5.188761631938938024e+00 -1.043852879938631961e+00
6.523060994088649700e-01 2.730069127274932783e-01 4.083459714084969328e+00 -5.638263561775718191e-01
6.593307244837285364e-01 5.060609455688666047e-01 3.466299722472750755e+00 -2.957971773689279660e-01
6.663553495585918807e-01 1.040107364998627215e+00 2.745877607912882379e+00 1.707817162549516918e-02
6.733799746334552250e-01 1.839742342337365333e+00 2.175576020836138991e+00 2.647570039135917486e-01
6.804045997083187913e-01 2.972450389258034065e+00 1.695814891774602096e+00 4.731146148966909881e-01
6.874292247831821356e-01 5.111805121746350267e+00 1.153648956688869021e+00 7.085742887803414547e-01
6.944538498580457020e-01 6.745467125016566534e+00 8.763308090454768884e-01 8.290120300334979930e-01
7.014784749329090463e-01 9.704712369201436317e+00 5.125899725142080143e-01 9.869826681819007241e-01
7.085031000077725016e-01 1.236265083376722806e+01 2.705216535275378753e-01 1.092111603361407779e+00
7.155277250826359570e-01 1.354396120305024098e+01 1.792607709985531983e-01 1.131745701057366826e+00
7.225523501574993013e-01 1.547859327202120916e+01 4.574356118148203976e-02 1.189731488520039404e+00
7.295769752323628676e-01 1.620308330039576461e+01 0.000000000000000000e+00 1.209597664723760735e+00
7.366016003072262119e-01 1.369063483067536779e+01 1.684895412345555066e-01 1.136423586707183020e+00
7.436262253820896673e-01 1.258654819279715475e+01 2.525729113969816808e-01 1.099906643025812869e+00
7.506508504569531226e-01 1.051312291939920662e+01 4.325772726545267233e-01 1.021731742213141558e+00
7.576754755318164669e-01 6.992463186617858817e+00 8.403686699285588535e-01 8.446301886094125244e-01
7.647001006066800333e-01 5.199335804175289510e+00 1.136670663850417151e+00 7.159478676722186297e-01
7.717247256815433776e-01 3.348271031250010576e+00 1.576757448781637816e+00 5.248206054180464264e-01
7.787493507564069439e-01 1.895340308407986729e+00 2.145803146628574076e+00 2.776871988923367840e-01
7.857739758312702882e-01 1.006054444589568275e+00 2.779165361229875231e+00 2.621484044968549598e-03
7.927986009061336325e-01 6.492100383155529064e-01 3.217200532181313744e+00 -1.876147735787888904e-01
7.998232259809971989e-01 2.520147900496212401e-01 4.163469053833185107e+00 -5.985739709309443324e-01
8.068478510558605432e-01 1.507202463006740711e-01 4.677531385308236977e+00 -8.218284048448799561e-01
8.138724761307241096e-01 3.856489907914380927e-02 6.040614317815732548e+00 -1.413807800809387727e+00
8.208971012055874539e-01 2.116971368604442238e-02 6.640385269753887876e+00 -1.674285015641988839e+00
8.279217262804507982e-01 3.342695082538827463e-03 8.486179437744709730e+00 -2.475903237529607281e+00
8.349463513553143645e-01 8.117011893819725196e-04 9.901579830214068068e+00 -3.090603817662746611e+00
8.419709764301777088e-01 3.220932580167791873e-04 1.082587098449520013e+01 -3.492018365639029120e+00
8.489956015050412752e-01 0.000000000000000000e+00 inf -inf
8.560202265799046195e-01 0.000000000000000000e+00 inf -inf
8.630448516547679638e-01 0.000000000000000000e+00 inf -inf
