# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:44:02 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/298K/multi_west/clucountchol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.515000000000000201e-02 3.200869420003388655e+01 0.000000000000000000e+00 1.505267957390395983e+00
4.545000000000000429e-02 0.000000000000000000e+00 inf -inf
7.575000000000001177e-02 0.000000000000000000e+00 inf -inf
1.060500000000000054e-01 0.000000000000000000e+00 inf -inf
1.363500000000000267e-01 0.000000000000000000e+00 inf -inf
1.666500000000000203e-01 0.000000000000000000e+00 inf -inf
1.969500000000000139e-01 0.000000000000000000e+00 inf -inf
2.272500000000000353e-01 0.000000000000000000e+00 inf -inf
2.575500000000000567e-01 0.000000000000000000e+00 inf -inf
2.878500000000000503e-01 0.000000000000000000e+00 inf -inf
3.181500000000000439e-01 0.000000000000000000e+00 inf -inf
3.484500000000000375e-01 0.000000000000000000e+00 inf -inf
3.787500000000000311e-01 0.000000000000000000e+00 inf -inf
4.090500000000000247e-01 0.000000000000000000e+00 inf -inf
4.393500000000000738e-01 0.000000000000000000e+00 inf -inf
4.696500000000000674e-01 0.000000000000000000e+00 inf -inf
4.999500000000001165e-01 0.000000000000000000e+00 inf -inf
5.302500000000001101e-01 0.000000000000000000e+00 inf -inf
5.605500000000001037e-01 0.000000000000000000e+00 inf -inf
5.908500000000000973e-01 0.000000000000000000e+00 inf -inf
6.211500000000000909e-01 0.000000000000000000e+00 inf -inf
6.514500000000000846e-01 0.000000000000000000e+00 inf -inf
6.817500000000000782e-01 0.000000000000000000e+00 inf -inf
7.120500000000000718e-01 0.000000000000000000e+00 inf -inf
7.423500000000000654e-01 0.000000000000000000e+00 inf -inf
7.726500000000000590e-01 0.000000000000000000e+00 inf -inf
8.029500000000000526e-01 0.000000000000000000e+00 inf -inf
8.332500000000001572e-01 0.000000000000000000e+00 inf -inf
8.635500000000001508e-01 0.000000000000000000e+00 inf -inf
8.938500000000001444e-01 0.000000000000000000e+00 inf -inf
9.241500000000001380e-01 0.000000000000000000e+00 inf -inf
9.544500000000001316e-01 0.000000000000000000e+00 inf -inf
9.847500000000001252e-01 0.000000000000000000e+00 inf -inf
1.015050000000000230e+00 9.846548413511997389e-01 3.481471673740286654e+00 -6.715979417488625661e-03
1.045350000000000223e+00 0.000000000000000000e+00 inf -inf
1.075650000000000217e+00 0.000000000000000000e+00 inf -inf
1.105950000000000211e+00 0.000000000000000000e+00 inf -inf
1.136250000000000204e+00 0.000000000000000000e+00 inf -inf
1.166550000000000198e+00 0.000000000000000000e+00 inf -inf
1.196850000000000191e+00 0.000000000000000000e+00 inf -inf
1.227150000000000185e+00 0.000000000000000000e+00 inf -inf
1.257450000000000179e+00 0.000000000000000000e+00 inf -inf
1.287750000000000172e+00 0.000000000000000000e+00 inf -inf
1.318050000000000166e+00 0.000000000000000000e+00 inf -inf
1.348350000000000160e+00 0.000000000000000000e+00 inf -inf
1.378650000000000153e+00 0.000000000000000000e+00 inf -inf
1.408950000000000147e+00 0.000000000000000000e+00 inf -inf
1.439250000000000140e+00 0.000000000000000000e+00 inf -inf
1.469550000000000134e+00 0.000000000000000000e+00 inf -inf
1.499850000000000128e+00 0.000000000000000000e+00 inf -inf
1.530150000000000121e+00 0.000000000000000000e+00 inf -inf
1.560450000000000115e+00 0.000000000000000000e+00 inf -inf
1.590750000000000108e+00 0.000000000000000000e+00 inf -inf
