# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:44:40 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/298K/multi_west/clusbychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
4.417066562920808365e-04 1.097859188471700008e+03 0.000000000000000000e+00 3.040546641032698449e+00
1.325119968876242510e-03 0.000000000000000000e+00 inf -inf
2.208533281460403966e-03 0.000000000000000000e+00 inf -inf
3.091946594044566073e-03 0.000000000000000000e+00 inf -inf
3.975359906628727312e-03 0.000000000000000000e+00 inf -inf
4.858773219212889419e-03 0.000000000000000000e+00 inf -inf
5.742186531797050658e-03 0.000000000000000000e+00 inf -inf
6.625599844381212765e-03 0.000000000000000000e+00 inf -inf
7.509013156965374004e-03 0.000000000000000000e+00 inf -inf
8.392426469549536111e-03 0.000000000000000000e+00 inf -inf
9.275839782133697350e-03 0.000000000000000000e+00 inf -inf
1.015925309471785859e-02 0.000000000000000000e+00 inf -inf
1.104266640730202156e-02 0.000000000000000000e+00 inf -inf
1.192607971988618280e-02 0.000000000000000000e+00 inf -inf
1.280949303247034404e-02 0.000000000000000000e+00 inf -inf
1.369290634505450702e-02 0.000000000000000000e+00 inf -inf
1.457631965763866652e-02 0.000000000000000000e+00 inf -inf
1.545973297022282950e-02 0.000000000000000000e+00 inf -inf
1.634314628280698900e-02 0.000000000000000000e+00 inf -inf
1.722655959539115197e-02 0.000000000000000000e+00 inf -inf
1.810997290797531495e-02 0.000000000000000000e+00 inf -inf
1.899338622055947445e-02 0.000000000000000000e+00 inf -inf
1.987679953314363743e-02 0.000000000000000000e+00 inf -inf
2.076021284572780040e-02 0.000000000000000000e+00 inf -inf
2.164362615831195991e-02 0.000000000000000000e+00 inf -inf
2.252703947089612288e-02 0.000000000000000000e+00 inf -inf
2.341045278348028585e-02 0.000000000000000000e+00 inf -inf
2.429386609606444536e-02 0.000000000000000000e+00 inf -inf
2.517727940864860833e-02 0.000000000000000000e+00 inf -inf
2.606069272123277131e-02 0.000000000000000000e+00 inf -inf
2.694410603381693081e-02 0.000000000000000000e+00 inf -inf
2.782751934640109032e-02 0.000000000000000000e+00 inf -inf
2.871093265898525676e-02 0.000000000000000000e+00 inf -inf
2.959434597156941626e-02 3.095683202823470737e+01 3.568523651378431083e+00 1.490756510697802462e+00
3.047775928415357577e-02 0.000000000000000000e+00 inf -inf
3.136117259673773527e-02 0.000000000000000000e+00 inf -inf
3.224458590932190172e-02 0.000000000000000000e+00 inf -inf
3.312799922190606816e-02 6.336610228017508506e-01 7.457358502074423079e+00 -1.981430059925231302e-01
3.401141253449022073e-02 0.000000000000000000e+00 inf -inf
3.489482584707438717e-02 0.000000000000000000e+00 inf -inf
3.577823915965854668e-02 0.000000000000000000e+00 inf -inf
3.666165247224270618e-02 0.000000000000000000e+00 inf -inf
3.754506578482687262e-02 7.717120413074101126e-01 7.260261172223286152e+00 -1.125447232403090914e-01
3.842847909741103213e-02 0.000000000000000000e+00 inf -inf
3.931189240999519163e-02 0.000000000000000000e+00 inf -inf
4.019530572257935808e-02 0.000000000000000000e+00 inf -inf
4.107871903516351758e-02 0.000000000000000000e+00 inf -inf
4.196213234774767709e-02 1.410268364842993671e+00 6.657337354239445837e+00 1.493017639181133671e-01
4.284554566033184353e-02 0.000000000000000000e+00 inf -inf
4.372895897291600303e-02 0.000000000000000000e+00 inf -inf
4.461237228550016254e-02 0.000000000000000000e+00 inf -inf
4.549578559808432898e-02 0.000000000000000000e+00 inf -inf
4.637919891066848849e-02 0.000000000000000000e+00 inf -inf
4.726261222325264799e-02 0.000000000000000000e+00 inf -inf
4.814602553583681444e-02 0.000000000000000000e+00 inf -inf
4.902943884842097394e-02 0.000000000000000000e+00 inf -inf
4.991285216100513344e-02 0.000000000000000000e+00 inf -inf
5.079626547358929989e-02 0.000000000000000000e+00 inf -inf
5.167967878617345245e-02 0.000000000000000000e+00 inf -inf
5.256309209875761890e-02 0.000000000000000000e+00 inf -inf
5.344650541134178534e-02 0.000000000000000000e+00 inf -inf
5.432991872392593791e-02 0.000000000000000000e+00 inf -inf
5.521333203651010435e-02 0.000000000000000000e+00 inf -inf
5.609674534909427079e-02 0.000000000000000000e+00 inf -inf
5.698015866167842336e-02 0.000000000000000000e+00 inf -inf
5.786357197426258980e-02 0.000000000000000000e+00 inf -inf
5.874698528684675625e-02 3.199666044290817579e-01 8.140656019988497860e+00 -4.948953475207944486e-01
5.963039859943090881e-02 0.000000000000000000e+00 inf -inf
6.051381191201507526e-02 0.000000000000000000e+00 inf -inf
6.139722522459924170e-02 0.000000000000000000e+00 inf -inf
6.228063853718340120e-02 0.000000000000000000e+00 inf -inf
6.316405184976756071e-02 0.000000000000000000e+00 inf -inf
6.404746516235171327e-02 0.000000000000000000e+00 inf -inf
6.493087847493589360e-02 0.000000000000000000e+00 inf -inf
6.581429178752004616e-02 0.000000000000000000e+00 inf -inf
6.669770510010419873e-02 2.135144680124838323e-02 1.084775314593208151e+01 -1.670572691294244461e+00
6.758111841268837905e-02 0.000000000000000000e+00 inf -inf
6.846453172527253161e-02 0.000000000000000000e+00 inf -inf
6.934794503785668418e-02 0.000000000000000000e+00 inf -inf
7.023135835044085062e-02 0.000000000000000000e+00 inf -inf
7.111477166302501707e-02 0.000000000000000000e+00 inf -inf
7.199818497560916963e-02 0.000000000000000000e+00 inf -inf
7.288159828819333608e-02 0.000000000000000000e+00 inf -inf
7.376501160077750252e-02 0.000000000000000000e+00 inf -inf
7.464842491336165509e-02 0.000000000000000000e+00 inf -inf
