# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:44:50 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/298K/multi_west/clusbydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.703769865632057318e-03 0.000000000000000000e+00 inf -inf
8.111309596896171953e-03 0.000000000000000000e+00 inf -inf
1.351884932816028659e-02 1.120687481197240866e-04 1.114221814205892969e+01 -3.950515479389121065e+00
1.892638905942440122e-02 6.380739478978968539e-04 9.402876465115278748e+00 -3.195128986948144956e+00
2.433392879068851586e-02 0.000000000000000000e+00 inf -inf
2.974146852195263049e-02 3.552616576460395671e-04 9.988476065770628409e+00 -3.449451662117510864e+00
3.514900825321674860e-02 4.028805435497408854e-03 7.560105454530072322e+00 -2.394823705639710809e+00
4.055654798448085629e-02 6.741542851553149933e-04 9.347871653097127975e+00 -3.171240700610536312e+00
4.596408771574497787e-02 1.390455985383492153e-02 6.321358535177985516e+00 -1.856842754090447301e+00
5.137162744700908557e-02 1.303544393085353213e-02 6.385903264916192867e+00 -1.884874174051687001e+00
5.677916717827320714e-02 7.249661349841066832e-03 6.972620611148579783e+00 -2.139682279957332511e+00
6.218670690953731484e-02 3.427783705564029643e-02 5.419076373211757058e+00 -1.464986590028777513e+00
6.759424664080143641e-02 1.589359965042258516e-02 6.187658878080588565e+00 -1.798777730780690476e+00
7.300178637206555798e-02 9.882504076465625786e-02 4.360224346881427238e+00 -1.005132997841438947e+00
7.840932610332965180e-02 1.021242271876661445e-01 4.327385382723750951e+00 -9.908712169163412797e-01
8.381686583459377338e-02 2.012426918336222559e-01 3.649063766788342544e+00 -6.962798821598966681e-01
8.922440556585789495e-02 3.280302114635207933e-01 3.160469656294509377e+00 -4.840861560819971210e-01
9.463194529712201652e-02 3.748095754905061971e-01 3.027157270252442967e+00 -4.261893224545715841e-01
1.000394850283861103e-01 6.354264155012862014e-01 2.499279074559278779e+00 -1.969347349479855791e-01
1.054470247596502319e-01 4.948672211394319342e-01 2.749285882093936983e+00 -3.055113118985358089e-01
1.108545644909143535e-01 1.294799426894886807e+00 1.787464289126028838e+00 1.122024985028221011e-01
1.162621042221784751e-01 1.202029469584600330e+00 1.861808736637546424e+00 7.991511518842414619e-02
1.216696439534425689e-01 1.104711254671756349e+00 1.946236096741839727e+00 4.324877857347074472e-02
1.270771836847066905e-01 2.064699325721430778e+00 1.320835478741266833e+00 3.148568159500030328e-01
1.324847234159708120e-01 1.600479249258649928e+00 1.575516974393312175e+00 2.042500477454527175e-01
1.378922631472349336e-01 2.835574442354512392e+00 1.003575547752165287e+00 4.526410533075764242e-01
1.432998028784990274e-01 3.045972039590869596e+00 9.320000145302691497e-01 4.837259124251287457e-01
