# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:45:00 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/298K/multi_west/clusbydxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
2.703938427567482202e-03 1.092014986363607041e-04 1.112347766626807477e+01 -3.961771401511906099e+00
8.111815282702446173e-03 0.000000000000000000e+00 inf -inf
1.351969213783741144e-02 3.728074541234333451e-03 7.593025282689030320e+00 -2.428515412701344189e+00
1.892756899297237672e-02 2.143888436632536594e-03 8.146295967576824282e+00 -2.668797818146945833e+00
2.433544584810733852e-02 0.000000000000000000e+00 inf -inf
2.974332270324230379e-02 1.494451407130840265e-02 6.204572893537289247e+00 -1.825518201707356791e+00
3.515119955837726906e-02 6.951074412239365702e-03 6.970020934961015158e+00 -2.157948062281332735e+00
4.055907641351223780e-02 8.176437530326392334e-04 9.110245721260119112e+00 -3.087435877003599671e+00
4.596695326864719267e-02 1.967501064806893296e-01 3.626982745783490003e+00 -7.060850239296942998e-01
5.137483012378216141e-02 3.257003941061799995e-02 5.425524344963173817e+00 -1.487181715926880976e+00
5.678270697891713015e-02 9.454586641362310029e-02 4.359832098653273036e+00 -1.024357453947410068e+00
6.219058383405208501e-02 2.150700769116060673e-01 3.537953260133973821e+00 -6.674200095854246895e-01
6.759846068918705375e-02 1.632173200741762198e-01 3.813834609474438420e+00 -7.872337572640117909e-01
7.300633754432202249e-02 3.914274757423842899e-01 2.939116923154172056e+00 -4.073486928719406985e-01
7.841421439945697736e-02 4.876823995491953445e-01 2.719252800897190347e+00 -3.118629178072315766e-01
8.382209125459194610e-02 7.313161077284294764e-01 2.314071376087687870e+00 -1.358948608427673066e-01
8.922996810972691484e-02 1.101774288613773578e+00 1.904240025314058116e+00 4.209263330917617507e-02
9.463784496486188358e-02 9.426362306455833284e-01 2.060236723602734799e+00 -2.565587195272262672e-02
1.000457218199968384e-01 1.786692070335678340e+00 1.420795990511650508e+00 2.520497099329053747e-01
1.054535986751318072e-01 1.227342710517437263e+00 1.796310460891811456e+00 8.896584757197942284e-02
1.108614755302667620e-01 2.148252287185561826e+00 1.236507273412170038e+00 3.320852828462391715e-01
1.162693523854017308e-01 2.460301724033388204e+00 1.100877900827414546e+00 3.909883709437986243e-01
1.216772292405366995e-01 2.121118003955798859e+00 1.249218585261806069e+00 3.265648302521909074e-01
1.270851060956716683e-01 3.433389709508126053e+00 7.676138686188767046e-01 5.357231011487941785e-01
1.324929829508066370e-01 2.427974677136135906e+00 1.114104451669362561e+00 3.852441528985279251e-01
1.379008598059415780e-01 4.166641497783331261e+00 5.740515802067305273e-01 6.197861349107550710e-01
1.433087366610765745e-01 5.322169918814177336e+00 3.292807956269510061e-01 7.260887359848828826e-01
1.487166135162115155e-01 3.450950987797737124e+00 7.625120536004434957e-01 5.379387912589909115e-01
1.541244903713464842e-01 5.713431384139425084e+00 2.583421091910109713e-01 7.568970160574767236e-01
1.595323672264814530e-01 4.145132819356244447e+00 5.792270639522427711e-01 6.175384508788991367e-01
1.649402440816163939e-01 6.182218857076438034e+00 1.794846499039981502e-01 7.911443754827367503e-01
1.703481209367513904e-01 7.022842521854380848e+00 5.199384157286335295e-02 8.465129300343336993e-01
