# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:45:09 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/298K/multi_west/corebychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.053766632452607165e-04 4.601888876157133382e+03 0.000000000000000000e+00 3.662936127358603855e+00
3.161299897357821632e-04 0.000000000000000000e+00 inf -inf
5.268833162263036234e-04 0.000000000000000000e+00 inf -inf
7.376366427168250294e-04 0.000000000000000000e+00 inf -inf
9.483899692073465438e-04 0.000000000000000000e+00 inf -inf
1.159143295697867950e-03 0.000000000000000000e+00 inf -inf
1.369896622188389356e-03 0.000000000000000000e+00 inf -inf
1.580649948678910762e-03 0.000000000000000000e+00 inf -inf
1.791403275169432168e-03 0.000000000000000000e+00 inf -inf
2.002156601659953791e-03 0.000000000000000000e+00 inf -inf
2.212909928150475197e-03 0.000000000000000000e+00 inf -inf
2.423663254640996603e-03 0.000000000000000000e+00 inf -inf
2.634416581131518009e-03 0.000000000000000000e+00 inf -inf
2.845169907622039415e-03 0.000000000000000000e+00 inf -inf
3.055923234112560821e-03 0.000000000000000000e+00 inf -inf
3.266676560603082227e-03 0.000000000000000000e+00 inf -inf
3.477429887093603633e-03 0.000000000000000000e+00 inf -inf
3.688183213584125038e-03 0.000000000000000000e+00 inf -inf
3.898936540074646878e-03 0.000000000000000000e+00 inf -inf
4.109689866565168284e-03 1.324095294815324166e+02 3.548322507596378017e+00 2.121919242296387065e+00
4.320443193055689690e-03 0.000000000000000000e+00 inf -inf
4.531196519546211096e-03 0.000000000000000000e+00 inf -inf
4.741949846036732502e-03 0.000000000000000000e+00 inf -inf
4.952703172527253908e-03 0.000000000000000000e+00 inf -inf
5.163456499017775314e-03 0.000000000000000000e+00 inf -inf
5.374209825508296720e-03 0.000000000000000000e+00 inf -inf
5.584963151998818126e-03 0.000000000000000000e+00 inf -inf
5.795716478489339532e-03 0.000000000000000000e+00 inf -inf
6.006469804979860938e-03 0.000000000000000000e+00 inf -inf
6.217223131470382344e-03 0.000000000000000000e+00 inf -inf
6.427976457960903750e-03 0.000000000000000000e+00 inf -inf
6.638729784451425156e-03 0.000000000000000000e+00 inf -inf
6.849483110941946562e-03 0.000000000000000000e+00 inf -inf
7.060236437432467968e-03 0.000000000000000000e+00 inf -inf
7.270989763922989374e-03 0.000000000000000000e+00 inf -inf
7.481743090413510780e-03 0.000000000000000000e+00 inf -inf
7.692496416904032186e-03 0.000000000000000000e+00 inf -inf
7.903249743394553592e-03 0.000000000000000000e+00 inf -inf
8.114003069885074998e-03 0.000000000000000000e+00 inf -inf
8.324756396375598139e-03 1.034835946288988673e+01 6.097394122298261721e+00 1.014871506055146755e+00
8.535509722866117810e-03 0.000000000000000000e+00 inf -inf
8.746263049356640951e-03 0.000000000000000000e+00 inf -inf
8.957016375847160622e-03 0.000000000000000000e+00 inf -inf
9.167769702337683763e-03 0.000000000000000000e+00 inf -inf
9.378523028828203434e-03 0.000000000000000000e+00 inf -inf
9.589276355318726575e-03 0.000000000000000000e+00 inf -inf
9.800029681809246246e-03 0.000000000000000000e+00 inf -inf
1.001078300829976939e-02 0.000000000000000000e+00 inf -inf
1.022153633479028906e-02 0.000000000000000000e+00 inf -inf
1.043228966128081220e-02 0.000000000000000000e+00 inf -inf
1.064304298777133187e-02 0.000000000000000000e+00 inf -inf
1.085379631426185501e-02 0.000000000000000000e+00 inf -inf
1.106454964075237468e-02 0.000000000000000000e+00 inf -inf
1.127530296724289782e-02 0.000000000000000000e+00 inf -inf
1.148605629373341749e-02 0.000000000000000000e+00 inf -inf
1.169680962022394063e-02 0.000000000000000000e+00 inf -inf
1.190756294671446031e-02 0.000000000000000000e+00 inf -inf
1.211831627320498345e-02 0.000000000000000000e+00 inf -inf
1.232906959969550312e-02 0.000000000000000000e+00 inf -inf
1.253982292618602626e-02 2.368229872642341194e-01 9.874664429533396515e+00 -6.255761450340726615e-01
1.275057625267654593e-02 0.000000000000000000e+00 inf -inf
1.296132957916706907e-02 0.000000000000000000e+00 inf -inf
1.317208290565758874e-02 0.000000000000000000e+00 inf -inf
1.338283623214811188e-02 0.000000000000000000e+00 inf -inf
1.359358955863863155e-02 0.000000000000000000e+00 inf -inf
1.380434288512915469e-02 0.000000000000000000e+00 inf -inf
1.401509621161967437e-02 0.000000000000000000e+00 inf -inf
1.422584953811019751e-02 0.000000000000000000e+00 inf -inf
1.443660286460071718e-02 0.000000000000000000e+00 inf -inf
1.464735619109124032e-02 0.000000000000000000e+00 inf -inf
1.485810951758175999e-02 0.000000000000000000e+00 inf -inf
1.506886284407228313e-02 0.000000000000000000e+00 inf -inf
1.527961617056280280e-02 0.000000000000000000e+00 inf -inf
1.549036949705332594e-02 0.000000000000000000e+00 inf -inf
1.570112282354384561e-02 0.000000000000000000e+00 inf -inf
1.591187615003436875e-02 0.000000000000000000e+00 inf -inf
1.612262947652488843e-02 0.000000000000000000e+00 inf -inf
1.633338280301541157e-02 0.000000000000000000e+00 inf -inf
1.654413612950593471e-02 0.000000000000000000e+00 inf -inf
1.675488945599645438e-02 0.000000000000000000e+00 inf -inf
1.696564278248697405e-02 0.000000000000000000e+00 inf -inf
1.717639610897749719e-02 0.000000000000000000e+00 inf -inf
1.738714943546802033e-02 0.000000000000000000e+00 inf -inf
1.759790276195854000e-02 0.000000000000000000e+00 inf -inf
1.780865608844905967e-02 0.000000000000000000e+00 inf -inf
1.801940941493958281e-02 0.000000000000000000e+00 inf -inf
1.823016274143010595e-02 0.000000000000000000e+00 inf -inf
1.844091606792062563e-02 0.000000000000000000e+00 inf -inf
1.865166939441114530e-02 0.000000000000000000e+00 inf -inf
1.886242272090166844e-02 0.000000000000000000e+00 inf -inf
1.907317604739219158e-02 0.000000000000000000e+00 inf -inf
1.928392937388271125e-02 0.000000000000000000e+00 inf -inf
1.949468270037323092e-02 0.000000000000000000e+00 inf -inf
1.970543602686375406e-02 0.000000000000000000e+00 inf -inf
1.991618935335427720e-02 0.000000000000000000e+00 inf -inf
2.012694267984479687e-02 0.000000000000000000e+00 inf -inf
2.033769600633531655e-02 0.000000000000000000e+00 inf -inf
2.054844933282583969e-02 0.000000000000000000e+00 inf -inf
2.075920265931636283e-02 0.000000000000000000e+00 inf -inf
