# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:45:18 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/298K/multi_west/corebydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
9.046233706176280741e-04 0.000000000000000000e+00 inf -inf
2.713870111852884331e-03 3.349549323742362947e-04 1.120691274305777974e+01 -3.475013622628391641e+00
4.523116853088140696e-03 2.968916204822387179e-03 9.024956484608544827e+00 -2.527402059829622516e+00
6.332363594323396627e-03 4.843354009055618470e-02 6.232960905822100273e+00 -1.314853786464394103e+00
8.141610335558652559e-03 3.907708658413459879e-02 6.447617182276690784e+00 -1.408077822834521875e+00
9.950857076793908490e-03 1.618163846303966036e-01 5.026691192415110976e+00 -7.909775062447219618e-01
1.176010381802916616e-02 3.699820815076071412e-01 4.199698880516786303e+00 -4.318193086108663703e-01
1.356935055926442035e-02 0.000000000000000000e+00 inf -inf
1.537859730049967802e-02 1.104551539093511447e+00 3.105958772025064096e+00 4.318598514335247884e-02
1.718784404173493569e-02 1.850717039176146717e+00 2.589825024901427852e+00 2.673400234431961842e-01
1.899709078297018988e-02 2.884640702695135950e+00 2.145997825231784617e+00 4.600917271782948292e-01
2.080633752420544408e-02 4.988421786998070928e+00 1.598278593055203478e+00 6.979631673448700724e-01
2.261558426544070174e-02 7.555662558103240833e+00 1.183100887800904832e+00 8.782725537460667198e-01
2.442483100667595941e-02 9.372676929576581273e+00 9.675994306704835957e-01 9.718636474199189301e-01
2.623407774791121361e-02 1.194258930285603171e+01 7.252872336529030406e-01 1.077098497482507744e+00
2.804332448914646780e-02 0.000000000000000000e+00 inf -inf
2.985257123038172894e-02 1.499120617340203054e+01 4.979344035614499120e-01 1.175836577036313280e+00
3.166181797161698314e-02 1.547266003164938830e+01 4.663235800915415119e-01 1.189564983237712426e+00
3.347106471285223733e-02 1.970579622277170273e+01 2.244853606678307578e-01 1.294593987446737593e+00
3.528031145408749847e-02 1.964228321123839649e+01 2.277136283549152651e-01 1.293191968604130215e+00
3.708955819532275267e-02 2.198624295512117044e+01 1.149812401000924744e-01 1.342151022754974887e+00
3.889880493655800686e-02 2.431462974042953107e+01 1.431996152219783269e-02 1.385867660582680516e+00
4.070805167779326106e-02 0.000000000000000000e+00 inf -inf
4.251729841902851526e-02 2.461015060644142594e+01 2.239193532798111619e-03 1.391114271457630336e+00
4.432654516026377639e-02 2.461478479395996644e+01 2.050907352449282683e-03 1.391196043106774471e+00
