# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:45:28 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/298K/multi_west/corebydxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
8.521874397993087517e-04 3.464896575375332201e-04 1.132270156574384323e+01 -3.460309724230859807e+00
2.556562319397926147e-03 1.245408089048198261e-02 7.740750904999821103e+00 -1.904688317820024679e+00
4.260937198996543433e-03 5.283517597127050658e-02 6.295622076100775288e+00 -1.277076841789859918e+00
5.965312078595161153e-03 3.064416104205762159e-01 4.537772023679090161e+00 -5.136522640097802572e-01
7.669686958193778006e-03 6.837272770641624753e-01 3.735240136198621386e+00 -1.651170937256113413e-01
9.374061837792395727e-03 0.000000000000000000e+00 inf -inf
1.107843671739101345e-02 1.030582252706725432e+00 3.324920041174360907e+00 1.308265935744290856e-02
1.278281159698963117e-02 2.680990458730574399e+00 2.368857677187269140e+00 4.282952683924150517e-01
1.448718647658824889e-02 4.711026133291954743e+00 1.805138230593149595e+00 6.731155133897960274e-01
1.619156135618686487e-02 7.103803202362168889e+00 1.394413674651566959e+00 8.514909216173889295e-01
1.789593623578548259e-02 2.263438730432019153e+00 2.538158758568064499e+00 3.547687429684822091e-01
1.960031111538410031e-02 6.786887324882526329e+00 1.440051561612301079e+00 8.316706391446176960e-01
2.130468599498271803e-02 1.215107424419171167e+01 8.576263965495489749e-01 1.084614674452961669e+00
2.300906087458133575e-02 1.530739563518361379e+01 6.267078911285248743e-01 1.184901307126658532e+00
2.471343575417995347e-02 1.837485961120284728e+01 4.440605727244619771e-01 1.264224029643969294e+00
2.641781063377857119e-02 2.064201469286913593e+01 3.277154306491976143e-01 1.314752082843506420e+00
2.812218551337718891e-02 0.000000000000000000e+00 inf -inf
2.982656039297580663e-02 2.364711210040837130e+01 1.918029800249168026e-01 1.373778110171579581e+00
3.153093527257442436e-02 2.572260811826004101e+01 1.076736790722385706e-01 1.410315001341705843e+00
3.323531015217304208e-02 2.864686398297331493e+01 0.000000000000000000e+00 1.457077086009000766e+00
3.493968503177165286e-02 2.781060663221612117e+01 2.962649612339340877e-02 1.444210462224482905e+00
3.664405991137027752e-02 8.472961781303883555e+00 1.218163851026495603e+00 9.280352474541787577e-01
3.834843479096888830e-02 2.089737147122319882e+01 3.154205934532057221e-01 1.320091662793624554e+00
4.005280967056751296e-02 2.692401611287405672e+01 6.202529698157954741e-02 1.430139841791490118e+00
4.175718455016612374e-02 2.614115762405723586e+01 9.153298483043492695e-02 1.417324815785008685e+00
4.346155942976474840e-02 2.786040596610756737e+01 2.783743769423896453e-02 1.444987440428067149e+00
4.516593430936335918e-02 2.642149616062710749e+01 8.086605024713255929e-02 1.421957406613360009e+00
4.687030918896198384e-02 0.000000000000000000e+00 inf -inf
4.857468406856059462e-02 2.194636927126149928e+01 2.664422608020799998e-01 1.341362682396830319e+00
5.027905894815921928e-02 2.241432180229590898e+01 2.453438568600811998e-01 1.350525602805806136e+00
5.198343382775783006e-02 2.074640119620610079e+01 3.226711822800565344e-01 1.316942772075573753e+00
5.368780870735645472e-02 1.871815199803191732e+01 4.255502294648803030e-01 1.272262969579740499e+00
5.539218358695506550e-02 5.041571459532169897e+00 1.737326146576773533e+00 7.025659272844678727e-01
5.709655846655369016e-02 1.368126854429004169e+01 7.390163398465068312e-01 1.136126367577324547e+00
5.880093334615230094e-02 1.573334746793777406e+01 5.992614752786562526e-01 1.196821134078278392e+00
6.050530822575092560e-02 1.444383080953372200e+01 6.847765877874647522e-01 1.159682392596367073e+00
6.220968310534953638e-02 1.400054677463269037e+01 7.159475934040027134e-01 1.146144996861729437e+00
6.391405798494814716e-02 1.280324092419163762e+01 8.053456415084867537e-01 1.107319917877030546e+00
6.561843286454677182e-02 0.000000000000000000e+00 inf -inf
6.732280774414539648e-02 1.240166298992080662e+01 8.372134018783716769e-01 1.093479925397774277e+00
6.902718262374400726e-02 1.086671523311285981e+01 9.693395085880984752e-01 1.036098286338379637e+00
7.073155750334261804e-02 9.635081538266872414e+00 1.089633213041192317e+00 9.838553942867004354e-01
7.243593238294124270e-02 9.074735317706469573e+00 1.149549763954903270e+00 9.578339668502005022e-01
7.414030726253986736e-02 2.798217048389125328e+00 2.326061531661948845e+00 4.468813982407902619e-01
7.584468214213847814e-02 5.202518902958713554e+00 1.705901064870953387e+00 7.162136668626644109e-01
7.754905702173708892e-02 7.011594812714384339e+00 1.407478797036370466e+00 8.458168110602780621e-01
7.925343190133571358e-02 6.622508557842156307e+00 1.464569743186879158e+00 8.210225281804764963e-01
8.095780678093433824e-02 5.685121687996868012e+00 1.617191445513522119e+00 7.547397650413347758e-01
8.266218166053294902e-02 4.885720557416853183e+00 1.768727198893293773e+00 6.889286235374478817e-01
8.436655654013155980e-02 0.000000000000000000e+00 inf -inf
8.607093141973018446e-02 4.130971882985227772e+00 1.936531275541929720e+00 6.160522390080749311e-01
8.777530629932880912e-02 3.158311627099072538e+00 2.205006387997074491e+00 4.994549791404506722e-01
8.947968117892741990e-02 2.778514975442234025e+00 2.333127374106346963e+00 4.438127418571904959e-01
9.118405605852603069e-02 1.900311237598190317e+00 2.713026295568199853e+00 2.788247365853107618e-01
9.288843093812465534e-02 3.177501635364879395e-01 4.501533831829934051e+00 -4.979142172555403034e-01
9.459280581772328000e-02 1.293500145345218399e+00 3.097692142577744168e+00 1.117664818524252007e-01
9.629718069732189079e-02 1.344422788917876588e+00 3.059079209867233473e+00 1.285358654587016869e-01
9.800155557692050157e-02 8.427834121188526595e-01 3.526089256704640462e+00 -7.428402087616338412e-02
9.970593045651912623e-02 8.799748953583510502e-01 3.482905877506218051e+00 -5.552971758035285532e-02
1.014103053361177509e-01 4.678468055388845803e-01 4.114658352831116694e+00 -3.298963315426766130e-01
1.031146802157163617e-01 0.000000000000000000e+00 inf -inf
1.048190550953149724e-01 2.580341075095154979e-01 4.709707480736366136e+00 -5.883228842532688407e-01
1.065234299749135971e-01 2.501047714145946954e-01 4.740919340840907381e+00 -6.018780228666071874e-01
1.082278048545122218e-01 2.112447293098353163e-01 4.909781940656252175e+00 -6.752141181662487668e-01
1.099321797341108187e-01 1.804010051334437870e-01 5.067617077263516734e+00 -7.437610470452293843e-01
1.116365546137094433e-01 4.947515922203354205e-02 6.361328546854106314e+00 -1.305612799463369056e+00
1.133409294933080680e-01 4.982906543353402690e-02 6.354200799548879175e+00 -1.302517258140308165e+00
