# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:45:38 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/298K/multi_west/corebytotal.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.893350053578614743e-04 0.000000000000000000e+00 inf -inf
1.768005016073584314e-03 0.000000000000000000e+00 inf -inf
2.946675026789307046e-03 0.000000000000000000e+00 inf -inf
4.125345037505030212e-03 0.000000000000000000e+00 inf -inf
5.304015048220753377e-03 0.000000000000000000e+00 inf -inf
6.482685058936475675e-03 3.902943280485268555e-03 9.322978513401112721e+00 -2.408607760056504787e+00
7.661355069652198840e-03 1.613411217431924907e-02 7.903773670050377120e+00 -1.792254927898911498e+00
8.840025080367922006e-03 3.559289243598658808e-02 7.112563501956760348e+00 -1.448636717870109614e+00
1.001869509108364517e-02 1.106429903386953600e-01 5.978400754570623477e+00 -9.560760951000789598e-01
1.119736510179936834e-02 5.026099814552821288e-01 4.464894984654635302e+00 -2.987688908968326174e-01
1.237603511251509150e-02 6.289219921055483331e-01 4.240702239107999816e+00 -2.014032186231888844e-01
1.355470512323081467e-02 6.714011755046673802e-01 4.175342633836824469e+00 -1.730179027145425374e-01
1.473337513394653610e-02 2.085616617762766190e+00 3.041889638762713233e+00 3.192344785428574139e-01
1.591204514466226100e-02 2.538313711263646688e+00 2.845454222872747074e+00 4.045452957142401385e-01
1.709071515537798069e-02 7.627852918456195397e+00 1.745147784469461616e+00 8.824023103154072789e-01
1.826938516609370733e-02 4.983917290822231116e+00 2.170738003817129780e+00 6.975708265007204423e-01
1.944805517680942702e-02 1.369703668973099120e+01 1.159774680807003744e+00 1.136626619090592927e+00
