# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:46:16 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/298K/multi_west/silcoeffdxpc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
-1.979899768829345597e+00 4.998884258405061204e-02 4.763921274912200410e+00 -1.301126918562056645e+00
-1.939699306488037234e+00 0.000000000000000000e+00 inf -inf
-1.899498844146728427e+00 0.000000000000000000e+00 inf -inf
-1.859298381805420064e+00 0.000000000000000000e+00 inf -inf
-1.819097919464111257e+00 0.000000000000000000e+00 inf -inf
-1.778897457122802894e+00 0.000000000000000000e+00 inf -inf
-1.738696994781494087e+00 0.000000000000000000e+00 inf -inf
-1.698496532440185725e+00 0.000000000000000000e+00 inf -inf
-1.658296070098876918e+00 0.000000000000000000e+00 inf -inf
-1.618095607757568555e+00 0.000000000000000000e+00 inf -inf
-1.577895145416259748e+00 0.000000000000000000e+00 inf -inf
-1.537694683074951385e+00 0.000000000000000000e+00 inf -inf
-1.497494220733642578e+00 0.000000000000000000e+00 inf -inf
-1.457293758392333993e+00 0.000000000000000000e+00 inf -inf
-1.417093296051025408e+00 0.000000000000000000e+00 inf -inf
-1.376892833709716824e+00 0.000000000000000000e+00 inf -inf
-1.336692371368408239e+00 0.000000000000000000e+00 inf -inf
-1.296491909027099654e+00 0.000000000000000000e+00 inf -inf
-1.256291446685791069e+00 0.000000000000000000e+00 inf -inf
-1.216090984344482484e+00 0.000000000000000000e+00 inf -inf
-1.175890522003173899e+00 0.000000000000000000e+00 inf -inf
-1.135690059661865314e+00 0.000000000000000000e+00 inf -inf
-1.095489597320556729e+00 0.000000000000000000e+00 inf -inf
-1.055289134979247923e+00 0.000000000000000000e+00 inf -inf
-1.015088672637939560e+00 0.000000000000000000e+00 inf -inf
-9.748882102966308638e-01 0.000000000000000000e+00 inf -inf
-9.346877479553222789e-01 0.000000000000000000e+00 inf -inf
-8.944872856140136941e-01 0.000000000000000000e+00 inf -inf
-8.542868232727051092e-01 0.000000000000000000e+00 inf -inf
-8.140863609313965243e-01 0.000000000000000000e+00 inf -inf
-7.738858985900879395e-01 0.000000000000000000e+00 inf -inf
-7.336854362487793546e-01 0.000000000000000000e+00 inf -inf
-6.934849739074707697e-01 0.000000000000000000e+00 inf -inf
-6.532845115661621849e-01 0.000000000000000000e+00 inf -inf
-6.130840492248536000e-01 0.000000000000000000e+00 inf -inf
-5.728835868835450151e-01 0.000000000000000000e+00 inf -inf
-5.326831245422364303e-01 0.000000000000000000e+00 inf -inf
-4.924826622009278454e-01 0.000000000000000000e+00 inf -inf
-4.522821998596192605e-01 0.000000000000000000e+00 inf -inf
-4.120817375183106757e-01 0.000000000000000000e+00 inf -inf
-3.718812751770020908e-01 0.000000000000000000e+00 inf -inf
-3.316808128356935059e-01 0.000000000000000000e+00 inf -inf
-2.914803504943849211e-01 0.000000000000000000e+00 inf -inf
-2.512798881530763362e-01 0.000000000000000000e+00 inf -inf
-2.110794258117677513e-01 0.000000000000000000e+00 inf -inf
-1.708789634704591665e-01 0.000000000000000000e+00 inf -inf
-1.306785011291505816e-01 0.000000000000000000e+00 inf -inf
-9.047803878784188569e-02 0.000000000000000000e+00 inf -inf
-5.027757644653318980e-02 0.000000000000000000e+00 inf -inf
-1.007711410522460493e-02 0.000000000000000000e+00 inf -inf
3.012334823608386891e-02 0.000000000000000000e+00 inf -inf
7.032381057739245378e-02 0.000000000000000000e+00 inf -inf
1.105242729187010386e-01 0.000000000000000000e+00 inf -inf
1.507247352600096235e-01 0.000000000000000000e+00 inf -inf
1.909251976013182084e-01 0.000000000000000000e+00 inf -inf
2.311256599426267933e-01 1.005054598790840496e-03 8.670679239929629745e+00 -2.997810344900703861e+00
2.713261222839353781e-01 2.879371100949750656e-03 7.618149204543697373e+00 -2.540702358495158908e+00
3.115265846252439630e-01 1.259184121980068925e-02 6.142672025133743219e+00 -1.899910761303241546e+00
3.517270469665525479e-01 2.822235689621317017e-02 5.335606645536071113e+00 -1.549406720408819105e+00
3.919275093078611327e-01 1.084141494829012758e-01 3.989762496347792009e+00 -9.649140329145724504e-01
4.321279716491697176e-01 3.851265532310392814e-01 2.722149117154467390e+00 -4.143965371441773460e-01
4.723284339904783025e-01 1.144894446161557777e+00 1.632653382139653386e+00 5.876544862988378193e-02
5.125288963317868873e-01 2.810474183856296548e+00 7.346126103254291273e-01 4.487796003529386235e-01
5.527293586730954722e-01 4.879349340462876050e+00 1.829539490347209529e-01 6.883619128456281988e-01
5.929298210144042791e-01 5.858923174807245893e+00 0.000000000000000000e+00 7.678178033538163305e-01
6.331302833557128640e-01 4.779342145129220398e+00 2.036629176479720638e-01 6.793681220509856233e-01
6.733307456970214488e-01 2.832241403886475606e+00 7.268974144539692706e-01 4.521302673467164079e-01
7.135312080383300337e-01 1.271693201198559775e+00 1.527616586338247373e+00 1.043823494432330606e-01
7.537316703796386186e-01 4.942357091430334970e-01 2.472708559714916099e+00 -3.060658794853091669e-01
7.939321327209472035e-01 1.729346828548060100e-01 3.522807139666973786e+00 -7.621178982129285240e-01
8.341325950622557883e-01 3.701151173185784904e-02 5.064492114978038195e+00 -1.431663175823674861e+00
8.743330574035643732e-01 3.602573291105695078e-03 7.394072713923137030e+00 -2.443387175094403840e+00
9.145335197448729581e-01 0.000000000000000000e+00 inf -inf
9.547339820861815429e-01 0.000000000000000000e+00 inf -inf
9.949344444274901278e-01 0.000000000000000000e+00 inf -inf
1.035134906768798713e+00 0.000000000000000000e+00 inf -inf
1.075335369110107298e+00 0.000000000000000000e+00 inf -inf
1.115535831451415882e+00 0.000000000000000000e+00 inf -inf
