# created by program: /home/aporutho/.conda/envs/westpa-2020.02/westpa-2020.03/lib/west_tools/plothist.py
# created by user:    aporutho
# created on host:    bhc0136
# created at:         Mon Aug  8 03:46:39 2022
# source data: /gpfs/fs2/scratch/aporutho/LipidPhase/Simulation/Weighted_Ensemble_3/Analysis/ClusterLipids2Total_AuxData/DPPC_POPC_CHOL/450K/multi_west/clucountdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
9.089999999999999469e-02 9.287421777630581188e-01 6.086437268687515667e-01 -3.210483101725906258e-02
2.726999999999999980e-01 0.000000000000000000e+00 inf -inf
4.545000000000000151e-01 0.000000000000000000e+00 inf -inf
6.362999999999999767e-01 0.000000000000000000e+00 inf -inf
8.180999999999999384e-01 0.000000000000000000e+00 inf -inf
9.999000000000000110e-01 1.706969577678423500e+00 0.000000000000000000e+00 2.322257810068696915e-01
1.181699999999999973e+00 0.000000000000000000e+00 inf -inf
1.363499999999999934e+00 0.000000000000000000e+00 inf -inf
1.545299999999999896e+00 0.000000000000000000e+00 inf -inf
1.727099999999999858e+00 0.000000000000000000e+00 inf -inf
1.908899999999999819e+00 0.000000000000000000e+00 inf -inf
2.090700000000000003e+00 1.520858629982328347e+00 1.154445580401136096e-01 1.820888464842886634e-01
2.272499999999999964e+00 0.000000000000000000e+00 inf -inf
2.454299999999999926e+00 0.000000000000000000e+00 inf -inf
2.636099999999999888e+00 0.000000000000000000e+00 inf -inf
2.817899999999999849e+00 0.000000000000000000e+00 inf -inf
2.999699999999999811e+00 8.746364677548655875e-01 6.686665659325223832e-01 -5.817241881082167027e-02
3.181499999999999773e+00 0.000000000000000000e+00 inf -inf
3.363299999999999734e+00 0.000000000000000000e+00 inf -inf
3.545099999999999696e+00 0.000000000000000000e+00 inf -inf
3.726899999999999658e+00 0.000000000000000000e+00 inf -inf
3.908699999999999619e+00 0.000000000000000000e+00 inf -inf
4.090499999999999581e+00 3.351428928669937801e-01 1.627917913785595250e+00 -4.747699859416679158e-01
4.272299999999999542e+00 0.000000000000000000e+00 inf -inf
4.454100000000000392e+00 0.000000000000000000e+00 inf -inf
4.635899999999999466e+00 0.000000000000000000e+00 inf -inf
4.817700000000000315e+00 0.000000000000000000e+00 inf -inf
4.999499999999999389e+00 1.049489935744448571e-01 2.789000443888542957e+00 -9.790217217996444177e-01
5.181300000000000239e+00 0.000000000000000000e+00 inf -inf
5.363099999999999312e+00 0.000000000000000000e+00 inf -inf
5.544900000000000162e+00 0.000000000000000000e+00 inf -inf
5.726699999999999235e+00 0.000000000000000000e+00 inf -inf
5.908500000000000085e+00 0.000000000000000000e+00 inf -inf
6.090299999999999159e+00 2.421800123944488001e-02 4.255378691026618476e+00 -1.615861702914673348e+00
6.272100000000000009e+00 0.000000000000000000e+00 inf -inf
6.453899999999999082e+00 0.000000000000000000e+00 inf -inf
6.635699999999999932e+00 0.000000000000000000e+00 inf -inf
6.817499999999999005e+00 0.000000000000000000e+00 inf -inf
6.999299999999999855e+00 3.705650109965876252e-03 6.132616188905273269e+00 -2.431135589465240443e+00
7.181099999999998929e+00 0.000000000000000000e+00 inf -inf
7.362899999999999778e+00 0.000000000000000000e+00 inf -inf
7.544699999999998852e+00 0.000000000000000000e+00 inf -inf
7.726499999999999702e+00 0.000000000000000000e+00 inf -inf
7.908299999999998775e+00 0.000000000000000000e+00 inf -inf
8.090099999999999625e+00 1.110998660268041607e-03 7.337215595760040010e+00 -2.954286464766195941e+00
8.271899999999998698e+00 0.000000000000000000e+00 inf -inf
8.453699999999999548e+00 0.000000000000000000e+00 inf -inf
8.635500000000000398e+00 0.000000000000000000e+00 inf -inf
8.817299999999999471e+00 0.000000000000000000e+00 inf -inf
8.999099999999998545e+00 2.166653757045468732e-04 8.971876063602476137e+00 -3.664210485735554190e+00
9.180899999999999395e+00 0.000000000000000000e+00 inf -inf
9.362700000000000244e+00 0.000000000000000000e+00 inf -inf
9.544499999999999318e+00 0.000000000000000000e+00 inf -inf
9.726299999999998391e+00 0.000000000000000000e+00 inf -inf
9.908099999999999241e+00 0.000000000000000000e+00 inf -inf
1.008990000000000009e+01 0.000000000000000000e+00 inf -inf
1.027169999999999916e+01 0.000000000000000000e+00 inf -inf
1.045349999999999824e+01 0.000000000000000000e+00 inf -inf
1.063529999999999909e+01 0.000000000000000000e+00 inf -inf
1.081709999999999994e+01 0.000000000000000000e+00 inf -inf
1.099889999999999901e+01 0.000000000000000000e+00 inf -inf
1.118069999999999808e+01 0.000000000000000000e+00 inf -inf
1.136249999999999893e+01 0.000000000000000000e+00 inf -inf
1.154429999999999978e+01 0.000000000000000000e+00 inf -inf
1.172609999999999886e+01 0.000000000000000000e+00 inf -inf
1.190789999999999971e+01 0.000000000000000000e+00 inf -inf
